0,1,2,3,4,5,6,7,8,9
pipe,unit,bill,railway,provinc,year,veteran,peopl,tax,price
pipe line,unit state,committe,rate,govern,depart,pension,govern,incom,wheat
line,state,amend,freight,provinci,govern,age,hous,incom tax,farmer
ga,dollar,hous,freight rate,feder,hous,old age,countri,cent,market
compani,canadian,order,canadian nation,dominion,time,age pension,time,per cent,product
rout,countri,act,nation railway,highway,item,old,nation,per,agricultur
oil,trade,motion,transport,feder govern,may,allow,year,tax act,grain
alberta,export,section,canadian,british,like,war,war,excis,year
bill,import,discuss,board,columbia,work,veteran affair,great,year,board
british columbia,exchang,time,nation,saskatchewan,make,war veteran,go,excis tax,bushel
