0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
defenc,film,tax,unit,govern,wheat,veteran,cent,provinc,pension,hous,court,railway,c,peopl,bill,item,section,indian,depart
forc,film board,incom,unit state,year,price,veteran affair,per,govern,age,committe,council,line,c c,govern,amend,estim,act,health,offic
nation defenc,board,incom tax,state,time,farmer,war,per cent,feder,old age,motion,order council,rate,c f,countri,committe,year,amend,hospit,servic
nation,nation film,tax act,dollar,may,market,war veteran,increas,provinci,age pension,order,order,pipe,f,hous,hous,amount,subsect,nation health,work
air,nation,excis,canadian,peopl,product,veteran allow,rate,highway,old,debat,suprem court,pipe line,parti,nation,act,discuss,bill,welfar,year
armi,pictur,excis tax,countri,go,agricultur,allow,cent per,dominion,mean test,rule,suprem,freight,govern,time,second,vote,law,health welfar,contract
depart,depart,year,export,like,grain,affair,tax,british,govern,govern,judg,ga,r,war,time,committe,provis,depart,employe
air forc,screen,sale tax,trade,make,board,pension,year,scotia,test,matter,act,transport,peopl,year,bill amend,depart,may,nation,post offic
unit,govern,farmer,exchang,countri,year,committe,cost,feder govern,mean,amend,power,freight rate,f parti,great,resolut,expenditur,word,grant,build
train,agenc,sale,import,matter,wheat board,act,govern,nova,provinc,discuss,law,canadian,p,world,motion,supplementari,case,provinc,post
