suffix,start_index,end_index_exclusive,n_requests,jsonl,job_file,status_file,results,output
part001,0,4000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part001.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part001.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part001.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part001.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part001.csv
part002,4000,8000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part002.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part002.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part002.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part002.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part002.csv
part003,8000,12000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part003.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part003.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part003.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part003.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part003.csv
part004,12000,16000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part004.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part004.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part004.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part004.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part004.csv
part005,16000,20000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part005.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part005.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part005.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part005.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part005.csv
part006,20000,24000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part006.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part006.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part006.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part006.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part006.csv
part007,24000,28000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part007.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part007.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part007.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part007.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part007.csv
part008,28000,32000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part008.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part008.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part008.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part008.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part008.csv
part009,32000,36000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part009.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part009.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part009.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part009.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part009.csv
part010,36000,40000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part010.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part010.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part010.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part010.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part010.csv
part011,40000,44000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part011.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part011.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part011.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part011.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part011.csv
part012,44000,48000,4000,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_requests_topics_procedural_part012.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_job_topics_procedural_part012.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_status_topics_procedural_part012.json,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\batch_results_topics_procedural_part012.jsonl,E:\study\S2\Evaluating-Econometric-Methods_data\Evaluating_Econometric_Methods_MyProject\Gemini_chunk\batch_parts\speeches_topics_procedural_part012.csv
