basepk,chunk_index,topic,procedural_score,error
2198876,0,meeting with western premiers on abandonment,0.0,
2198878,0,provincial consultation on legislation,0.25,
2198961,0,investigation of labour statistics,0.25,
2198978,0,Canadian economic stability,0.25,
2198978,1,jobs and economic expansion for Canadians,0.0,
2198982,0,Canadian control of natural resource development,0.0,
2199020,0,committee procedure and jurisdiction,0.75,
2199025,0,divorce and matrimonial causes in England,0.0,
2199029,0,provincial jurisdiction over contracts,0.75,
2199030,0,contract validity and public policy,0.25,
2199030,1,divorce proceedings and marriage contracts,0.25,
2199030,2,alimony and maintenance for wife and children,0.0,
2199034,0,alimony and separation agreement,0.0,
2199034,1,adultery allegations in divorce proceedings,0.5,
2199034,2,divorce and contract terms,0.25,
2199037,0,reading evidence to committee,0.75,
2199037,1,divorce bills and evidence,0.25,
2199084,0,"order of business, C.N.R. capital expenditures",0.5,
2199132,0,consultations on military assistance to India,0.0,
2199132,1,joint aid program with India,0.0,
2199150,0,Auditor General's report on public accounts,0.0,
2199150,1,referral of public accounts to committee,0.25,
2199209,0,provincial-federal conference determination,0.25,
2199267,0,completion of a report,0.75,
2199275,0,immigration through New York port,0.5,
2199291,0,Champlain waterway study,0.0,
2199321,0,unanimous consent for debatable motion,0.75,
2199327,0,Auditor General's examination of departmental estimates,0.0,
2199335,0,privilege abridged by former minister,0.25,
2199335,1,ministerial opinion on officer's rights,0.25,
2199345,0,tariff reduction and choice of transportation,0.0,
2199363,0,order and procedure,0.75,
2199371,0,election expenses and campaign contributions,0.0,
2199371,1,electoral reform and political expenditures,0.0,
2199371,2,open disclosure legislation,0.0,
2199371,3,election expenditures and campaign finance reform,0.25,
2199371,4,election expenditures and federal funding,0.0,
2199371,5,election campaign financing,0.0,
2199371,6,campaign contributions from companies and unions,0.25,
2199371,7,foreign investment and political contributions,0.25,
2199376,0,election campaign finance reform,0.0,
2199376,1,party fundraising and government contracts,0.25,
2199376,2,Liberal party policy confusion,0.75,
2199417,0,Roosevelt memorial bridge customs service,0.25,
2199419,0,Roosevelt memorial bridge service restoration,0.0,
2199528,0,national defence and foreign policy,0.0,
2199575,0,divorce bill for Marion Ruth Catherine Slattery,0.0,
2199575,1,handling of divorce bill questions,0.25,
2199575,2,domicile and marital separation,0.0,
2199575,3,divorce and marriage reconciliation,0.0,
2199575,4,family court services for marriage counselling,0.0,
2199575,5,family court and marriage reconciliation services,0.0,
2199575,6,domestic abuse and availability of services,0.0,
2199575,7,domestic violence and separation,0.0,
2199575,8,personal testimony regarding marital separation,0.0,
2199591,0,divorce bills adjudication,0.25,
2199591,1,legal procedure and witness testimony,0.25,
2199591,2,domestic violence,0.0,
2199591,3,adultery charge legal aspects,0.0,
2199591,4,witness testimony in divorce case,0.25,
2199635,0,York-Scarborough convention,0.25,
2199646,0,Canada's nuclear weapons policy,0.25,
2199646,1,Canada's contribution to nuclear arms proliferation,0.0,
2199646,2,NATO nuclear strategy and deployment,0.0,
2199646,3,US strategic nuclear forces and NATO,0.0,
2199646,4,Canada's nuclear weapons policy and NORAD,0.0,
2199646,5,Canada's position on nuclear weapons in NATO,0.0,
2199646,6,tactical nuclear weapons and escalation,0.0,
2199854,0,nuclear warheads availability and disarmament,0.0,
2199854,1,NATO nuclear force and disarmament,0.0,
2199854,2,multilateral nuclear force and defence policy,0.0,
2199864,0,debate time allocation,0.75,
2199874,0,external affairs and national defence,0.25,
2199874,1,national defence and nuclear weapons,0.0,
2199874,2,Leader of the Opposition's remarks on nuclear warheads,0.25,
2199874,3,General Norstad and Hitler,0.25,
2199874,4,Canadian nationalism and US influence,0.25,
2199874,5,Social Credit defence policy on mass destruction weapons,0.0,
2199883,0,unanimous consent to proceed,0.75,
2199888,0,Canada acquiring defensive nuclear weapons,0.0,
2199888,1,defence policy and NORAD commitments,0.25,
2199888,2,defence policy and nuclear weapons,0.25,
2199888,3,fighting communism with ideas,0.0,
2199888,4,social credit and international relations,0.25,
2199888,5,Canada's contribution to western alliance security,0.0,
2199888,6,Canada's contribution to military alliance,0.25,
2199919,0,Prime Minister's fitness,0.25,
2199924,0,withdrawal of remark,0.75,
2199949,0,orders of the day,0.75,
2199957,0,definition of surplus strips,0.0,
2199978,0,bankruptcies and insolvencies statistics,0.0,
2200009,0,royal commission on banking and finance,0.0,
2200074,0,parliamentary approval of spending estimates,0.25,
2200140,0,fisheries commission report to committee,0.25,
2200211,0,order of business,0.75,
2200242,0,debate scope in committee,0.75,
