basepk,chunk_index,topic,category,procedural_score,error_x,error_y
2198876,0,meeting with western premiers on abandonment,Intergovernmental & Constitutional Affairs,0.0,,
2198878,0,provincial consultation on legislation,Intergovernmental & Constitutional Affairs,0.25,,
2198961,0,investigation of labour statistics,Economic & Fiscal Policy,0.25,,
2198978,0,Canadian economic stability,Economic & Fiscal Policy,0.25,,
2198978,1,jobs and economic expansion for Canadians,Economic & Fiscal Policy,0.0,,
2198982,0,Canadian control of natural resource development,Agriculture & Natural Resources,0.0,,
2199020,0,committee procedure and jurisdiction,Parliamentary Affairs,0.75,,
2199025,0,divorce and matrimonial causes in England,"Justice, Rights & Immigration",0.0,,
2199029,0,provincial jurisdiction over contracts,Intergovernmental & Constitutional Affairs,0.75,,
2199030,0,contract validity and public policy,"Justice, Rights & Immigration",0.25,,
2199030,1,divorce proceedings and marriage contracts,"Justice, Rights & Immigration",0.25,,
2199030,2,alimony and maintenance for wife and children,Social Policy,0.0,,
2199034,0,alimony and separation agreement,Social Policy,0.0,,
2199034,1,adultery allegations in divorce proceedings,"Justice, Rights & Immigration",0.5,,
2199034,2,divorce and contract terms,"Justice, Rights & Immigration",0.25,,
2199037,0,reading evidence to committee,Parliamentary Affairs,0.75,,
2199037,1,divorce bills and evidence,"Justice, Rights & Immigration",0.25,,
2199084,0,"order of business, C.N.R. capital expenditures",Parliamentary Affairs,0.5,,
2199132,0,consultations on military assistance to India,Foreign Affairs & Defence,0.0,,
2199132,1,joint aid program with India,Foreign Affairs & Defence,0.0,,
2199150,0,Auditor General's report on public accounts,Government Operations & Ethics,0.0,,
2199150,1,referral of public accounts to committee,Government Operations & Ethics,0.25,,
2199209,0,provincial-federal conference determination,Intergovernmental & Constitutional Affairs,0.25,,
2199267,0,completion of a report,Parliamentary Affairs,0.75,,
2199275,0,immigration through New York port,"Justice, Rights & Immigration",0.5,,
2199291,0,Champlain waterway study,Trade & Industry,0.0,,
2199321,0,unanimous consent for debatable motion,Parliamentary Affairs,0.75,,
2199327,0,Auditor General's examination of departmental estimates,Government Operations & Ethics,0.0,,
2199335,0,privilege abridged by former minister,Parliamentary Affairs,0.25,,
2199335,1,ministerial opinion on officer's rights,Parliamentary Affairs,0.25,,
2199345,0,tariff reduction and choice of transportation,Trade & Industry,0.0,,
2199363,0,order and procedure,Parliamentary Affairs,0.75,,
2199371,0,election expenses and campaign contributions,Government Operations & Ethics,0.0,,
2199371,1,electoral reform and political expenditures,Government Operations & Ethics,0.0,,
2199371,2,open disclosure legislation,Government Operations & Ethics,0.0,,
2199371,3,election expenditures and campaign finance reform,Government Operations & Ethics,0.25,,
2199371,4,election expenditures and federal funding,Government Operations & Ethics,0.0,,
2199371,5,election campaign financing,Government Operations & Ethics,0.0,,
2199371,6,campaign contributions from companies and unions,Government Operations & Ethics,0.25,,
2199371,7,foreign investment and political contributions,Government Operations & Ethics,0.25,,
2199376,0,election campaign finance reform,Government Operations & Ethics,0.0,,
2199376,1,party fundraising and government contracts,Government Operations & Ethics,0.25,,
2199376,2,Liberal party policy confusion,Government Operations & Ethics,0.75,,
2199417,0,Roosevelt memorial bridge customs service,Trade & Industry,0.25,,
2199419,0,Roosevelt memorial bridge service restoration,Trade & Industry,0.0,,
2199528,0,national defence and foreign policy,Foreign Affairs & Defence,0.0,,
