basepk,topic,procedural_score,error
3143694,Canadian foreign aid and debt management,0.0,
3143701,DREE assistance for New Brunswick dairy farmers,0.0,
3143772,adjournment of debate,0.75,
3143776,adjournment proceedings and private members' business,1.0,
3143792,private bill for marriage exception,0.25,
3143807,transferring speeches to another stage,0.75,
3143823,amendment to pipeline bill,0.75,
3143884,review of bids and contracts,0.0,
3143890,native employment in Yukon pipeline construction,0.0,
3143894,Canadian industry and pipe bidding,0.25,
3143917,referral of statutes revision proposals to committee,0.5,
3143944,old age security pension eligibility,0.25,
3143986,Canada's merchandise trade surplus in 1977,0.0,
3143988,current account trade deficit estimate,0.25,
3143989,export performance of Canadian industries,0.0,
3144026,first ministers' conference on economic policy,0.25,
3144044,skim milk powder subsidy usage,0.0,
3144057,marketing corporation differences of opinion,0.25,
3144072,Slave River sawmill refinancing,0.0,
3144085,deportation of American visitor,0.25,
3144090,amendments to the Copyright Act,0.25,
3144098,skim milk powder subsidy removal,0.0,
3144131,question of privilege on immigration regulations,0.75,
3144154,New Brunswick Liaison Committee members,0.0,
3144183,pay for housework and gender roles,0.25,
3144210,Bank Act extension and social policy,0.25,
3144235,directing bank investments for social projects,0.1,
3144247,control of money and credit,0.1,
3144256,tourism industry negative balance of payments,0.25,
3144269,condemning inadequate cow-calf producer payments,0.25,
3144296,public accounts committee appearance,0.75,
3144342,RCMP offshore investigations,0.0,
3144361,Atomic Energy of Canada Limited contract,0.0,
3144412,Anti-Inflation Board salary guidelines,0.0,
3144486,Bank Act foreign ownership and national policy,0.25,
3144537,Hall report on prairie roadbeds,0.25,
3144607,foreign bank operations in Canada,0.0,
3144635,Gull Island project energy development,0.25,
3144653,condemnation of minister of finance statements,0.75,
3144687,Great Lakes water levels and shoreline protection,0.5,
3144797,Uganda's participation in Commonwealth Games,0.0,
3144882,part-time employee wages and numbers,0.0,
3144923,Crown corporations and regional economic expansion,0.0,
3144998,Bank Act revision and extension,0.25,
3145002,consumer credit and the Bank Act,0.25,
3145025,time allocation for debate,0.5,
3145082,Davie shipyard contract for fleet renovation,0.5,
3145106,outflow of U.S. dollar reserves,0.0,
3145111,foreign exchange reserves,0.0,
3145115,ministerial accountability on government policy,0.25,
3145120,Chrysler lay-offs and auto trade deficit,0.25,
3145121,auto industry production and competition,0.0,
3145132,foreign loan interest rates,0.25,
3145142,federal government spending estimates,0.0,
3145145,accuracy of government spending estimates,0.25,
3145154,government advertising for domestic tourism,0.25,
3145170,Anatoly Shcharansky landed immigrant status,0.0,
3145212,parliamentary privilege and surveillance,0.75,
3145249,security documents and MP rights,0.25,
3145295,parliamentary courtesy,0.75,
3145297,parliamentary privilege and intimidation,0.5,
3145341,consideration of documents and privilege,0.5,
3145359,question of privilege and government security,0.5,
3145372,breach of office security,0.25,
3145376,documents in Speaker's possession,0.75,
3145388,order of business for CNR recapitalization bill,0.75,
3145407,CMHC insulation program calls,0.0,
3145426,dissolution of Indian band co-operative,0.0,
3145428,radioactive waste disposal geological study,0.0,
3145450,railway worker pensions and Hall report,0.25,
3145455,Canadian National Railway debt restructuring and western grain transport,0.25,
3145482,supplementary question on minister's decision,0.25,
3145508,energy field projects and pipeline,0.25,
3145529,floating the Canadian dollar,0.0,
3145562,Sault lock operating costs and coal traffic,0.0,
3145580,Shcharansky case and Soviet Union relations,0.25,
3145585,human rights in Baltic states,0.0,
3145596,changes to parole laws,0.0,
3145601,operation of service for winter games,0.0,
3145629,Canadian Home Insulation Programme,0.0,
3145665,debate on Bill C-7,0.75,
3145692,amendments to criminal code on invasion of privacy,0.0,
3145696,wiretapping and admissibility of evidence,0.25,
3145705,parliamentary privilege and police surveillance,0.25,
3145770,Statistics Canada food price judgments,0.25,
3145791,information availability,0.75,
3145826,expansion of Churchill port facilities,0.25,
3145847,security service investigation into press declarations,0.25,
3145855,dollar value and bond issuance,0.25,
3145886,Official Secrets Act and parliamentary privilege,0.75,
3145890,question of privilege regarding Official Secrets Act,0.75,
3145893,question of privilege and committee study,0.75,
3145894,question of privilege validity,0.75,
3145898,parliamentary privilege and member conduct,0.5,
3145938,Crown's financial interest in Canadian Patents and Development Limited,0.0,
3145940,Crown's financial interest in Director of Soldier Settlement,0.0,
3145941,Soldier Settlement Act remaining property,0.0,
3145966,women's appointments to federal boards,0.0,
3145996,consideration of amendment,0.75,
3146018,equal rights for women,0.25,
3146024,Canada Pension Plan and spouse's allowance for women,0.25,
3146111,Canada-US treasury meeting concerns,0.25,
3146158,smoke detector inspection and disposal,0.0,
3146183,tariff cuts on manufactured articles,0.25,
3146224,Central Mortgage and Housing Corporation housing studies,0.0,
3146231,public servant language training statistics,0.0,
3146286,funding for medical research,0.0,
3146313,investment tax credit for industrial research,0.25,
3146361,supplementary question on growth estimates and fiscal policy,0.25,
3146415,Yukon constitutional development inquiry,0.0,
3146462,RCMP surveillance of members of parliament,0.5,
3146490,unanimous consent and questions of privilege,0.75,
3146540,public service employment and salary ranges,0.0,
3146546,investment tax credit for scientific research,0.0,
3146547,job training funds for railway workers,0.0,
3146607,ministerial attendance at agriculture estimates,0.75,
3146658,amendments to the Bank Act,0.0,
3146661,Bank Act review,0.25,
3146676,security document leak inquiry,0.25,
3146683,access to classified information,0.5,
3146774,question of privilege on security document leak,0.75,
3146809,parliamentary responsibility for security,0.5,
3146823,parliamentary privilege and government actions,0.75,
3146845,question of privilege on refusal to answer,0.75,
3146904,pension indexing and supplementary retirement benefits,0.25,
3146909,purchasing value of public service pensions,0.0,
3146988,Financial Administration Act amendments,0.25,
3147077,Canadian monetary policy and economic independence,0.25,
3147101,action against persons engaged in questionable practices,0.0,
3147145,Anik C satellite contract for Canadian industry,0.0,
3147162,pension indexing misrepresentation correction,0.25,
3147185,agricultural research funding,0.0,
3147202,Liberal party electoral support,0.75,
3147242,transfer of offenders between Canada and US/Mexico,0.25,
3147303,tabling of minister's documents,0.5,
3147336,women in combat roles,0.1,
3147350,federal land acquisition for research centre,0.25,
3147353,Cosmos satellite expenses and treaties,0.0,
3147362,interim supply debate scheduling,0.75,
3147368,Post Office fees and conciliation,0.25,
3147377,cost of prime minister's western trip,0.25,
3147391,Indian school sewage systems,0.0,
3147402,fishermen's gear damage and federal-provincial discussions,0.0,
3147423,Canadian solar energy institute,0.0,
3147435,interim supply and supplementary estimates,0.75,
3147440,National Research Council contracts,0.0,
3147444,Crown's financial interest in a company,0.0,
3147511,establishment of a separate fisheries department,0.0,
3147577,special committee on economic urgency,0.75,
