basepk,topic,procedural_score,error
2198876,meeting with western premiers on abandonment,0.0,
2198878,provincial consultation on legislation,0.25,
2198961,investigation of labour department statistics,0.25,
2198978,Canadian economic stability and future prosperity,0.25,
2198982,Canadian control of natural resource development,0.0,
2199020,committee procedure and legal interpretation,0.75,
2199025,divorce and matrimonial causes in England,0.0,
2199029,provincial jurisdiction over contracts,0.75,
2199030,divorce bill and marriage contract validity,0.25,
2199034,divorce proceedings and marital agreements,0.5,
2199037,divorce bills evidence reading,0.75,
2199084,order of business,0.75,
2199132,military assistance to India,0.0,
2199150,Auditor General's report on public accounts,0.25,
2199209,provincial-federal conference determination,0.5,
2199267,report publication timing,0.75,
2199275,immigration assistance from US company,0.75,
2199291,Champlain waterway studies,0.0,
2199321,unanimous consent for debatable motion,0.75,
2199327,Auditor General's examination of departmental estimates,0.0,
2199335,privilege and public accounts committee referral,0.25,
2199345,tariff reduction and choice of transportation,0.25,
2199363,order and procedure,1.0,
2199371,election campaign financing reform,0.1,
2199376,election campaign finance reform,0.25,
2199417,Roosevelt memorial bridge customs service,0.25,
2199419,Roosevelt memorial bridge service restoration,0.0,
2199528,national defence and foreign policy,0.0,
2199575,divorce bill and family court services,0.25,
2199591,divorce bills evidence and procedure,0.25,
2199635,Liberal caucus,0.75,
2199646,Canada's acquisition of nuclear weapons,0.0,
2199854,Canada's nuclear policy and NATO,0.0,
2199864,debate time allocation,0.75,
2199874,national defence and nuclear weapons policy,0.25,
2199883,unanimous consent for debate,0.75,
2199888,Canada's nuclear weapons policy and defence strategy,0.25,
2199919,Prime Minister's fitness,0.5,
2199924,unclear,1.0,
2199949,unclear,1.0,
2199957,definition of surplus strips,0.0,
2199978,bankruptcies and insolvencies statistics,0.0,
2200009,royal commission on banking and finance,0.0,
2200074,parliamentary approval of government estimates,0.25,
2200140,fisheries commission report to committee,0.25,
2200211,orders of the day,1.0,
2200242,committee debate rules,0.75,
2200316,government spending and national policy,0.25,
2200321,National Economic Development Board Act,0.25,
2200486,unclear,1.0,
2200529,international north Pacific fisheries commission,0.0,
2200657,winter works program and municipal financing,0.25,
2200672,consultation on appointments to economic development board,0.25,
2200749,parliamentary debate on productivity council report,0.5,
2200751,consultation on appointments to boards,0.25,
2200793,fair prices and supply and demand,0.0,
2200818,guarantees in elections,0.5,
2200820,National Economic Development Board,0.25,
2200823,economic and financial policy,0.25,
2200924,St. Eustache post office enlargement,0.0,
2200955,unemployment insurance fund,0.0,
2201083,trans-Canada highway funding,0.0,
2201111,statement to Japanese press,0.25,
2201134,election campaign statements on employment,0.25,
2201137,minister's foreign exchange position,0.25,
2201175,creation of a committee,0.5,
2201195,parliamentary procedure reform,0.25,
2201223,United States government statements,0.25,
2201267,urgency of debate on US statement,0.75,
2201272,United States-Canadian joint negotiations,0.25,
2201335,unanimous consent for debate,0.75,
2201385,surcharge and imports order documents,0.5,
2201399,privileged advice to government officials,0.25,
2201407,legality of surcharges,0.25,
2201411,role of the clerk of the privy council,0.25,
2201423,parliamentary principle vs bureaucratic control,0.75,
2201445,order of business,1.0,
2201462,legality of orders in council,0.25,
2201475,defence policy and continental defence,0.25,
2201503,defence policy,0.25,
2201553,NATO unity and Prime Minister's remarks,0.25,
2201588,Canada-US defence committee meeting,0.0,
2201715,unemployment insurance act amendments,0.0,
2201747,unemployment insurance benefit levels,0.1,
2201820,unemployment insurance benefit recipients,0.25,
2201824,unemployment insurance fund and figures,0.0,
2201835,federal-provincial government responsibilities,0.5,
2201858,labour estimates,0.75,
2201861,Industrial Relations and Disputes Investigation Act,0.25,
2201891,welfare of the people of Canada,0.25,
2201893,amendment to the Criminal Code,0.25,
2201920,resignation over nuclear weapons policy,0.5,
2201976,Public Works work on Grand Cascapedia river,0.0,
2202014,preservation of Sir John Johnson house,0.0,
2202068,civil service employment qualifications,0.25,
2202112,parliamentary defence committee,0.5,
2202294,fairness of debate and amendment procedure,0.75,
2202355,election timing and government responsibility,0.25,
2202364,general praise for Canada and its people,0.25,
2202471,opposition obstruction of government business,0.75,
2202511,Canada's NATO commitments,0.25,
2202517,Canada-US defence relations,0.25,
2202645,butter consumer subsidy,0.25,
2202703,wheat sales negotiations,0.0,
2202704,Canadian wheat board export performance,0.0,
2202722,international north Pacific fisheries commission policy,0.0,
2202726,salmon runs and hydro installations,0.0,
2202737,federal assistance for technical schools,0.0,
2202856,parliamentary procedure and budget debate,0.75,
2202942,media coverage of political parties,0.75,
2202944,opposition to government confidence,0.75,
2202967,adjournment of the house,1.0,
2202980,nomination of Mr. Macnaughton as Speaker,0.25,
2202982,election of Speaker,0.25,
2203030,provincial tax sharing,0.0,
2203078,winter works incentive program,0.25,
2203119,parliamentary consultation on nuclear warheads,0.25,
2203140,Minister of Veterans Affairs misleading public,0.25,
2203185,departmental documents review,0.25,
2203594,court actions against government,0.25,
2203617,control of drugs and food contamination,0.0,
2203618,committee on fisheries,0.25,
2203667,"fishery limits, railway policy, pensions, redistribution, parliamentary procedure",0.25,
2203711,parliamentary indecision and lack of leadership,0.5,
2203759,establishment of department of industry,0.0,
2203763,ministers of agriculture for east and west,0.0,
2203833,Stanley Park sea wall grant,0.0,
2203869,ministerial responsibility and constituency questions,0.75,
2203999,Canada's NATO nuclear weapons commitments,0.25,
2204000,negotiating international agreements,0.25,
2204001,nuclear warheads for air division role,0.0,
2204090,NATO disengagement and Soviet proposals,0.0,
2204211,North American forestry commission meeting,0.0,
2204269,notice of bond issues,0.5,
2204279,election campaign irregularities in Magdalen Islands,0.5,
2204406,questions on orders of the day,1.0,
2204502,taxation and government savings,0.25,
2204567,support for the Leader of the Opposition,0.75,
2204589,economic performance and government programs,0.25,
2204595,timber board layoffs and unemployment,0.5,
2204603,unemployment and agriculture policy,0.25,
2204607,new department of industry and economic planning,0.1,
2204633,economic policy and industrial development,0.0,
2204663,commonwealth and GATT trade negotiations,0.25,
2204705,notice of question,0.75,
2204742,printing of Hansard proceedings,0.75,
2204755,point of order regarding Hansard access,1.0,
2204763,question of privilege regarding Postmaster General's statement,0.75,
2204852,parliamentary reform and confederation interpretation,0.25,
2204949,order of business and government agenda,0.75,
2204961,ministerial conduct in agriculture,0.25,
2205017,export volume and profits for forest industry,0.0,
2205025,new federal penitentiary site in Ontario,0.25,
