basepk,topic,category,procedural_score,error_x,error_y
2198876,meeting with western premiers on abandonment,Intergovernmental & Constitutional Affairs,0.0,,
2198878,provincial consultation on legislation,Parliamentary Affairs,0.25,,
2198961,investigation of labour department statistics,Government Operations & Ethics,0.25,,
2198978,Canadian economic stability and future prosperity,Economic & Fiscal Policy,0.25,,
2198982,Canadian control of natural resource development,Agriculture & Natural Resources,0.0,,
2199020,committee procedure and legal interpretation,Parliamentary Affairs,0.75,,
2199025,divorce and matrimonial causes in England,"Justice, Rights & Immigration",0.0,,
2199029,provincial jurisdiction over contracts,Intergovernmental & Constitutional Affairs,0.75,,
2199030,divorce bill and marriage contract validity,"Justice, Rights & Immigration",0.25,,
2199034,divorce proceedings and marital agreements,"Justice, Rights & Immigration",0.5,,
2199037,divorce bills evidence reading,"Justice, Rights & Immigration",0.75,,
2199084,order of business,Parliamentary Affairs,0.75,,
2199132,military assistance to India,Foreign Affairs & Defence,0.0,,
2199150,Auditor General's report on public accounts,Government Operations & Ethics,0.25,,
2199209,provincial-federal conference determination,Intergovernmental & Constitutional Affairs,0.5,,
2199267,report publication timing,Parliamentary Affairs,0.75,,
2199275,immigration assistance from US company,"Justice, Rights & Immigration",0.75,,
2199291,Champlain waterway studies,Trade & Industry,0.0,,
2199321,unanimous consent for debatable motion,Parliamentary Affairs,0.75,,
2199327,Auditor General's examination of departmental estimates,Government Operations & Ethics,0.0,,
2199335,privilege and public accounts committee referral,Parliamentary Affairs,0.25,,
2199345,tariff reduction and choice of transportation,Trade & Industry,0.25,,
2199363,order and procedure,Parliamentary Affairs,1.0,,
2199371,election campaign financing reform,Government Operations & Ethics,0.1,,
2199376,election campaign finance reform,Government Operations & Ethics,0.25,,
2199417,Roosevelt memorial bridge customs service,Trade & Industry,0.25,,
2199419,Roosevelt memorial bridge service restoration,Trade & Industry,0.0,,
2199528,national defence and foreign policy,Foreign Affairs & Defence,0.0,,
2199575,divorce bill and family court services,"Justice, Rights & Immigration",0.25,,
2199591,divorce bills evidence and procedure,"Justice, Rights & Immigration",0.25,,
2199635,Liberal caucus,Parliamentary Affairs,0.75,,
2199646,Canada's acquisition of nuclear weapons,Foreign Affairs & Defence,0.0,,
2199854,Canada's nuclear policy and NATO,Foreign Affairs & Defence,0.0,,
2199864,debate time allocation,Parliamentary Affairs,0.75,,
2199874,national defence and nuclear weapons policy,Foreign Affairs & Defence,0.25,,
2199883,unanimous consent for debate,Parliamentary Affairs,0.75,,
2199888,Canada's nuclear weapons policy and defence strategy,Foreign Affairs & Defence,0.25,,
2199919,Prime Minister's fitness,Government Operations & Ethics,0.5,,
2199924,unclear,Parliamentary Affairs,1.0,,
2199949,unclear,Parliamentary Affairs,1.0,,
2199957,definition of surplus strips,Economic & Fiscal Policy,0.0,,
2199978,bankruptcies and insolvencies statistics,Economic & Fiscal Policy,0.0,,
2200009,royal commission on banking and finance,Economic & Fiscal Policy,0.0,,
2200074,parliamentary approval of government estimates,Parliamentary Affairs,0.25,,
2200140,fisheries commission report to committee,Agriculture & Natural Resources,0.25,,
2200211,orders of the day,Parliamentary Affairs,1.0,,
2200242,committee debate rules,Parliamentary Affairs,0.75,,
2200316,government spending and national policy,Economic & Fiscal Policy,0.25,,
2200321,National Economic Development Board Act,Economic & Fiscal Policy,0.25,,
2200486,unclear,Parliamentary Affairs,1.0,,
2200529,international north Pacific fisheries commission,Agriculture & Natural Resources,0.0,,
2200657,winter works program and municipal financing,Economic & Fiscal Policy,0.25,,
2200672,consultation on appointments to economic development board,Government Operations & Ethics,0.25,,
2200749,parliamentary debate on productivity council report,Parliamentary Affairs,0.5,,
2200751,consultation on appointments to boards,Government Operations & Ethics,0.25,,
2200793,fair prices and supply and demand,Economic & Fiscal Policy,0.0,,
2200818,guarantees in elections,Parliamentary Affairs,0.5,,
2200820,National Economic Development Board,Government Operations & Ethics,0.25,,
2200823,economic and financial policy,Economic & Fiscal Policy,0.25,,
2200924,St. Eustache post office enlargement,Government Operations & Ethics,0.0,,
2200955,unemployment insurance fund,Social Policy,0.0,,
2201083,trans-Canada highway funding,Intergovernmental & Constitutional Affairs,0.0,,
2201111,statement to Japanese press,Foreign Affairs & Defence,0.25,,
2201134,election campaign statements on employment,Social Policy,0.25,,
2201137,minister's foreign exchange position,Economic & Fiscal Policy,0.25,,
2201175,creation of a committee,Parliamentary Affairs,0.5,,
2201195,parliamentary procedure reform,Parliamentary Affairs,0.25,,
2201223,United States government statements,Foreign Affairs & Defence,0.25,,
2201267,urgency of debate on US statement,Parliamentary Affairs,0.75,,
2201272,United States-Canadian joint negotiations,Foreign Affairs & Defence,0.25,,
2201335,unanimous consent for debate,Parliamentary Affairs,0.75,,
2201385,surcharge and imports order documents,Trade & Industry,0.5,,
2201399,privileged advice to government officials,Government Operations & Ethics,0.25,,
2201407,legality of surcharges,Trade & Industry,0.25,,
2201411,role of the clerk of the privy council,Government Operations & Ethics,0.25,,
2201423,parliamentary principle vs bureaucratic control,Parliamentary Affairs,0.75,,
2201445,order of business,Parliamentary Affairs,1.0,,
2201462,legality of orders in council,Government Operations & Ethics,0.25,,
2201475,defence policy and continental defence,Foreign Affairs & Defence,0.25,,
2201503,defence policy,Foreign Affairs & Defence,0.25,,
2201553,NATO unity and Prime Minister's remarks,Foreign Affairs & Defence,0.25,,
2201588,Canada-US defence committee meeting,Foreign Affairs & Defence,0.0,,
2201715,unemployment insurance act amendments,Social Policy,0.0,,
2201747,unemployment insurance benefit levels,Social Policy,0.1,,
2201820,unemployment insurance benefit recipients,Social Policy,0.25,,
2201824,unemployment insurance fund and figures,Social Policy,0.0,,
2201835,federal-provincial government responsibilities,Intergovernmental & Constitutional Affairs,0.5,,
2201858,labour estimates,Government Operations & Ethics,0.75,,
2201861,Industrial Relations and Disputes Investigation Act,Social Policy,0.25,,
2201891,welfare of the people of Canada,Social Policy,0.25,,
2201893,amendment to the Criminal Code,"Justice, Rights & Immigration",0.25,,
2201920,resignation over nuclear weapons policy,Foreign Affairs & Defence,0.5,,
2201976,Public Works work on Grand Cascapedia river,Government Operations & Ethics,0.0,,
2202014,preservation of Sir John Johnson house,Government Operations & Ethics,0.0,,
2202068,civil service employment qualifications,Government Operations & Ethics,0.25,,
2202112,parliamentary defence committee,Parliamentary Affairs,0.5,,
2202294,fairness of debate and amendment procedure,Parliamentary Affairs,0.75,,
2202355,election timing and government responsibility,Government Operations & Ethics,0.25,,
2202364,general praise for Canada and its people,Foreign Affairs & Defence,0.25,,
2202471,opposition obstruction of government business,Parliamentary Affairs,0.75,,
2202511,Canada's NATO commitments,Foreign Affairs & Defence,0.25,,
2202517,Canada-US defence relations,Foreign Affairs & Defence,0.25,,
2202645,butter consumer subsidy,Economic & Fiscal Policy,0.25,,
2202703,wheat sales negotiations,Agriculture & Natural Resources,0.0,,
2202704,Canadian wheat board export performance,Agriculture & Natural Resources,0.0,,
2202722,international north Pacific fisheries commission policy,Agriculture & Natural Resources,0.0,,
2202726,salmon runs and hydro installations,Agriculture & Natural Resources,0.0,,
2202737,federal assistance for technical schools,Social Policy,0.0,,
2202856,parliamentary procedure and budget debate,Parliamentary Affairs,0.75,,
2202942,media coverage of political parties,Government Operations & Ethics,0.75,,
2202944,opposition to government confidence,Parliamentary Affairs,0.75,,
2202967,adjournment of the house,Parliamentary Affairs,1.0,,
2202980,nomination of Mr. Macnaughton as Speaker,Parliamentary Affairs,0.25,,
2202982,election of Speaker,Parliamentary Affairs,0.25,,
2203030,provincial tax sharing,Intergovernmental & Constitutional Affairs,0.0,,
2203078,winter works incentive program,Economic & Fiscal Policy,0.25,,
2203119,parliamentary consultation on nuclear warheads,Foreign Affairs & Defence,0.25,,
2203140,Minister of Veterans Affairs misleading public,Government Operations & Ethics,0.25,,
2203185,departmental documents review,Government Operations & Ethics,0.25,,
2203594,court actions against government,"Justice, Rights & Immigration",0.25,,
2203617,control of drugs and food contamination,"Justice, Rights & Immigration",0.0,,
2203618,committee on fisheries,Agriculture & Natural Resources,0.25,,
2203667,"fishery limits, railway policy, pensions, redistribution, parliamentary procedure",Parliamentary Affairs,0.25,,
2203711,parliamentary indecision and lack of leadership,Parliamentary Affairs,0.5,,
2203759,establishment of department of industry,Trade & Industry,0.0,,
2203763,ministers of agriculture for east and west,Agriculture & Natural Resources,0.0,,
2203833,Stanley Park sea wall grant,Agriculture & Natural Resources,0.0,,
2203869,ministerial responsibility and constituency questions,Government Operations & Ethics,0.75,,
2203999,Canada's NATO nuclear weapons commitments,Foreign Affairs & Defence,0.25,,
2204000,negotiating international agreements,Foreign Affairs & Defence,0.25,,
2204001,nuclear warheads for air division role,Foreign Affairs & Defence,0.0,,
2204090,NATO disengagement and Soviet proposals,Foreign Affairs & Defence,0.0,,
2204211,North American forestry commission meeting,Agriculture & Natural Resources,0.0,,
2204269,notice of bond issues,Economic & Fiscal Policy,0.5,,
2204279,election campaign irregularities in Magdalen Islands,Parliamentary Affairs,0.5,,
2204406,questions on orders of the day,Parliamentary Affairs,1.0,,
2204502,taxation and government savings,Economic & Fiscal Policy,0.25,,
2204567,support for the Leader of the Opposition,Parliamentary Affairs,0.75,,
2204589,economic performance and government programs,Economic & Fiscal Policy,0.25,,
2204595,timber board layoffs and unemployment,Agriculture & Natural Resources,0.5,,
2204603,unemployment and agriculture policy,Agriculture & Natural Resources,0.25,,
2204607,new department of industry and economic planning,Trade & Industry,0.1,,
2204633,economic policy and industrial development,Economic & Fiscal Policy,0.0,,
2204663,commonwealth and GATT trade negotiations,Trade & Industry,0.25,,
2204705,notice of question,Parliamentary Affairs,0.75,,
2204742,printing of Hansard proceedings,Parliamentary Affairs,0.75,,
2204755,point of order regarding Hansard access,Parliamentary Affairs,1.0,,
2204763,question of privilege regarding Postmaster General's statement,Parliamentary Affairs,0.75,,
2204852,parliamentary reform and confederation interpretation,Intergovernmental & Constitutional Affairs,0.25,,
2204949,order of business and government agenda,Parliamentary Affairs,0.75,,
2204961,ministerial conduct in agriculture,Agriculture & Natural Resources,0.25,,
2205017,export volume and profits for forest industry,Agriculture & Natural Resources,0.0,,
2205025,new federal penitentiary site in Ontario,"Justice, Rights & Immigration",0.25,,
2205042,sugar price increase and supply,Agriculture & Natural Resources,0.0,,
2205062,provincial program applications,Intergovernmental & Constitutional Affairs,0.25,,
2205084,air transport board regulation,Trade & Industry,0.0,,
2205187,imputation contrary to house rules,Parliamentary Affairs,0.75,,
2205201,ministerial statement authenticity,Parliamentary Affairs,0.5,,
2205209,question of privilege forgery,Parliamentary Affairs,0.75,,
2205237,removal of Mr. McKay,Parliamentary Affairs,0.5,,
2205257,order of business,Parliamentary Affairs,1.0,,
2205373,agriculture committee and wheat board,Agriculture & Natural Resources,0.25,,
2205399,C.N.R. car repair depot in Hanna,Trade & Industry,0.0,,
2205416,Trans-Canada pipe lines equity stock,Trade & Industry,0.0,,
2205419,trans-Canada pipe line ownership,Trade & Industry,0.0,,
2205428,tenderers for government contracts,Government Operations & Ethics,0.25,,
2205463,department of agriculture for eastern Canada,Agriculture & Natural Resources,0.25,,
2205481,previous government appointments,Government Operations & Ethics,0.25,,
2205487,bilingualism and biculturalism in Canada,Intergovernmental & Constitutional Affairs,0.1,,
2205492,municipal development and loan board,Economic & Fiscal Policy,0.0,,
2205511,denial of attending dinner,Parliamentary Affairs,0.75,,
2205533,Canada-US defence cooperation,Foreign Affairs & Defence,0.0,,
2205550,UN financial crisis and Canadian role,Foreign Affairs & Defence,0.0,,
2205562,TCA repair depot move from Winnipeg,Trade & Industry,0.0,,
2205573,clarification of previous question,Parliamentary Affairs,0.75,,
2205649,ministerial appointment congratulations,Parliamentary Affairs,0.25,,
2205656,Indian affairs branch meetings,Indigenous & Northern Affairs,0.0,,
2205684,multiculturalism and immigration policy,"Justice, Rights & Immigration",0.25,,
2206141,Canada-US gas imports,Trade & Industry,0.25,,
2206153,strategic air command flights over Canada,Foreign Affairs & Defence,0.0,,
2206180,sugar prices and the canning industry,Trade & Industry,0.0,,
2206249,air fares on the Atlantic route,Trade & Industry,0.25,,
2206288,CBC radio broadcast content,Government Operations & Ethics,0.25,,
2206338,house seating plan,Parliamentary Affairs,0.25,,
2206345,parliamentary debate on defence policy committees,Foreign Affairs & Defence,0.5,,
2206365,point of order on committee debate scope,Parliamentary Affairs,0.75,,
2206421,paid statutory holidays and labour code revision,Social Policy,0.25,,
2206460,air division overseas role,Foreign Affairs & Defence,0.25,,
2206471,defence policy committee,Foreign Affairs & Defence,0.25,,
2206513,defence committee and minister's report,Foreign Affairs & Defence,0.5,,
2206598,restrictive trade practices commission sugar industry,Trade & Industry,0.0,,
2206610,Canada's UN peace keeping contribution,Foreign Affairs & Defence,0.0,,
2206625,unemployment insurance for lumbermen,Social Policy,0.0,,
2206635,accountability of the Canadian Broadcasting Corporation,Government Operations & Ethics,0.25,,
2206690,penitentiary construction schedule,"Justice, Rights & Immigration",0.0,,
2206717,civil service postings and austerity,Government Operations & Ethics,0.25,,
2206746,appropriation for fiscal year 1964,Economic & Fiscal Policy,0.0,,
2206813,regulation of advertising on radio and television,Trade & Industry,0.25,,
2206820,order of business,Parliamentary Affairs,0.75,,
2206895,federal grants to Quebec classical colleges and universities,Social Policy,0.0,,
2206985,experimental farm near Fort William,Agriculture & Natural Resources,0.0,,
2207065,Canadian coat of arms,Parliamentary Affairs,0.0,,
2207075,bank interest charges and Bank Act revision,Economic & Fiscal Policy,0.0,,
2207092,chiropractic inclusion in medical care insurance,Social Policy,0.0,,
2207096,acquisition of newspaper by director of investigation,Government Operations & Ethics,0.1,,
2207109,mental health and hospital construction funding,Social Policy,0.0,,
2207143,federal-provincial technical and vocational training schools,Social Policy,0.0,,
2207176,radioactive fall-out monitoring program,Foreign Affairs & Defence,0.0,,
2207239,common law wife income tax and UI,Social Policy,0.0,,
2207247,discontinue West Arichat light,Government Operations & Ethics,0.0,,
2207290,butter stocks and storage costs,Agriculture & Natural Resources,0.0,,
2207291,government butter and butter oil stocks and costs,Agriculture & Natural Resources,0.0,,
2207306,cabinet ministers' corporate directorships,Government Operations & Ethics,0.0,,
2207436,tariff on sugar imports,Trade & Industry,0.0,,
2207451,bread price increases in Montreal,Trade & Industry,0.0,,
2207476,RCMP security inquiries on university campuses,"Justice, Rights & Immigration",0.25,,
2207492,C.C.F. youth movement affiliation,Parliamentary Affairs,0.5,,
2207539,abstention principle in external affairs,Foreign Affairs & Defence,0.25,,
2207545,interim supply estimates,Parliamentary Affairs,0.25,,
2207560,appeal body for security clearance cases,"Justice, Rights & Immigration",0.25,,
2207588,borrowing authority for $1.5 billion,Economic & Fiscal Policy,0.25,,
2207592,government debt interest estimates,Economic & Fiscal Policy,0.0,,
2207599,borrowing power in bill,Economic & Fiscal Policy,0.25,,
2207622,Canada-US export market impact,Trade & Industry,0.25,,
2207629,extension of territorial waters,Foreign Affairs & Defence,0.0,,
2207680,fish marketing regulations,Agriculture & Natural Resources,0.0,,
2207690,US injunction on ship loading,Trade & Industry,0.0,,
2207707,federal-provincial conference terms of reference,Intergovernmental & Constitutional Affairs,0.25,,
2207720,trans-Canada highway layout on Montreal island,Intergovernmental & Constitutional Affairs,0.0,,
2207773,committee terms of reference on smoking and lung cancer,Social Policy,0.25,,
2207791,NHA interest rates and lending facilities,Economic & Fiscal Policy,0.0,,
2207871,Representation Act name change for Charlevoix,Parliamentary Affairs,0.25,,
2207880,naming of St. Maurice-Lafleche constituency,Parliamentary Affairs,0.5,,
2207900,question of privilege regarding personal remarks,Parliamentary Affairs,0.75,,
2207901,comedian,Parliamentary Affairs,0.75,,
2207910,constituency name change,Parliamentary Affairs,0.75,,
2207923,defence committee study of nuclear weapons and NATO,Foreign Affairs & Defence,0.25,,
2207927,Canada's role in nuclear arms policy,Foreign Affairs & Defence,0.25,,
2207944,order of business for economic council bill,Parliamentary Affairs,0.75,,
2207956,Columbia River treaty negotiations,Intergovernmental & Constitutional Affairs,0.0,,
2208005,sewage disposal for cabin cruisers,Agriculture & Natural Resources,0.0,,
2208045,Fraser river flood fund,Agriculture & Natural Resources,0.25,,
2208056,Lake Union Air Service licence suspension,Trade & Industry,0.0,,
2208070,uranium industry development policies,Trade & Industry,0.0,,
2208132,Canadian wheat board mission to Hong Kong,Trade & Industry,0.0,,
2208331,return of confiscated documents to Chinese Canadians,"Justice, Rights & Immigration",0.0,,
2208344,representation of native people at world fair,Indigenous & Northern Affairs,0.0,,
2208417,Royal Military College suggestions,Foreign Affairs & Defence,0.25,,
2208421,private members' hour time allocation,Parliamentary Affairs,0.75,,
2208425,National Housing Act mortgage provisions for existing homes,Social Policy,0.0,,
2208428,National Housing Act and home financing,Social Policy,0.25,,
2208928,German industrialists and the cold war,Foreign Affairs & Defence,0.0,,
2208982,representation of native people at world fair,Indigenous & Northern Affairs,0.0,,
2209049,dismissal from air force,Foreign Affairs & Defence,0.25,,
2209077,Canadian role in NATO nuclear weapons,Foreign Affairs & Defence,0.25,,
2209081,civilian authority over NORAD,Foreign Affairs & Defence,0.25,,
2209113,support for private member's bill,Parliamentary Affairs,0.25,,
2209181,order of business for the house,Parliamentary Affairs,0.75,,
2209208,Harvard training aircraft air display,Foreign Affairs & Defence,0.25,,
2209249,north Pacific treaty convention,Foreign Affairs & Defence,0.0,,
2209281,Canada-US fishing rights at 12-mile limit,Agriculture & Natural Resources,0.25,,
2209284,fishery extension program consultation,Agriculture & Natural Resources,0.0,,
2209424,defence policy committee membership,Foreign Affairs & Defence,0.25,,
2209430,NATO defence policy and nuclear deterrents,Foreign Affairs & Defence,0.25,,
2209448,CF-104 aircraft procurement and NATO role,Foreign Affairs & Defence,0.25,,
2209454,CF-104 nuclear capability debate,Foreign Affairs & Defence,0.25,,
2209516,establishment of economic council of Canada,Economic & Fiscal Policy,0.25,,
2209596,parliamentary privilege and public announcements,Parliamentary Affairs,0.5,,
2209598,contributory and portable pensions,Social Policy,0.0,,
2209604,unemployment and labour training programs,Social Policy,0.25,,
2209643,Canadian Disaster Relief Fund financial report,Economic & Fiscal Policy,0.0,,
