basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
740920,ca.proc.d.1925-05-04.1,1925-05-04,,,,topic,MICHAEL O'LEARY V. C.,,,,,,,
740921,ca.proc.d.1925-05-04.1.1.1,1925-05-04,,,,stagedirection,,,,On the Orders of the Day:,,,,
740922,ca.proc.d.1925-05-04.1.2,1925-05-04,4f144b8d-0f62-4502-b6eb-6bf2aa0faaad,ca.m.1477,Hon. R. J. MANION (Fort William and Rainy River):,,MICHAEL O'LEARY V. C.,,,"Mr. Speaker, I should like to
draw the attention of the Minister of Justice to the case of Michael O'Leary, who won the
[Mr. MeigheaJ
Victoria Cross at the front and who is, I understand, in gaol in the United States without trial, on some charge, not a very serious one, I believe. I understand that some of the municipalities along the Niagara frontier, or in that neighbourhood, have sent letters asking the Minister of Justice to do anything he can to have the trial expedited. I draw the attention of the Minister of Justice to the matter and ask him, if possible, to do anything he can on behalf of this poor fellow to see that he gets a speedy and fair trial.

",Conservative (1867-1942),,Robert James Manion,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4f144b8d-0f62-4502-b6eb-6bf2aa0faaad&Language=E&Section=ALL
740923,ca.proc.d.1925-05-04.1.3,1925-05-04,4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c,ca.m.491,Hon. ERNEST LAPOINTE (Minister of Justice):,Minister of Justice and Attorney General of Canada,MICHAEL O'LEARY V. C.,,,"I will make it my duty to inquire
into the circumstances attending the case with a view, if possible, to meeting my hon. friend's wishes.

",Liberal,,Ernest Lapointe,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c&Language=E&Section=ALL
740924,ca.proc.d.1925-05-04.2,1925-05-04,,,,topic,"DEATH OF MR. A. B. HUNT, M.P.",,,,,,,
740925,ca.proc.d.1925-05-04.2.1.1,1925-05-04,,,,stagedirection,,,,On the Orders of the Day:,,,,
740926,ca.proc.d.1925-05-04.2.2,1925-05-04,b11f5b30-7d32-44e6-b23c-a24561c1eaf5,ca.m.7719,Right Hon. W. L. MACKENZIE KING (Prime Minister):,Prime Minister; President of the Privy Council; Secretary of State for External Affairs,"DEATH OF MR. A. B. HUNT, M.P.",,,"Hon. members of the
House will have learned with feelings of sorrow and great regret of the death at eight o'clock this morning, at the Ottawa Civic Hospital, of one of our number, Mr. Aylmer Byron Hunt, member for the constituency of Compton in the province of Quebec. During the last year or two Mr. Hunt has been in ill-health, having had to undergo several opera-ations. He has, however, been regularly in attendance throughout the present session and was in his seat in parliament as recently as ten days ago, at which time he went to the hospital in order to undergo another operation. His impaired strength and vitality were unequal to the tax which the operation placed upon them, and I am informed, he died this morning from its effects.
Mr. Hunt was in his sixty-first year. In point of service he was one of the oldest representatives in the Commons. He entered parliament over twenty years ago, having been first returned as the member for Compton in the general elections of 1904. He continued to represent that constituency in all subsequent parliaments, save the one following the general elections of 1911, when he met defeat by a slender majority. At the last general election he was returned by a majority of something like 4,000.
Mr. Hunt was closely identified with the farming and commercial interests of the county he represented in parliament. Like many another hon. member of this House, he, in his younger years, took an active interest in municipal affairs, and was honoured by being elected mayor of the town of Bury in which he was born, and subsequently by being chosen warden of the county. In 1900, following in the steps

Deceased Member-Mr. Hunt
of his father who in the year preceding had represented the county of Compton in the Provincial Legislature of Quebec, he contested the riding in the Liberal interests. Though unsuccessful in this contest his popularity was such that he was chosen as the Liberal candidate in the federal elections of 1904, when, as mentioned, he was first returned to this parliament.
Just how significant was the part played by Mr. Hunt in the politics of the Eastern Townships and how considerable the measure of public confidence he enjoyed, may be gauged from the circumstance that it was in the general elections of 1904 that the county 6f Compton for the first time since the days of Confederation changed its representation from Conservative to Liberal; also by the fact that the majorities obtained by Mr. Hunt in the elections of 1919 and 1921 were the largest federal majorities ever given in the history of the county.
Mr. Hunt possessed the characteristics and qualities which inspire confidence and trust, qualities which in public life add to the number of a man's friends and leave him without enemies when his day's work is done. He was quiet and reserved in demeanour, genuinely sympathetic and public-spirited, loyal and steadfast in all the relationships of life. In these many relationships he will be greatly missed. Especially will his loss be felt by hon. members on this side and in the country by the Liberal party to whose principles he was so true, and of which he was so devoted a supporter. We in the House of Commons, who knew him best will greatly miss his kindly and cheerful personality. Our sympathy will go out at this time to the constituency which Mr. Hunt represented, in the loss of their member, and especially to Mrs. Hunt and to her sons and daughters in the overwhelming bereavement they have so suddenly sustained. I know that I express the common sentiment and desire of all here assembled in requesting, Mr. Speaker, that you convey to Mrs. Hunt and to the members of her family t'he heartfelt sympathy of all hon. members of this House.

",Liberal,,William Lyon Mackenzie King,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=b11f5b30-7d32-44e6-b23c-a24561c1eaf5&Language=E&Section=ALL
740927,ca.proc.d.1925-05-04.2.3,1925-05-04,d02a7b53-dad0-4944-82b0-aed9054a7bc2,ca.m.4870,Right Hon. ARTHUR MEIGHEN (Leader of the Opposition):,Leader of the Official Opposition,"DEATH OF MR. A. B. HUNT, M.P.",,,"Once again parliament is
called on by the intervention of death to lament the loss of one of our members, and to pay to his memory a tribute of honour and respect. As the Prime Minister has said, Mr. Hunt was one of the oldest of our number in point of service in this House. He devoted most of his life to the public service, but throughout that period maintained an atti-

tude of quiet reserve and unobtrusiveness which made him not so well known among all the members of the House as otherwise would have been his fortune. With us on this side he mingled little, but was known to all as a devoted friend of his country, as a cheerful, good companion, and a faithful public servant. He did all that man could do within his means and capacity. He served his country ably. He took part in very many business activities, and was connected with much that was of advantage to his people, and served in every way with fidelity and with ability. His family is large and in that manner also he leaves behind him an inheritance for his country, the value of which we all appreciate. I am sure that hon. members on this side of the House for whom I speak desire permission to join in this tribute of respect to his memory, and we ask also to be allowed to unite with hon. members opposite in the message which you, Mr. Speaker, are requested to send to his widow and his family.

",Conservative (1867-1942),,Arthur Meighen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d02a7b53-dad0-4944-82b0-aed9054a7bc2&Language=E&Section=ALL
740928,ca.proc.d.1925-05-04.2.4,1925-05-04,6df59897-c34b-4c7b-ae9c-3918921f376b,ca.m.3043,Mr. ROBERT FORKE (Brandon):,,"DEATH OF MR. A. B. HUNT, M.P.",,,"On
behalf of the hon. members who sit in this part of the House, I should like to say that it was with deep sorrow and regret that we learned this morning of the death of Mr. Hunt. Though, as has already been stated, he did not take a prominent part in the debates of this House, yet I am sure he was respected by every hon. member. Manifestly he has been appreciated and respected by his constituents as shown by the long term during which he represented them in this chamber. He has served them honourably and well. I can only ask that our sympathy be expressed to those near and dear to him for the great loss which they have sustained in the death of husband and father.

",Progressive,,Robert Forke,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6df59897-c34b-4c7b-ae9c-3918921f376b&Language=E&Section=ALL
740929,ca.proc.d.1925-05-04.2.5,1925-05-04,7487ed9c-9f66-470d-8eb7-c105d30497b5,ca.m.5257,Mr. DEPUTY SPEAKER:,Deputy Speaker and Chair of Committees of the Whole of the House of Commons,"DEATH OF MR. A. B. HUNT, M.P.",,,"As requested
by the leaders of all parties in this House, I shall forward to the widow and relatives of the late Mr. Hunt tributes of sympathy which have been expressed for them in their bereavement.

",Liberal,,George Newcombe Gordon,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=7487ed9c-9f66-470d-8eb7-c105d30497b5&Language=E&Section=ALL
