basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
2025152,ca.proc.d.1960-02-16.1,1960-02-16,,,,topic,STANDING COMMITTEES,,,,,,,
2025153,ca.proc.d.1960-02-16.1.1.1,1960-02-16,,,,stagedirection,,,,"Mr. John Pallet! (Peel) presented the second report of the special committee appointed to prepare and report lists of members to compose the standing committees of the house, as follows:
AGRICULTURE AND COLONIZATION Messrs.
Argue	Kindt
Badanai	Knowles
Barrington	Korehinski
Best	Lahaye
Boivin	Leduc
Boulanger	Letourneau
Brassard (Lapointe)	McBain
Brunsden	McIntosh
Cadieu	Michaud
Campbell (Lambton-	Milligan
Kent)	Muir (Lisgar)
Casselman, Mrs.	Nasserden
Cooper	Noble
Doucett	O'Leary
Dubois	Pascoe
Dupuis	Peters
Fane	Phillips
Fleming (Okanagan-	Racine
Revelstoke)	Rapp
Forbes	Regnier
Forgie	Ricard
Godin	Rompre
Gundlock	Rynard
Hales	Smallwood
Hardie	Smith (Lincoln)
Henderson	Southam
Hicks	Stanton
Horner (Acadia)	Tardif
Horner (Jasper-Edson) Thomas	
Howe	Tucker
Jorgenson	Villeneuve-60.
(Quorum-20)	
BANKING	AND COMMERCE
	Messrs.
Allmark	Fraser
Anderson	Hanbidge
Asselin	Horner (Acadia)
Bell (Carleton)	Jones
Benidickson	Jung
Bigg	Leduc
Brassard (Chicoutimi)	Macdonnell
Campeau	MacLean (Winnipeg
Cardin	North Centre)
Caron	MacLellan
Cathers	Macnaughton
Chevrier	Maloney
Coates	Martin (Essex East)
Creaghan	Mcllraith
Crestohl	McIntosh
Deschambault	More
Drouin	Morissette
Drysdale	Morton
Nugent	Southam
Pascoe	Stewart
Pickersgill	Stinson
Regier	Taylor
Robichaud	Thomas
Rowe	Winch
Rynard Slogan	Woolliams

50. (Quorum-15) DEBATES Messrs.
Argue	Monteith (Verdun)
Campbell	Nixon
(Lambton-Kent)	Paul
Chevrier	Regnier
Dorion	Richard (Ottawa East)
Fortin McPhillips	Roberge-12. (Quorum-7) ESTIMATES Messrs.
Argue	Howe
Anderson	Jorgenson
Baldwin	Korehinski
Benidickson	MacLellan
Best	McCleave
Bissonnette	McDonald
Bourbonnais	(Hamilton South)
Bourdages	McFarlane
Bourget	McGee
Brassard (Lapointe) McGrath	
Broome	McGregor
Bruchesi	Mcllraith
Cardin	McMillan
Caron	McQuillan
Carter	More
Cathers	Parizeau
Clancy	Payne
Coates	Pickersgill
Crouse	Pigeon
Dumas	Pugh
Fairfield	Ricard
Fleming (Okanagan- Richard (Kamouraska)	
Revelstoke)	Rouleau
Fortin	Skoreyko
Gillet	Smith (Calgary South)
Grafl'tey	Stewart
Hales	Stinson
Halpenny	Thompson
Hardie	Vivian
Hellyer	Winch
Horner (Acadia)	Winkler-60. (Quorum-20)
EXTERNAL AFFAIRS Messrs.	
Aitken, Miss	Hellyer
Allard	Herridge
Batten	Jones
Cardin	Kucherepa
Cathers	Lafreniere
Crestohl	Lennard
Eudes	MacLellan
Fairfield	Macquarrie
Fleming (Okanagan- Mandziuk	
Revelstoke)	Martin (Essex East)
Garland	McCleave",,,,
2025154,ca.proc.d.1960-02-16.1.1.2,1960-02-16,,,,stagedirection,,,,"Standing Committees
McGee	Richard (Ottawa East)
Montgomery	Slogan
Nesbitt	Smith (Calgary South)
Nugent	Stinson
Pearson	Valade
Pratt	Vivian
Regier	White-35.
(Quorum-10)	
INDUSTRIAL RELATIONS Messrs.	
Allmark	Mandziuk
Beech	Martin (Essex East)
Benidickson	Martini
Bourdages	McDonald (Hamilton
Brassard (Lapointe)	South)
Browne (Vancouver-	McWilliam
Kingsway)	Mitchell
Caron	Muir (Cape Breton North
Creaghan	and Victoria)
Drouin	Noble
Godin	Pigeon
Grafftey	Ricard
Granger	Simpson
Howard	Skoreyko
Lafreniere	Small
Lahaye	Smith (Winnipeg North)
Loiselle	Spencer
Maclnnis	Stanton
MacLean (Winnipeg	Weichel-35.
North Centre)	
(Quorum-10)	
MARINE	AND FISHERIES Messrs.
Anderson	Matthews
Batten	McCleave
Browne (Vancouver-	McGrath
Kingsway)	McLennan
Cardin	McPhillips
Carter	McQuillan
Crouse	McWilliam
Danforth	Michaud
Drysdale	Murphy
English	Noble
Gillet	O'Leary
Granger	Phillips
Grenier	Pickersgill
Howard	Robichaud
Keays	Speakman
Legere	Stefanson
Macdonald (Kings)	Stewart
MacLellan	Tucker-35.
(Quorum-10)	
MINES, FORESTS AND WATERS Messrs.	
Aiken	McGregor
Baskin	McQuillan
Cadieu	Mitchell
Coates	Muir (Cape Breton
Doucett	North and Victoria)
Drouin	Murphy
Dumas	Nielsen
Fleming (Okanagan-	Payne
Revelstoke)	Richard (St. Maurice-
Godin	Lafleche)
Granger	Roberge
Gundlock	Robichaud
Hardie	Rompre
Kindt	Simpson
Korchinski	Slogan
Leduc	Smith (Calgary
MacRae	South)
Martel	Stearns
Martin (Timmins)	Woolliams-35.
McFarlane	
(Quorum-10)	
	
MISCELLANEOUS PRIVATE BILLS Messrs.
Anderson	McBain
Baldwin	McCleave
Batten	McDonald
Beech	(Hamilton South)
Bigg	McFarlane
Broome	Mcllraith
Campbell (Stormont)	McLennan
Carter	McMillan
Chown	McPhillips
Crestohl	Milligan
Danforth	Mitchell
Fairfield	Monteith (Verdun)
Forbes	More
Forgie	Morton
Garland	Nixon
Horner (The Battlefords) Ormiston	
Houck	Peters
Kennedy	Robinson
Knowles	Rogers
MacEwan	Simpson
MacLean (Winnipeg	Smith (Lincoln)
North Centre)	Smith (Simcoe North)
Macnaughton	Smith (Winnipeg North)
Mandziuk	Stefanson
Martin (Timmins)	Webster
Matthews	Wratten-50.
(Quorum-15)	
PRIVILEGES	AND ELECTIONS
Messrs.	
Aiken	McBain
Barrington	McGee
Bell (Carleton)	Mcllraith
Caron	McWilliam
Deschambault	Meunier
Fraser	Montgomery
Godin	Nielsen
Grills	Ormiston
Henderson	Paul
Hodgson	Pickersgill
Howard	Richard (Ottawa East)
Johnson	Valade
Kucherepa	Webster
Macquarrie Mandziuk	Woolliams-29.
(Quorum-10)	
PUBLIC	ACCOUNTS
Messrs.	
Beech	Macdonnell
Bell (Carleton)	Macnaughton
Benidickson	McGee
