mp_id,name,year,term_start,term_end,riding,province,gender,party
1,"Abbott, Anthony Chisholm",1974,1974-07-08,1979-05-21,Mississauga,Ontario,Man,Liberal Party of Canada
1,"Abbott, Anthony Chisholm",1975,1974-07-08,1979-05-21,Mississauga,Ontario,Man,Liberal Party of Canada
1,"Abbott, Anthony Chisholm",1976,1974-07-08,1979-05-21,Mississauga,Ontario,Man,Liberal Party of Canada
1,"Abbott, Anthony Chisholm",1977,1974-07-08,1979-05-21,Mississauga,Ontario,Man,Liberal Party of Canada
1,"Abbott, Anthony Chisholm",1978,1974-07-08,1979-05-21,Mississauga,Ontario,Man,Liberal Party of Canada
1,"Abbott, Anthony Chisholm",1979,1974-07-08,1979-05-21,Mississauga,Ontario,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1940,1940-03-26,1949-06-26,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1941,1940-03-26,1949-06-26,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1942,1940-03-26,1949-06-26,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1943,1940-03-26,1949-06-26,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1944,1940-03-26,1949-06-26,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1945,1940-03-26,1949-06-26,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1946,1940-03-26,1949-06-26,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1947,1940-03-26,1949-06-26,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1948,1940-03-26,1949-06-26,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1949,1940-03-26,1949-06-26,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1949,1949-06-27,1953-08-09,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
2,"Abbott, Douglas Charles",1950,1949-06-27,1953-08-09,St. Antoine--Westmount,Quebec,Man,Liberal Party of Canada
