basepk,category,error
1116439,Health care,
1200470,Other,
891897,Trade,
1080921,Trade,
730870,Other,
657092,Wartime,
962260,Infrastructure,
1148511,Budget,
620657,Wartime,
883765,Trade,
819824,Infrastructure,
1014002,Budget,
984223,Budget,
1051057,Other,
695594,Budget,
594702,Other,
938152,Trade,
775477,Trade,
578252,Income and Tax,
829823,Trade,
1318634,Trade,
1427099,Wartime,
1360360,Immigration,
1455220,Other,
1557702,Wartime,
1247794,Wartime,
1378189,Wartime,
1223290,Infrastructure,
1263784,Wartime,
1524782,Other,
558061,Infrastructure,
558082,Other,
557440,Other,
557399,Other,
558109,International relations,
557444,Other,
558052,Other,
558015,Budget,
558145,Infrastructure,
558106,International relations,
558154,Other,
557487,Other,
557479,Other,
558088,Wartime,
558040,Trade,
557477,Other,
558141,Infrastructure,
557464,Other,
558091,Trade,
558156,Other,
558053,Other,
558203,Other,
558179,Other,
558204,Other,
558188,Trade,
558192,Trade,
558217,Other,
558241,Other,
558219,Other,
558200,Other,
558210,Other,
558293,Infrastructure,
558235,Trade,
558336,International relations,
558330,International relations,
558375,International relations,
558338,International relations,
558377,International relations,
558353,International relations,
558367,International relations,
558212,Other,
558385,International relations,
558357,International relations,
558396,International relations,
558391,International relations,
558420,International relations,
558444,International relations,
558426,International relations,
558397,International relations,
558450,International relations,
558422,International relations,
558495,Other,
558478,International relations,
558456,International relations,
558485,Other,
558501,Other,
558506,Other,
558502,Other,
558518,Other,
558522,Other,
558541,Other,
558546,Education,
558554,Immigration,
558553,Immigration,
558565,Other,
558564,Budget,
558568,Wartime,
558569,Other,
558328,International relations,
558570,Other,
558567,Other,
558316,International relations,
558573,Other,
558585,Other,
558583,Other,
558581,Other,
558576,Other,
558589,Other,
558590,Other,
558608,Other,
558591,Other,
558387,International relations,
558599,Other,
558612,Income and Tax,
558623,Income and Tax,
558614,Other,
558621,Other,
558595,Other,
558578,Other,
558615,Income and Tax,
558617,Other,
558624,Other,
558628,Other,
558638,Budget,
558635,Other,
558641,Other,
558664,Other,
558642,Other,
558647,Other,
558671,Wartime,
558670,Wartime,
558648,Other,
558661,Wartime,
558724,Education,
558721,Wartime,
558681,International relations,
558403,International relations,
558736,Other,
558754,Other,
558741,Trade,
558758,Immigration,
558733,Other,
558770,Other,
558769,Other,
558773,Immigration,
558616,Other,
558779,Immigration,
558795,Education,
558785,Other,
558805,Wartime,
558793,Other,
558806,Wartime,
558804,Wartime,
558807,Wartime,
558816,Wartime,
558825,Wartime,
558809,Wartime,
558835,Wartime,
558821,Wartime,
558840,Wartime,
558819,Wartime,
558855,Wartime,
558841,Wartime,
558828,Wartime,
558854,Wartime,
558847,Wartime,
558861,Wartime,
558632,Other,
558899,Other,
558889,Other,
558905,International relations,
558907,Other,
558920,Other,
558909,Other,
558922,International relations,
558915,Other,
558927,Other,
558262,Trade,
558923,Other,
558933,Other,
558929,International relations,
558931,Other,
558935,Other,
558954,Other,
558939,International relations,
558977,Other,
558974,Other,
558978,Budget,
558985,Other,
558979,Other,
559006,Other,
558987,Other,
558992,Other,
559015,Other,
558937,Other,
559022,Budget,
559017,Other,
559027,International relations,
559040,International relations,
559038,International relations,
559058,International relations,
559069,International relations,
559064,International relations,
559060,International relations,
559070,International relations,
559074,Other,
559094,International relations,
559121,International relations,
559113,International relations,
559123,International relations,
559136,International relations,
559107,International relations,
559156,Infrastructure,
559188,Infrastructure,
559181,Infrastructure,
559196,Other,
559228,Wartime,
559163,Wartime,
559173,Trade,
559247,Wartime,
559230,Wartime,
559249,Wartime,
559273,Wartime,
559275,Wartime,
559274,Wartime,
559294,Other,
559291,Wartime,
559302,Wartime,
559303,Wartime,
559280,Budget,
559318,Other,
559306,Other,
559327,Other,
559326,Other,
559320,Budget,
559343,Other,
559313,Wartime,
559349,Other,
559345,Other,
559353,Other,
558640,Other,
559011,Budget,
558507,Other,
559368,Other,
559366,Other,
559372,Other,
559384,Other,
559393,Health care,
559371,Other,
559378,Other,
559377,Other,
559382,Other,
559364,Other,
559400,Health care,
559414,Other,
559409,Other,
559430,Infrastructure,
559399,International relations,
559437,Other,
559429,Infrastructure,
559408,Other,
558887,Other,
559450,International relations,
559413,Other,
559454,Other,
559460,Other,
559472,Budget,
559464,Other,
559461,Other,
559470,Budget,
559462,Other,
559481,Income and Tax,
559479,Income and Tax,
559474,Infrastructure,
559480,Income and Tax,
559068,International relations,
559485,Income and Tax,
559488,Budget,
557498,Other,
559491,Other,
559473,Infrastructure,
557497,Other,
557503,Other,
557510,Other,
557501,Other,
557512,Other,
557519,Other,
557531,Other,
557532,Other,
557505,Other,
559511,Health care,
559530,Budget,
559554,Other,
559624,Trade,
559665,Infrastructure,
559655,Infrastructure,
557529,Other,
559671,Income and Tax,
559670,Income and Tax,
559688,Trade,
559673,Income and Tax,
559087,International relations,
559690,Trade,
559701,Trade,
559719,Wartime,
559696,Trade,
559699,Trade,
559733,Budget,
559732,Budget,
559698,Trade,
559767,Budget,
559759,Wartime,
559780,Budget,
559786,Budget,
559807,Trade,
559747,Other,
559785,Trade,
559788,Trade,
559810,Budget,
559817,Trade,
559813,Other,
559819,Budget,
559825,Budget,
559800,Other,
559851,Budget,
559857,Trade,
559848,Budget,
559860,Income and Tax,
559865,Trade,
559891,Other,
559863,Trade,
559892,Infrastructure,
559277,Other,
559869,Trade,
559872,Trade,
559906,Income and Tax,
559115,International relations,
559929,Trade,
559893,Infrastructure,
559933,Trade,
559928,Infrastructure,
559938,Infrastructure,
559953,Trade,
559952,Budget,
559956,Budget,
559979,Budget,
559947,Trade,
559964,Budget,
559969,Wartime,
559991,Budget,
559971,Budget,
559976,Wartime,
559959,Other,
559998,Budget,
559993,Budget,
560007,Budget,
560026,Other,
559132,International relations,
560003,Trade,
560032,Other,
560043,Other,
560147,Wartime,
560101,Other,
560131,Other,
560152,Other,
560148,Other,
560133,Infrastructure,
560208,Other,
560205,Other,
560201,Other,
560210,Other,
560222,Other,
560221,Other,
560246,Immigration,
560332,Other,
560296,Other,
560352,Other,
560529,Other,
560542,Other,
560772,Other,
560783,Other,
559811,Other,
560909,Wartime,
561119,Budget,
561183,Infrastructure,
561177,Infrastructure,
559809,Trade,
559852,Budget,
559692,Trade,
557737,Wartime,
557926,Other,
559867,Other,
563741,Infrastructure,
563764,Infrastructure,
564059,Other,
575119,Trade,
575125,Income and Tax,
578363,Other,
575192,Income and Tax,
578364,Other,
578357,Other,
578391,Other,
578409,Other,
578386,Other,
578395,Other,
578445,Infrastructure,
578457,Infrastructure,
578529,Infrastructure,
578478,Infrastructure,
578505,Infrastructure,
578537,Infrastructure,
578533,Infrastructure,
578561,Infrastructure,
578613,Other,
578678,Other,
578697,Other,
578710,Other,
578661,Other,
578705,Other,
578728,Other,
578712,Other,
578760,Other,
578743,Other,
578733,Other,
578783,Other,
578774,Other,
578775,Other,
578855,Trade,
578778,Other,
578857,Trade,
578842,Other,
578908,Other,
578888,Other,
578884,Other,
578922,Other,
578865,Trade,
578940,Income and Tax,
578962,Income and Tax,
578949,Income and Tax,
578974,Income and Tax,
578966,Income and Tax,
578957,Income and Tax,
579007,Income and Tax,
579006,Income and Tax,
579009,Income and Tax,
578980,Income and Tax,
578988,Income and Tax,
578915,Other,
579014,Income and Tax,
579032,Income and Tax,
579027,Income and Tax,
579062,Income and Tax,
579065,Income and Tax,
579089,Income and Tax,
579092,Income and Tax,
578924,Other,
579060,Income and Tax,
579084,Income and Tax,
579100,Income and Tax,
579119,Income and Tax,
579124,Income and Tax,
579109,Income and Tax,
579138,Income and Tax,
579117,Income and Tax,
579153,Income and Tax,
579160,Income and Tax,
579158,Income and Tax,
579162,Income and Tax,
579126,Income and Tax,
579135,Income and Tax,
579157,Income and Tax,
579099,Income and Tax,
579190,Other,
579196,Income and Tax,
579187,International relations,
579238,Infrastructure,
579237,Infrastructure,
579255,Infrastructure,
579264,Infrastructure,
579251,Infrastructure,
579282,Income and Tax,
579256,Infrastructure,
579272,Income and Tax,
579307,Wartime,
579305,International relations,
579286,Income and Tax,
579309,Budget,
579300,Wartime,
579288,Income and Tax,
579314,Budget,
579322,Wartime,
579345,Other,
579284,Income and Tax,
579357,Other,
579330,Wartime,
579349,Budget,
579353,International relations,
579358,Wartime,
579351,Wartime,
579384,Other,
579392,Wartime,
579390,Other,
579373,Other,
579413,Other,
579389,Other,
579410,Budget,
579411,Other,
579412,Other,
579417,Other,
579419,Trade,
579421,Other,
579287,Other,
579504,Health care,
579435,Other,
579440,Other,
