basepk,topic,category
557479,parliamentary representation and cabinet composition,Government and Parliamentary Affairs
558040,International Fisheries Commission lobster export regulations,Natural Resources and Intergovernmental Relations
558367,League of Nations Covenant voting rights,"Justice, Constitution, and Indigenous Affairs"
558015,monthly increase of the national debt,Public Finance and Taxation
558082,government shipbuilding contracts,Veterans' and Military Affairs
558553,immigration of British ex-service men,"Justice, Constitution, and Indigenous Affairs"
558357,League of Nations Covenant dispute resolution procedures,"Justice, Constitution, and Indigenous Affairs"
558217,Dominion Elections Act and electoral franchise reform,Government and Parliamentary Affairs
558450,constitutional status of the British Empire,"Justice, Constitution, and Indigenous Affairs"
558496,eight-hour workday legislation,Social Welfare and Labour
558241,survey of western Canadian production and commerce,Public Finance and Taxation
558520,workmen's compensation and industrial accident protection,Social Welfare and Labour
558262,export permits for Canadian hides,International Trade and Tariffs
558179,domestic fuel supply and energy sources,Natural Resources and Intergovernmental Relations
558420,constitutional evolution of the British Empire,"Justice, Constitution, and Indigenous Affairs"
558106,Canadian representation in the Bulgarian peace treaty,"Justice, Constitution, and Indigenous Affairs"
557444,tributes to deceased members of Parliament,Government and Parliamentary Affairs
558203,high cost of fuel and necessaries,Public Finance and Taxation
558471,Canada's membership in the League of Nations,"Justice, Constitution, and Indigenous Affairs"
558375,League of Nations Covenant dispute resolution procedures,"Justice, Constitution, and Indigenous Affairs"
558499,eight-hour workday legislation,Social Welfare and Labour
558426,constitutional status of the British Empire,"Justice, Constitution, and Indigenous Affairs"
558518,standardization of working hours,Social Welfare and Labour
558210,national eight-hour working day,Social Welfare and Labour
558422,constitutional authority of imperial conferences,"Justice, Constitution, and Indigenous Affairs"
558235,United Kingdom embargo on Canadian cattle,Agriculture and Food Policy
558506,eight-hour workday legislation for agriculture,Social Welfare and Labour
558336,Canada's eligibility for League of Nations Council election,"Justice, Constitution, and Indigenous Affairs"
558478,Canada's status in the League of Nations,"Justice, Constitution, and Indigenous Affairs"
558521,legislated eight-hour workday policy,Social Welfare and Labour
558204,assessment of national economic conditions,Public Finance and Taxation
558397,Canada's status in the International Labour Organization,Social Welfare and Labour
558495,eight-hour workday legislation,Social Welfare and Labour
558338,League of Nations voting rights,"Justice, Constitution, and Indigenous Affairs"
558485,national eight-hour working day legislation,Social Welfare and Labour
558052,sale of Charlottetown fish hatchery,Natural Resources and Intergovernmental Relations
558293,letter carrier civil service reclassification,Government and Parliamentary Affairs
558546,amendments to the Indian Act concerning enfranchisement and education,"Justice, Constitution, and Indigenous Affairs"
558053,sale of Charlottetown fish hatchery assets,Natural Resources and Intergovernmental Relations
557399,notification of parliamentary seat vacancies,Government and Parliamentary Affairs
558316,ratification of the Treaty of Peace with Bulgaria,"Justice, Constitution, and Indigenous Affairs"
558200,resignations of Geological Survey scientists,Government and Parliamentary Affairs
558377,Canada's representation on the International Labour Organization governing body,Social Welfare and Labour
558391,Canadian representation at international labour conferences,Social Welfare and Labour
558522,eight-hour workday legislation,Social Welfare and Labour
558188,transportation costs of Alberta coal,Transportation and Communications
558109,Canada's financial contribution to the League of Nations,Public Finance and Taxation
558330,Canada's eligibility for League of Nations council membership,"Justice, Constitution, and Indigenous Affairs"
558088,Canadian Expeditionary Force recruitment statistics,Veterans' and Military Affairs
558324,League of Nations Covenant principles,"Justice, Constitution, and Indigenous Affairs"
558507,eight-hour workday legislative jurisdiction,Social Welfare and Labour
558541,settlement of British Columbia Indian land claims,"Justice, Constitution, and Indigenous Affairs"
558385,united states representation at the international labour conference,Social Welfare and Labour
558396,Canada's status at International Labour Conferences,Social Welfare and Labour
558091,resignation of the newsprint controller,Government and Parliamentary Affairs
558515,legislated eight-hour workday policy,Social Welfare and Labour
557464,canadian national unity and moral character,Government and Parliamentary Affairs
558154,parliamentary questions regarding government administration and finance,Government and Parliamentary Affairs
558387,Canada's representation on the International Labour Organization,Social Welfare and Labour
558403,international labour conference convention procedures,Social Welfare and Labour
558456,Canada's international status and national autonomy,"Justice, Constitution, and Indigenous Affairs"
558501,federal legislative jurisdiction over eight-hour workdays,Social Welfare and Labour
558141,government acquisition of the Inverness railway,Transportation and Communications
558212,national eight-hour working day,Social Welfare and Labour
558156,government expenditures for seed grain and livestock feed,Agriculture and Food Policy
558589,Royal Canadian Mounted Police surveillance and censorship,"Justice, Constitution, and Indigenous Affairs"
558563,Royal Canadian Mounted Police pension amendment,Veterans' and Military Affairs
558585,Royal Canadian Mounted Police pension provisions,Veterans' and Military Affairs
558576,civil service superannuation and retirement insurance,Social Welfare and Labour
558568,military and mounted police pension adequacy,Veterans' and Military Affairs
558562,Royal Canadian Mounted Police pension adjustments,Veterans' and Military Affairs
558564,increase of inadequate public service pensions,Social Welfare and Labour
558569,adjustment of federal government pension scales,Social Welfare and Labour
558605,appointment of Prince of Wales as Honorary Commandant of the Royal Canadian Mounted Police,Government and Parliamentary Affairs
558573,Royal Canadian Mounted Police pension rates,Veterans' and Military Affairs
558612,reduction of silver coinage fineness,Banking and Monetary Policy
558606,retention of Royal Northwest Mounted Police title,Government and Parliamentary Affairs
558583,Royal Northwest Mounted Police pension adjustments,Veterans' and Military Affairs
558565,government salary and wage policy,Social Welfare and Labour
558608,administration of the ticket-of-leave system,"Justice, Constitution, and Indigenous Affairs"
558567,inadequate Royal North-West Mounted Police pensions,Veterans' and Military Affairs
558554,immigration of Imperial ex-service men,"Justice, Constitution, and Indigenous Affairs"
558061,Intercolonial Railway employee pension increases,Transportation and Communications
558578,pension provisions for retired Royal Canadian Mounted Police,Veterans' and Military Affairs
558584,pensions for pioneer RCMP members,Veterans' and Military Affairs
558289,disruptive noise in the house chamber,Government and Parliamentary Affairs
558192,domestic coal production versus imports,Natural Resources and Intergovernmental Relations
558566,adequate pension provisions for public servants and soldiers,Social Welfare and Labour
558353,ratification of the treaty of peace with Bulgaria,International Trade and Tariffs
557440,Royal Canadian Mounted Police amendment act,"Justice, Constitution, and Indigenous Affairs"
558599,Royal Canadian Mounted Police pension adjustments,Veterans' and Military Affairs
558444,India's status in the League of Nations,International Trade and Tariffs
558623,reduction of silver coinage fineness,Banking and Monetary Policy
558721,government provision of military uniforms to schools,Veterans' and Military Affairs
558617,gold and silver currency standards,Banking and Monetary Policy
558595,Royal Canadian Mounted Police activities and investigations,"Justice, Constitution, and Indigenous Affairs"
558647,qualifications for ship captains,Transportation and Communications
558590,procedural regulation of legislative debate,Government and Parliamentary Affairs
558591,Royal Canadian Mounted Police investigation of library books,"Justice, Constitution, and Indigenous Affairs"
558607,Royal Canadian Mounted Police title amendment,Government and Parliamentary Affairs
558741,customs officer appointments in Charlevoix-Montmorency,Government and Parliamentary Affairs
558621,canadian nickel coinage production,Banking and Monetary Policy
558635,amendments to the Government Annuities Act,Social Welfare and Labour
558497,legislated eight-hour workday for labour,Social Welfare and Labour
558642,government annuities act amendments,Social Welfare and Labour
558446,ratification of the treaty of peace with Bulgaria,International Trade and Tariffs
558628,production of one-cent coins,Banking and Monetary Policy
558758,dismissal of James Conner,Government and Parliamentary Affairs
558640,administration of government annuities,Social Welfare and Labour
558603,Royal Canadian Mounted Police pension increases,Veterans' and Military Affairs
558736,experimental illustration stations in Bonaventure county,Agriculture and Food Policy
558219,Dominion Elections Act and electoral reform,Government and Parliamentary Affairs
558648,Canada Shipping Act amendments for ship officers,Transportation and Communications
558570,Royal Canadian Mounted Police salary and pensions,Government and Parliamentary Affairs
558684,expenditures of the Canadian Mission in London,Public Finance and Taxation
558616,international standardization of silver coinage fineness,Banking and Monetary Policy
558632,unification of parliamentary administrative branches,Government and Parliamentary Affairs
558739,remuneration of rural mail carriers,Transportation and Communications
557487,adjournment of the debate,Government and Parliamentary Affairs
558502,impact of an eight-hour workday on agricultural labour,Social Welfare and Labour
558681,Imperial Press Conference arrangements,Government and Parliamentary Affairs
558328,organizational structure of the League of Nations,International Trade and Tariffs
558638,government annuities and savings bank interest rates,Banking and Monetary Policy
558670,military expedition costs and conscription in Chicoutimi,Veterans' and Military Affairs
558613,silver coinage and mint operations,Banking and Monetary Policy
558614,adoption of nickel coinage,Banking and Monetary Policy
558624,Canadian silver coinage and circulation,Banking and Monetary Policy
558145,Charlevoix-Montmorency lighthouse keepers' wages and appointments,Transportation and Communications
558615,introduction of nickel coinage,Banking and Monetary Policy
558664,cabinet ministers' involvement in by-election,Government and Parliamentary Affairs
558581,seating arrangements in the House of Commons,Government and Parliamentary Affairs
557477,instability of the Borden ministry,Government and Parliamentary Affairs
558754,investigation into the dismissal of James Conner,Government and Parliamentary Affairs
558661,Canadian Expeditionary Force enlistment and pension statistics,Veterans' and Military Affairs
558671,military detachment expenses and discipline statistics,Veterans' and Military Affairs
558641,government annuities and state paternalism,Social Welfare and Labour
558724,assignment of military instructors to educational institutions,Veterans' and Military Affairs
558769,dismissal of James Conner,Government and Parliamentary Affairs
558773,dismissal of James Conner from public service,Government and Parliamentary Affairs
558793,transfer of Quebec city fortifications to Battlefields Commission,Natural Resources and Intergovernmental Relations
558779,dismissal of immigration official James Conner,Government and Parliamentary Affairs
558795,preservation of Quebec's ancient fortifications,Natural Resources and Intergovernmental Relations
558785,dismissal of James Conner,Government and Parliamentary Affairs
558805,pension act amendments for widowed mothers,Social Welfare and Labour
558770,dismissal of James Conner,Government and Parliamentary Affairs
558915,national eight-hour working day convention,Social Welfare and Labour
558899,jurisdiction over labour conventions,Social Welfare and Labour
558891,ratification of international labour conventions,Social Welfare and Labour
558887,ratification of international labour conventions,Social Welfare and Labour
558909,national eight-hour working day legislation,Social Welfare and Labour
558804,pension act amendments for widowed mothers,Social Welfare and Labour
