basepk,topic,error
557479,parliamentary representation and cabinet composition,
558040,International Fisheries Commission lobster export regulations,
558367,League of Nations Covenant voting rights,
558015,monthly increase of the national debt,
558082,government shipbuilding contracts,
558553,immigration of British ex-service men,
558357,League of Nations Covenant dispute resolution procedures,
558217,Dominion Elections Act and electoral franchise reform,
558450,constitutional status of the British Empire,
558496,eight-hour workday legislation,
558241,survey of western Canadian production and commerce,
558520,workmen's compensation and industrial accident protection,
558262,export permits for Canadian hides,
558179,domestic fuel supply and energy sources,
558420,constitutional evolution of the British Empire,
558106,Canadian representation in the Bulgarian peace treaty,
557444,tributes to deceased members of Parliament,
558203,high cost of fuel and necessaries,
558471,Canada's membership in the League of Nations,
558375,League of Nations Covenant dispute resolution procedures,
558499,eight-hour workday legislation,
558426,constitutional status of the British Empire,
558518,standardization of working hours,
558210,national eight-hour working day,
558422,constitutional authority of imperial conferences,
558235,United Kingdom embargo on Canadian cattle,
558506,eight-hour workday legislation for agriculture,
558336,Canada's eligibility for League of Nations Council election,
558478,Canada's status in the League of Nations,
558521,legislated eight-hour workday policy,
558204,assessment of national economic conditions,
558397,Canada's status in the International Labour Organization,
558495,eight-hour workday legislation,
558338,League of Nations voting rights,
558485,national eight-hour working day legislation,
558052,sale of Charlottetown fish hatchery,
558293,letter carrier civil service reclassification,
558546,amendments to the Indian Act concerning enfranchisement and education,
558053,sale of Charlottetown fish hatchery assets,
557399,notification of parliamentary seat vacancies,
558316,ratification of the Treaty of Peace with Bulgaria,
558200,resignations of Geological Survey scientists,
558377,Canada's representation on the International Labour Organization governing body,
558391,Canadian representation at international labour conferences,
558522,eight-hour workday legislation,
558188,transportation costs of Alberta coal,
558109,Canada's financial contribution to the League of Nations,
558330,Canada's eligibility for League of Nations council membership,
558088,Canadian Expeditionary Force recruitment statistics,
558324,League of Nations Covenant principles,
558507,eight-hour workday legislative jurisdiction,
558541,settlement of British Columbia Indian land claims,
558385,united states representation at the international labour conference,
558396,Canada's status at International Labour Conferences,
558091,resignation of the newsprint controller,
558515,legislated eight-hour workday policy,
557464,canadian national unity and moral character,
558154,parliamentary questions regarding government administration and finance,
558387,Canada's representation on the International Labour Organization,
558403,international labour conference convention procedures,
558456,Canada's international status and national autonomy,
558501,federal legislative jurisdiction over eight-hour workdays,
558141,government acquisition of the Inverness railway,
558212,national eight-hour working day,
558156,government expenditures for seed grain and livestock feed,
558589,Royal Canadian Mounted Police surveillance and censorship,
558563,Royal Canadian Mounted Police pension amendment,
558585,Royal Canadian Mounted Police pension provisions,
558576,civil service superannuation and retirement insurance,
558568,military and mounted police pension adequacy,
558562,Royal Canadian Mounted Police pension adjustments,
558564,increase of inadequate public service pensions,
558569,adjustment of federal government pension scales,
558605,appointment of Prince of Wales as Honorary Commandant of the Royal Canadian Mounted Police,
558573,Royal Canadian Mounted Police pension rates,
558612,reduction of silver coinage fineness,
558606,retention of Royal Northwest Mounted Police title,
558583,Royal Northwest Mounted Police pension adjustments,
558565,government salary and wage policy,
558608,administration of the ticket-of-leave system,
558567,inadequate Royal North-West Mounted Police pensions,
558554,immigration of Imperial ex-service men,
558061,Intercolonial Railway employee pension increases,
558578,pension provisions for retired Royal Canadian Mounted Police,
558584,pensions for pioneer RCMP members,
558289,disruptive noise in the house chamber,
558192,domestic coal production versus imports,
558566,adequate pension provisions for public servants and soldiers,
558353,ratification of the treaty of peace with Bulgaria,
557440,Royal Canadian Mounted Police amendment act,
558599,Royal Canadian Mounted Police pension adjustments,
558444,India's status in the League of Nations,
558623,reduction of silver coinage fineness,
558721,government provision of military uniforms to schools,
558617,gold and silver currency standards,
558595,Royal Canadian Mounted Police activities and investigations,
558647,qualifications for ship captains,
558590,procedural regulation of legislative debate,
558591,Royal Canadian Mounted Police investigation of library books,
558607,Royal Canadian Mounted Police title amendment,
558741,customs officer appointments in Charlevoix-Montmorency,
558621,canadian nickel coinage production,
558635,amendments to the Government Annuities Act,
558497,legislated eight-hour workday for labour,
558642,government annuities act amendments,
558446,ratification of the treaty of peace with Bulgaria,
558628,production of one-cent coins,
558758,dismissal of James Conner,
558640,administration of government annuities,
558603,Royal Canadian Mounted Police pension increases,
558736,experimental illustration stations in Bonaventure county,
558219,Dominion Elections Act and electoral reform,
558648,Canada Shipping Act amendments for ship officers,
558570,Royal Canadian Mounted Police salary and pensions,
558684,expenditures of the Canadian Mission in London,
558616,international standardization of silver coinage fineness,
558632,unification of parliamentary administrative branches,
558739,remuneration of rural mail carriers,
557487,adjournment of the debate,
558502,impact of an eight-hour workday on agricultural labour,
558681,Imperial Press Conference arrangements,
558328,organizational structure of the League of Nations,
558638,government annuities and savings bank interest rates,
558670,military expedition costs and conscription in Chicoutimi,
558613,silver coinage and mint operations,
558614,adoption of nickel coinage,
558624,Canadian silver coinage and circulation,
558145,Charlevoix-Montmorency lighthouse keepers' wages and appointments,
558615,introduction of nickel coinage,
558664,cabinet ministers' involvement in by-election,
558581,seating arrangements in the House of Commons,
557477,instability of the Borden ministry,
558754,investigation into the dismissal of James Conner,
558661,Canadian Expeditionary Force enlistment and pension statistics,
558671,military detachment expenses and discipline statistics,
558641,government annuities and state paternalism,
558724,assignment of military instructors to educational institutions,
558769,dismissal of James Conner,
558773,dismissal of James Conner from public service,
558793,transfer of Quebec city fortifications to Battlefields Commission,
558779,dismissal of immigration official James Conner,
558795,preservation of Quebec's ancient fortifications,
558785,dismissal of James Conner,
558805,pension act amendments for widowed mothers,
558770,dismissal of James Conner,
558915,national eight-hour working day convention,
558899,jurisdiction over labour conventions,
558891,ratification of international labour conventions,
558887,ratification of international labour conventions,
558909,national eight-hour working day legislation,
558804,pension act amendments for widowed mothers,
558828,pension eligibility for widowed mothers of soldiers,
558889,national eight-hour working day legislation,
558809,pensions for widowed mothers of soldiers,
558840,distinctive war service badges for naval personnel,
558847,design of naval service badges,
558841,distribution of naval war badges,
558846,distinctive naval service badges,
558905,ratification of international labour conventions,
558816,administration of the Pensions Act,
558835,distribution of naval service badges,
558819,pensions for widowed mothers,
558935,federal legislative jurisdiction over eight-hour workdays,
558821,administration of the Pension Act for widows,
558979,civil service superannuation benefits,
558806,pension exemptions for widowed mothers,
558825,war widows' pension regulations,
558733,Canadian News Service staffing and expenses,
558907,international labour convention on eight-hour workdays,
558855,Canada's little brown war badge,
559006,residency requirements for government annuities,
558974,interest rates on government savings accounts,
558922,international labour convention on working hours,
558985,canadian currency exchange and gold reserves,
558920,international labour convention on eight-hour workdays,
558987,Canadian dollar exchange rate devaluation,
558954,national eight-hour working day jurisdiction,
558854,awarding of Canadian naval service badges,
559022,government annuities interest rate adjustment,
559069,Canada's national status within the British Empire,
559015,amendment of the Government Annuities Act,
558931,federal jurisdiction over international treaty implementation,
559094,national unity and political discourse,
558861,standardization of Canadian war service badges,
559027,ratification of the Bulgarian peace treaty,
558859,design of Canada's naval war service badge,
559011,financial performance of government annuities,
559038,Canada's international status and political legacy,
558807,pension eligibility for widowed mothers,
559113,Canada's representation at the Paris Peace Conference,
559132,Canada's status and autonomy within the British Empire,
559017,parliamentary procedure and acoustic concerns,
559156,construction of Ste. Anne de Beaupré wharf,
558947,federal jurisdiction over provincial legislative matters,
559107,Canada's international status at the Paris Peace Conference,
559060,ratification of the Treaty of Versailles,
559115,League of Nations covenant reservations,
559173,purchase and sale of re-cleaned screenings,
559087,Canada's status as a nation,
558923,establishment of a national eight-hour working day,
558929,federal authority over treaty implementation,
559070,Canada's national status within the British Empire,
559163,issuance of naval service badges,
558992,amendments to the Currency Act regarding coinage,
559123,Canada's constitutional autonomy within the British Empire,
559121,ratification of the Treaty of Versailles,
559181,St. John and Quebec Railroad operations,
559136,Canadian constitutional status within the British Empire,
559064,constitutional authority of the British Empire,
559228,re-establishment of returned soldiers,
558978,civil service superannuation fund interest rates,
559068,Canada's national status and the British Empire,
558937,jurisdictional authority over eight-hour workdays,
559040,Canada's national status and treaty ratification,
559196,civil service classification and remuneration,
559074,Canada's national status and political credit,
559058,Canada's status regarding the Treaty of Versailles,
559188,origins of the Railway Association of Canada,
558933,constitutional jurisdiction over an eight-hour working day,
559072,constitutional amendment power,
558927,federal jurisdiction over eight-hour work day legislation,
558939,provincial jurisdiction over treaty implementation,
558977,civil service superannuation act amendments,
558999,silver coinage valuation,
559230,re-establishment of first world war veterans,
559273,re-establishment of returned soldiers,
559326,civil service classification disputes,
559277,parliamentary business scheduling,
559313,government information requests regarding military fines and public works departments,
559302,appointment of Brigadier-General Langton,
559247,re-establishment of returned soldiers,
559249,re-establishment of returned soldiers,
559275,re-establishment of returned soldiers,
559364,civil service classification and reclassification grievances,
559291,Canadian Navy composition and expenditures,
559318,Civil Service Commission classification process,
559280,procedural rules for public expenditure petitions,
559274,re-establishment of returned soldiers,
559343,civil service reclassification and standardization,
559393,International Opium Convention legislative amendments,
559303,military service and pay of brigadier-general Langton,
559306,superannuation status of Peterborough government employees,
559349,civil service classification and salary adjustments,
559294,French translation of government publications,
559454,dismissal of Arthur S. Porter,
559327,civil service patronage and administrative responsibility,
559368,civil service classification and political appointments,
559400,opium and drug import/export regulation,
559353,civil service classification and salary scales,
559382,civil service classification and promotion stagnation,
559366,civil service classification and dismissal practices,
559408,Canada Shipping Act amendments regarding maritime certification,
559450,identification of a deceased prisoner's body,
559320,cost of civil service classification consultants,
559413,Canada Shipping Act amendment,
559409,Canada Shipping Act amendment for sailing vessels,
559414,Canada Shipping Act certificate requirements,
559371,civil service classification and salary administration,
559430,Spirit River railway transportation difficulties,
559384,civil service reclassification system,
559399,international opium convention legislation,
559377,civil service classification of parliamentary staff,
559372,classification of House of Commons employees,
559345,civil service salary classification,
559479,income taxation of Ottawa civil servants,
559488,federal grants to the Ottawa Improvement Commission,
559378,civil service classification system efficiency,
559429,"grain transportation on the Edmonton, Dunvegan and British Columbia Railway",
559481,tax exemption for Ottawa civil servants,
557503,political party affiliations,
557497,criticism of the Union Government administration,
559460,Canada Shipping Act vessel tonnage amendments,
557512,Quebec's political stance on national negotiation,
559511,revision of food and drugs legislation,
559461,amendment to the Canada Shipping Act,
557531,government partisan support and leadership criticism,
557519,tensions between Ontario and Quebec,
559464,merchant marine officer certification requirements,
559670,chartered bank profits and taxation statistics,
559480,federal government agreement with city of Ottawa,
559474,government water supply agreement with Ottawa,
559473,Ottawa water supply agreement for government buildings,
559655,Grand Trunk Railway stock valuations,
557498,partisan political debate,
559485,income tax liability of civil servants,
559462,certification requirements for ship masters,
557501,calling a federal election,
557510,parliamentary dissolution and election call,
559470,annual federal payment to Ottawa city government,
559699,standardization and grading of dairy products,
557532,parliamentary attendance of the Prime Minister,
559472,federal grant to the city of Ottawa,
559688,standardization and grading of dairy exports,
559554,incorporation of Scottish Canadian Assurance Corporation,
559673,inquiry regarding income tax statistics and national debt,
557505,national unity and french-english relations,
559665,remuneration for rural mail carriers,
559624,resignation of newsprint controller R. A. Pringle,
559491,Ottawa water service charges for government parks,
559692,standardization and grading of dairy products,
559530,government policy announcements,
559700,legalization and sale of oleomargarine,
559759,outstanding orders for government returns,
559732,Ottawa Mint annual operating grant increase,
559851,government shipbuilding expenditures and railway deficits,
557529,federal election and tariff policy,
559671,automobile imports and Board of Commerce inquiries,
559701,standardization and grading of dairy products,
559800,government subsidies for the shipbuilding industry,
559733,increased funding for the Ottawa Mint,
559809,government subsidies for shipping lines,
559767,government merchant shipbuilding contracts and costs,
559696,prohibition of oleomargarine sales,
559747,reappointment of special committee on scientific research,
559807,British government shipping subsidies,
559690,standardization and grading of dairy exports,
559719,review of veterans' pension legislation,
559788,decline in Canadian shipping and national policy,
559819,cost comparison of Canadian-built ships,
559825,government merchant marine shipbuilding contracts,
559786,shipbuilding industry shrinkage,
559817,Canadian Government Merchant Marine crew staffing,
559811,distribution of federal shipbuilding contracts,
559780,financial reserves of the Canadian Government Merchant Marine,
559860,government merchant vessel business profits tax,
559712,railway mail carriage rate reports,
559813,government shipbuilding contracts,
559848,government shipbuilding programme expenditures,
559785,Canadian shipbuilding industry development,
559892,Canadian Government Merchant Marine operations and policy,
559938,Canadian National Railways infrastructure in Quebec,
559906,taxation of Canadian Government Merchant Marine ships,
559810,government shipbuilding contracts,
559857,Canadian Government Mercantile Marine freight operations,
559891,emergency food supplies to Magdalen Islands,
559947,government operation of the Canadian Mercantile Marine,
559852,federal shipbuilding programme expenditure and chartering,
559863,coal and iron ore shipping industry,
559997,government legislative programme urgency,
559893,government shipbuilding contracts and shipping subsidies,
559929,Canadian shipbuilding industry and maritime freight rates,
559998,government tendering for shipbuilding contracts,
559952,comparative costs of shipbuilding,
559993,government shipbuilding policy,
559942,Canadian National Railway service in Quebec,
559962,public contract tendering requirements,
560007,naval service expenditure appropriations,
559933,routing of Canadian railway freight,
559928,federal infrastructure spending and national railway management,
559945,development of the port of Quebec,
559936,Grand Trunk Railway administration and government spending,
559964,public tender requirements for government contracts,
560026,civil service re-classification procedures,
559872,maritime shipping industry in Nova Scotia,
559979,government compliance with legal statutes,
559867,maritime navigation and shipping expertise,
559959,government shipbuilding contract procurement policies,
560037,Connaught Rifle Ranges costs and usage,
559976,government shipbuilding contracts,
559953,government operation of merchant shipping,
559991,government tendering requirements for public works,
559865,protectionist trade policy,
559869,Nova Scotia industrial steel and coal production,
559971,government public works tendering requirements,
559969,government shipbuilding contracts,
560054,interest rates on government bank deposits,
560093,daily translation of French speeches into English,
560098,translation of parliamentary speeches into French,
560008,parliamentary supply and budget estimates,
560038,Connaught Rifle Ranges land and construction costs,
560032,Alfred peat manufacturing plant operations,
560068,alberta seed grain and relief repayment statistics,
559954,government shipbuilding and railway freight policy,
560099,translation of french speeches in parliament,
559944,shipping and railway management policy,
560183,military canteen fund profits,
560159,acquisition of British naval vessels,
560152,Canada's permanent naval policy deferral,
560003,government merchant marine vessel procurement,
560001,Canadian National Railway merchant marine operations,
560154,deferment of permanent naval policy,
560166,government naval policy statement,
560148,government naval policy,
560043,dismissal of Printing Bureau staff,
560131,prairie provinces grasshopper infestation management,
560101,simultaneous translation of parliamentary debates,
560102,marginalization of french language in federal departments,
560201,Dominion Franchise Act voter registration procedures,
560097,translation of french speeches in parliament,
560182,distribution of military canteen profits,
560147,Canadian naval service reorganization and policy,
560205,appointment of election returning officers,
560195,federal control of the dominion franchise,
560221,Dominion Franchise Act electoral procedures,
560180,distribution of military canteen profits,
560133,construction costs of Parliament Buildings,
560213,Dominion franchise act enumeration procedures,
559956,government shipbuilding contracts and tendering processes,
560215,Dominion franchise act voter registration procedures,
560203,Dominion Franchise Act legislation,
560222,Dominion Franchise Act voter disqualifications,
560388,government response to parliamentary questions,
560210,appointment of election returning officers,
560247,Dominion Franchise Act legislation,
560358,disfranchisement provisions of the Dominion Franchise Act,
560246,Dominion Franchise Act naturalization provisions,
560296,Dominion franchise act legislation,
560332,Dominion Franchise Act legislation,
560208,appointment of revising officers under Dominion Franchise Act,
560425,parliamentary control of interim supply expenditures,
560300,Dominion Franchise Act legislation,
560226,disfranchisement provisions of the Dominion Franchise Act,
560224,enfranchisement of foreign-born Canadians,
560336,disenfranchisement of immigrant groups in the Dominion Franchise Act,
560340,proposed dominion franchise act legislation,
560356,Dominion Franchise Act and naturalization requirements,
560432,interim supply motion for government expenditures,
560510,Dominion Franchise Act and naturalization requirements,
560390,inquiry regarding Canadian public debt statistics,
560338,disfranchisement of naturalized citizens of enemy origin,
560436,delay in parliamentary session and supply,
560283,Dominion Franchise Act debate,
560287,disenfranchisement of enemy aliens in the dominion franchise act,
560511,Dominion franchise act eligibility provisions,
560238,voting rights for naturalized citizens,
560469,Dominion Franchise Act legislation,
560567,administration of federal election notices,
560565,methods of posting election notices,
560529,Dominion Franchise Act amendments,
560304,Dominion Franchise Act legislation,
560542,Dominion Franchise Act prosecution procedures,
560484,Dominion Franchise Act amendments,
560293,Dominion Franchise Act voting eligibility requirements,
560516,proposed amendments to the Dominion Franchise Act,
560331,restrictions on the federal franchise,
560342,voting rights for naturalized immigrants and families,
560578,penalties for Dominion Franchise Act offences,
560602,administration of the Dominion Franchise Act,
560459,Dominion Franchise Act electoral machinery reform,
560637,regulation of corporate political contributions,
560604,administration of oaths for federal elections,
560434,interim supply motion,
560541,provisions for summary conviction under election law,
560467,Dominion Franchise Act and returning officer appointments,
560473,Dominion Franchise Act revision,
560477,Dominion Franchise Act and immigrant rights,
560348,disfranchisement of naturalized citizens of enemy origin,
560671,Dominion Franchise Act definitions,
560615,election campaign advertising contracts,
559437,House of Commons staff organization plan,
560566,provisions for election notice requirements,
560618,election campaign expenditure regulation,
560639,prohibition of corporate political contributions,
560747,settlement of British Columbia Indian land claims,
560679,Dominion Franchise Act candidate residency restrictions,
560352,disenfranchisement of citizens of enemy ancestry,
560666,prohibition of non-resident election canvassing,
560693,proposed amendments to the Dominion Franchise Act,
560763,settlement of British Columbia Indian land disputes,
560774,settlement of British Columbia Indian land claims,
560629,corporate political campaign contribution restrictions,
560744,British Columbia Indian land settlement agreement,
560772,British Columbia Indian land disputes settlement,
560684,candidates' qualifications for dominion elections,
560756,British Columbia Indian land title claims,
560780,settlement of British Columbia Indian land claims,
560714,hiring of election conveyances,
560788,British Columbia Indian land claims settlement,
560724,St. James electoral district election postponement,
560755,settlement of British Columbia Indian land claims,
560752,British Columbia Indian land title claims,
560743,British Columbia Indian reserve land settlement,
560422,interim supply grant procedure,
560661,prohibition of corporate campaign contributions,
560773,British Columbia Indian land claims,
560786,settlement of British Columbia Indian land claims,
560790,settlement of British Columbia Indian land claims,
560778,settlement of British Columbia Indian land claims,
560787,settlement of British Columbia Indian land claims,
560820,regulation of maple products adulteration,
560838,regulation of honey adulteration,
560805,regulation of maple product labeling,
560864,status of small flour mills,
560783,British Columbia Indian reserve land settlement,
560874,formal termination of the state of war,
560897,statistical data on indian reserves,
560861,Canada Wheat Board operations and termination,
560889,cross-border wheat shipments and wheat board regulations,
560863,small flour mill economic difficulties,
560906,Canadian delegation to the International Labour Conference,
560950,reconstruction and repair of Orleans Island wharves,
560869,recruitment of farm labour for spring work,
560909,Canadian military police deployment and expenses,
560392,inquiry regarding Grand Trunk Railway stock disclosure,
560948,prohibition and liquor legislation,
561016,ineffectiveness of salmon hatcheries,
557562,opposition to compulsory moral legislation,
560900,delivery of 1919 Victory Loan bonds,
557554,prohibition and lawlessness,
561021,British Columbia salmon cannery monopoly,
561036,international representation of the Armenian people,
560933,disposal of seized smuggled automobiles,
560923,Hudson Bay Railway construction status and costs,
561019,British Columbia salmon fisheries policy,
557566,national fiscal policy and protectionism,
560872,Canada Wheat Board administrative expenses,
561026,mandatory annual inspection of trust companies,
561058,safety of Captain John A. Barron,
557574,demand for a general election and franchise reform,
560993,federal government programs for immigrant Canadianization,
561081,flooding of the river St. Peter,
560984,establishment of a federal department of education,
561154,Canadian railway car per diem rates,
561046,St. Lawrence River ice jam flooding,
561116,cross-border freight car distribution,
561119,Grand Trunk Railway financing,
560999,national policy regarding immigrant populations,
561140,shortage of railway cars for grain transport,
561104,Canadian National Railway line construction in Alberta,
561159,shortage of Canadian railway freight cars,
560997,treatment of alien immigrants,
560947,Canada Temperance Act legislation inquiries,
561160,railway car per diem charges,
561117,shortage of canadian railway freight cars,
560980,naturalization eligibility for German immigrants,
561062,outstanding government returns to parliament,
561135,allocation of railway freight cars,
561068,loading of government ships with grain,
561161,shortage of railway freight cars,
561102,Canadian National Railways service complaints,
561118,Grand Trunk Railway government financing agreement,
561134,railway freight car shortages,
561177,legal liability of Canadian National Railways,
561051,St. Lawrence River icebreaking operations,
561164,railway freight car shortage,
561153,repatriation of Canadian railway cars,
561220,Prince Edward Island railway gauge widening,
561205,Canadian National Railways operating expenses and deficit,
561175,Canadian Government Railways deficit funding,
561206,railway maintenance and operational expenditure accounting,
561227,government shipbuilding programme contracts,
561200,public ownership of Canadian railways,
561171,Canadian National Railway budget estimates,
561197,railway freight rates and operational deficits,
561172,railway extension in Alberta,
561230,government shipbuilding contracts and public tendering,
560353,Dominion Franchise Act and campaign finance disclosure,
561203,disparity in Canadian railway freight rates,
561228,government shipbuilding contract tendering practices,
561232,government shipbuilding contracts and public tendering,
561249,opposition to industrial subsidies,
561242,government merchant shipping programme costs,
561201,management of the Intercolonial Railway,
561215,construction of railway passenger shelters,
561296,government shipbuilding and privatization,
