length_bin_id,min_words,max_words,mean_words,median_words,n,length_bin_label
0,151,166,157.89464040311498,158.0,2183,151–166
1,166,185,174.8877176901925,175.0,2182,166–185
2,185,211,197.07745187901008,197.0,2182,185–211
3,211,250,229.09578368469295,228.0,2182,211–250
4,250,309,277.0627864344638,276.0,2182,250–309
5,309,402,352.00779101741523,351.0,2182,309–402
6,402,547,467.4252978918423,463.0,2182,402–547
7,547,802,662.6393217231897,656.0,2182,547–802
8,802,1206,991.3414298808433,988.0,2182,802–1206
9,1206,2109,1574.6330737517178,1530.0,2183,1206–2109
