length_bin_label,n,mean_delta_llm,llm_ci_low,llm_ci_high,mean_delta_kmeans,kmeans_ci_low,kmeans_ci_high
151–166,2183,-0.0722743930371049,-0.07754141920543688,-0.06700736686877291,0.03332569857993587,0.02541910785685368,0.04123228930301806
166–185,2182,-0.07670714940421632,-0.0819865750376605,-0.07142772377077213,0.038725939505041246,0.030603520437677043,0.04684835857240545
185–211,2182,-0.0758020164986251,-0.0808875627296098,-0.0707164702676404,0.04434005499541705,0.03623560994841226,0.05244450004242184
211–250,2182,-0.08164527956003666,-0.08678618358644652,-0.0765043755336268,0.041017415215398714,0.03282966382602499,0.049205166604772435
250–309,2182,-0.0837343415826459,-0.08879469373303123,-0.07867398943226056,0.05440345249007026,0.046124664867425676,0.06268224011271484
309–402,2182,-0.09779254506568898,-0.10266828910973995,-0.092916801021638,0.07443476932477848,0.0654632002980748,0.08340633835148216
402–547,2182,-0.10573059883898564,-0.11038601931332162,-0.10107517836464966,0.08868965780629391,0.07944374311133741,0.09793557250125041
547–802,2182,-0.1156790406355026,-0.119904950984646,-0.11145313028635921,0.10092040941032691,0.09134113528149795,0.11049968353915587
802–1206,2182,-0.11887471265622046,-0.12299912410308417,-0.11475030120935675,0.1416393417281364,0.13261953711867683,0.15065914633759594
1206–2109,2183,-0.11456766359308734,-0.11887948908302919,-0.1102558381031455,0.1453426154697341,0.13670360655636057,0.1539816243831076
