category,length_bin_label,n,mean_delta_llm,llm_ci_low,llm_ci_high,mean_delta_kmeans,kmeans_ci_low,kmeans_ci_high,keep_for_plot
Economic & Fiscal Policy,151–166,301,-0.07026578073089701,-0.08439318730001678,-0.056138374161777235,0.061461794019933555,0.035870582020446934,0.08705300601942018,True
Economic & Fiscal Policy,166–185,304,-0.07532894736842106,-0.0883293772859103,-0.062328517450931833,0.0678453947368421,0.04404255319814534,0.09164823627553886,True
Economic & Fiscal Policy,185–211,353,-0.0721671388101983,-0.0837218656331557,-0.0606124119872409,0.06940509915014165,0.04995435599506899,0.0888558423052143,True
Economic & Fiscal Policy,211–250,300,-0.07108333333333333,-0.0826075744878751,-0.059559092178791566,0.07208333333333333,0.050795076822014396,0.09337158984465227,True
Economic & Fiscal Policy,250–309,341,-0.08150048875855327,-0.09271435223887078,-0.07028662527823576,0.07881231671554252,0.05908820723102598,0.09853642620005906,True
Economic & Fiscal Policy,309–402,377,-0.10419982316534043,-0.11452623515750988,-0.09387341117317098,0.11206896551724137,0.09103348357709054,0.1331044474573922,True
Economic & Fiscal Policy,402–547,340,-0.10322303921568629,-0.1149095052715427,-0.09153657315982988,0.08670343137254902,0.06444243986972009,0.10896442287537794,True
Economic & Fiscal Policy,547–802,321,-0.10981048805815163,-0.12019653713147993,-0.09942443898482334,0.11248701973001037,0.09256030084995953,0.1324137386100612,True
Economic & Fiscal Policy,802–1206,323,-0.11395093124969288,-0.12427684764094302,-0.10362501485844275,0.12935064376627842,0.1121292899522551,0.14657199758030173,True
Economic & Fiscal Policy,1206–2109,383,-0.11393719060168149,-0.12315787532107364,-0.10471650588228934,0.1200950956499259,0.10683886082221601,0.1333513304776358,True
Parliamentary Affairs,151–166,349,-0.0920487106017192,-0.10770158747453522,-0.07639583372890317,-0.04620343839541547,-0.06100547441898388,-0.03140140237184706,True
Parliamentary Affairs,166–185,363,-0.11584022038567493,-0.13126190283127626,-0.1004185379400736,-0.046143250688705235,-0.061885694100613786,-0.030400807276796688,True
Parliamentary Affairs,185–211,328,-0.10960365853658535,-0.12627360145613328,-0.09293371561703742,-0.03315548780487805,-0.04971393266930384,-0.016597042940452267,True
Parliamentary Affairs,211–250,360,-0.11770833333333333,-0.13438072380242577,-0.10103594286424089,-0.04618055555555556,-0.0619270136793008,-0.030434097431810317,True
Parliamentary Affairs,250–309,375,-0.10517777777777777,-0.1195075470600852,-0.09084800849547034,-0.02322222222222222,-0.04037429108799408,-0.0060701533564503675,True
Parliamentary Affairs,309–402,391,-0.11884057971014493,-0.13419967927050716,-0.10348148014978269,-0.03900255754475704,-0.05603046611769005,-0.02197464897182402,True
Parliamentary Affairs,402–547,334,-0.13818612774451097,-0.15258452687720114,-0.12378772861182082,-0.025074850299401198,-0.04689652823776344,-0.0032531723610389543,True
Parliamentary Affairs,547–802,282,-0.135121158392435,-0.15022821419119334,-0.12001410259367666,-0.03690898345153664,-0.061635872451234,-0.012182094451839275,True
Parliamentary Affairs,802–1206,216,-0.12161366475602588,-0.14007154848720485,-0.1031557810248469,0.019000771604938273,-0.010246489541578939,0.048248032751455484,True
Parliamentary Affairs,1206–2109,184,-0.11691481676536025,-0.13754414756942926,-0.09628548596129123,0.030901624040210993,-0.004214750994419699,0.06601799907484168,True
Social Policy,151–166,257,-0.0674124513618677,-0.08165223623270224,-0.053172666491033166,0.09241245136186771,0.06636713206991453,0.11845777065382089,True
Social Policy,166–185,281,-0.05782918149466192,-0.07150900844640985,-0.04414935454291399,0.074288256227758,0.050757943607416714,0.0978185688480993,True
Social Policy,185–211,275,-0.057999999999999996,-0.07084732244327638,-0.04515267755672362,0.06363636363636363,0.03819169070018976,0.08908103657253749,True
Social Policy,211–250,265,-0.07311320754716981,-0.08591929744143038,-0.060307117652909234,0.06179245283018868,0.03615209855514917,0.08743280710522819,True
Social Policy,250–309,291,-0.07895189003436427,-0.09250019267258197,-0.06540358739614657,0.08991981672394042,0.06583686320928286,0.11400277023859798,True
Social Policy,309–402,270,-0.08253086419753089,-0.0944259718631866,-0.07063575653187518,0.10061728395061728,0.07692356607681289,0.12431100182442167,True
Social Policy,402–547,269,-0.08988537794299876,-0.101445270742094,-0.07832548514390353,0.1354553903345725,0.11177718437398063,0.15913359629516435,True
Social Policy,547–802,329,-0.11626393110435665,-0.127053051648252,-0.10547481056046128,0.14598530901722392,0.12340162877328514,0.1685689892611627,True
Social Policy,802–1206,333,-0.1192293483960151,-0.12960476099253979,-0.1088539357994904,0.15650322941989608,0.13534152010694434,0.17766493873284783,True
Social Policy,1206–2109,341,-0.10886634789127463,-0.1193390686228184,-0.09839362715973085,0.13505841665665708,0.11659613763097595,0.1535206956823382,True
Trade & Industry,151–166,304,-0.0680921052631579,-0.08035251607747783,-0.05583169444883797,0.05180921052631579,0.0318426017639643,0.07177581928866728,True
Trade & Industry,166–185,282,-0.07455673758865249,-0.08856990809342571,-0.06054356708387925,0.06604609929078015,0.0426556224558746,0.0894365761256857,True
Trade & Industry,185–211,251,-0.06693227091633465,-0.08020037135423945,-0.05366417047842985,0.0801792828685259,0.05712292086933703,0.10323564486771476,True
Trade & Industry,211–250,288,-0.07300347222222221,-0.08635318578760054,-0.059653758656843886,0.06640625,0.044221545786187054,0.08859095421381294,True
Trade & Industry,250–309,262,-0.07824427480916031,-0.0914209203947427,-0.06506762922357792,0.06663486005089059,0.04304644809416798,0.0902232720076132,True
Trade & Industry,309–402,282,-0.1021276595744681,-0.11415130909276464,-0.09010401005617155,0.12174940898345152,0.09633795927937855,0.1471608586875245,True
Trade & Industry,402–547,263,-0.11227820025348544,-0.12441886271680384,-0.10013753779016703,0.12793092522179972,0.10321673250217628,0.15264511794142316,True
Trade & Industry,547–802,308,-0.12232142857142857,-0.13217175566008385,-0.1124711014827733,0.13599837662337663,0.11104916069623527,0.160947592550518,True
Trade & Industry,802–1206,328,-0.12649474932249324,-0.13591348241298917,-0.11707601623199732,0.1625456712156407,0.14058315389603057,0.18450818853525083,True
Trade & Industry,1206–2109,289,-0.12592328663262925,-0.13680813707029676,-0.11503843619496174,0.1689263303017628,0.14541626806167116,0.19243639254185443,True
Agriculture & Natural Resources,151–166,252,-0.05555555555555555,-0.06981364101034791,-0.04129747010076319,0.04811507936507937,0.025695438698579556,0.07053472003157918,True
Agriculture & Natural Resources,166–185,240,-0.0553125,-0.06908903656029992,-0.041535963439700084,0.0625,0.038994013937868124,0.08600598606213188,True
Agriculture & Natural Resources,185–211,246,-0.07205284552845528,-0.08621633585835176,-0.057889355198558805,0.049796747967479675,0.024768711602835624,0.07482478433212372,True
Agriculture & Natural Resources,211–250,257,-0.06595330739299611,-0.07743336596482245,-0.05447324882116977,0.06906614785992218,0.046634127810056464,0.0914981679097879,True
Agriculture & Natural Resources,250–309,254,-0.07060367454068242,-0.0830336473713812,-0.05817370170998364,0.06479658792650919,0.039277498429215796,0.09031567742380259,True
Agriculture & Natural Resources,309–402,268,-0.08805970149253733,-0.10055431821140583,-0.07556508477366884,0.1023009950248756,0.07713215094049197,0.12746983910925921,True
Agriculture & Natural Resources,402–547,312,-0.09893162393162394,-0.10987843723432497,-0.08798481062892291,0.11591880341880344,0.09431272592769788,0.137524880909909,True
Agriculture & Natural Resources,547–802,289,-0.10827854671280278,-0.11860954071369519,-0.09794755271191037,0.14475201845444058,0.12248259152122884,0.16702144538765232,True
Agriculture & Natural Resources,802–1206,322,-0.11976024105294295,-0.1298021376130387,-0.10971834449284722,0.17099847185250908,0.1507096483525352,0.19128729535248296,True
Agriculture & Natural Resources,1206–2109,294,-0.10838451420084076,-0.1196965890493919,-0.09707243935228962,0.16706639920925634,0.14666567106478023,0.18746712735373244,True
Government Operations & Ethics,151–166,300,-0.07483333333333335,-0.09043006854421005,-0.05923659812245664,0.022916666666666665,0.005354379706742355,0.04047895362659097,True
Government Operations & Ethics,166–185,259,-0.08619691119691121,-0.10159885834992811,-0.0707949640438943,0.02413127413127413,0.002018437272992342,0.04624411098955592,True
Government Operations & Ethics,185–211,283,-0.08498233215547703,-0.0986574039160939,-0.07130726039486016,0.030035335689045935,0.006289869143896506,0.05378080223419536,True
Government Operations & Ethics,211–250,267,-0.08342696629213482,-0.10025406438541082,-0.06659986819885882,0.04073033707865169,0.018199310215223568,0.0632613639420798,True
Government Operations & Ethics,250–309,242,-0.08130165289256198,-0.09881854847248929,-0.06378475731263468,0.0606060606060606,0.03876887563179926,0.08244324558032194,True
Government Operations & Ethics,309–402,197,-0.07935702199661591,-0.09660772889499522,-0.0621063150982366,0.07402707275803722,0.04646449610265566,0.10158964941341878,True
Government Operations & Ethics,402–547,203,-0.08011083743842363,-0.09623972919456722,-0.06398194568228005,0.09113300492610837,0.05871642534682337,0.12354958450539338,True
Government Operations & Ethics,547–802,193,-0.10352331606217617,-0.11756767669764505,-0.0894789554267073,0.10354058721934369,0.07093169538035071,0.13614947905833666,True
Government Operations & Ethics,802–1206,210,-0.1155404383975813,-0.12822527105533188,-0.10285560573983073,0.14405706727135298,0.11219414805467326,0.1759199864880327,True
Government Operations & Ethics,1206–2109,183,-0.11238112373358278,-0.12687794353055082,-0.09788430393661475,0.14581671364458246,0.11368969461497619,0.17794373267418873,True
"Justice, Rights & Immigration",151–166,158,-0.07531645569620252,-0.09364829262187183,-0.05698461877053321,0.0015822784810126582,-0.026068913560913263,0.029233470522938582,True
"Justice, Rights & Immigration",166–185,156,-0.06346153846153846,-0.08117187774625265,-0.04575119917682427,0.03125,0.0023156376920610185,0.060184362307938985,True
"Justice, Rights & Immigration",185–211,125,-0.062200000000000005,-0.08424466731214662,-0.04015533268785339,0.035,-0.0001586083617580586,0.07015860836175807,True
"Justice, Rights & Immigration",211–250,142,-0.07200704225352114,-0.09041910944455789,-0.05359497506248439,0.01584507042253521,-0.01625556946634217,0.04794571031141259,True
"Justice, Rights & Immigration",250–309,148,-0.08434684684684686,-0.10199088250841985,-0.06670281118527387,0.04054054054054054,0.0053924284763973915,0.07568865260468369,True
"Justice, Rights & Immigration",309–402,141,-0.10472813238770687,-0.11998625712811722,-0.08947000764729651,0.05437352245862884,0.012426415651156188,0.09632062926610149,True
"Justice, Rights & Immigration",402–547,170,-0.10605392156862746,-0.12139748515502785,-0.09071035798222707,0.07573529411764705,0.035577404148216016,0.11589318408707809,True
"Justice, Rights & Immigration",547–802,186,-0.11649641577060932,-0.13062472718566567,-0.10236810435555296,0.0867831541218638,0.04312898304449748,0.13043732519923013,True
"Justice, Rights & Immigration",802–1206,181,-0.11321636849951769,-0.12629363572530145,-0.10013910127373393,0.20784278260106986,0.16620687983417776,0.24947868536796197,True
"Justice, Rights & Immigration",1206–2109,222,-0.10983901858901861,-0.12183920264419744,-0.09783883453383978,0.21683197308197308,0.17855631010539863,0.2551076360585475,True
Foreign Affairs & Defence,151–166,143,-0.06608391608391607,-0.08520711722396038,-0.04696071494387178,0.03409090909090909,0.005612405295822864,0.06256941288599531,True
Foreign Affairs & Defence,166–185,159,-0.059748427672955975,-0.07785897066510125,-0.041637884680810706,0.05345911949685535,0.022048897057270124,0.08486934193644058,True
Foreign Affairs & Defence,185–211,171,-0.06067251461988304,-0.07757697597433769,-0.04376805326542839,0.05116959064327485,0.024311764850155022,0.07802741643639469,True
Foreign Affairs & Defence,211–250,161,-0.07872670807453416,-0.09535469382771364,-0.06209872232135469,0.06909937888198758,0.03363355159032496,0.1045652061736502,True
Foreign Affairs & Defence,250–309,124,-0.0790994623655914,-0.10157149100689293,-0.05662743372428987,0.09173387096774194,0.05587867352837994,0.12758906840710393,True
Foreign Affairs & Defence,309–402,102,-0.07565359477124187,-0.09596630662789825,-0.055340882914585485,0.08741830065359478,0.04114798717449345,0.13368861413269612,True
Foreign Affairs & Defence,402–547,113,-0.09004424778761062,-0.11053908469656937,-0.06954941087865188,0.1430678466076696,0.10025777893513177,0.18587791428020745,True
Foreign Affairs & Defence,547–802,85,-0.10727450980392157,-0.12856640169941916,-0.085982617908424,0.14563725490196075,0.09604851667968381,0.1952259931242377,True
Foreign Affairs & Defence,802–1206,99,-0.11196087862754531,-0.13086021969851783,-0.09306153755657279,0.13909431617764947,0.09165686924129196,0.186531763114007,True
Foreign Affairs & Defence,1206–2109,95,-0.11456308895782583,-0.1361765919773856,-0.09294958593826605,0.19986506183874603,0.15721366496544903,0.24251645871204303,True
Intergovernmental & Constitutional Affairs,151–166,77,-0.08993506493506495,-0.11602086791307187,-0.06384926195705803,0.05844155844155844,0.006683902612405028,0.11019921427071186,True
Intergovernmental & Constitutional Affairs,166–185,97,-0.08170103092783505,-0.1105910627884551,-0.052810999067215,0.04252577319587629,0.004376981140068688,0.0806745652516839,True
Intergovernmental & Constitutional Affairs,185–211,110,-0.08477272727272726,-0.10842726831993568,-0.061118186225518845,0.06931818181818182,0.03695814386611811,0.10167821977024553,True
Intergovernmental & Constitutional Affairs,211–250,110,-0.09045454545454545,-0.11211046165538625,-0.06879862925370465,0.05454545454545454,0.016112157052187978,0.09297875203872111,True
Intergovernmental & Constitutional Affairs,250–309,108,-0.09405864197530864,-0.11658986047215389,-0.07152742347846339,0.04205246913580246,0.003712236285808454,0.08039270198579647,True
Intergovernmental & Constitutional Affairs,309–402,114,-0.09400584795321638,-0.11551748827932765,-0.07249420762710512,0.0891812865497076,0.048645384742627765,0.12971718835678742,True
Intergovernmental & Constitutional Affairs,402–547,134,-0.10911069651741294,-0.127607535541461,-0.09061385749336485,0.12297885572139304,0.08366329351860369,0.1622944179241824,True
Intergovernmental & Constitutional Affairs,547–802,148,-0.10989864864864865,-0.12664454850462267,-0.09315274879267463,0.07435247747747747,0.03415535320307585,0.1145496017518791,True
Intergovernmental & Constitutional Affairs,802–1206,139,-0.12839157245632069,-0.14401976454469825,-0.11276338036794313,0.12540681740322024,0.0875785308019697,0.16323510400447078,True
Intergovernmental & Constitutional Affairs,1206–2109,145,-0.1287080543977096,-0.14825075560539897,-0.10916535319002024,0.15579555501969294,0.1231390908037551,0.1884520192356308,True
Indigenous & Northern Affairs,151–166,42,-0.04166666666666667,-0.07244328997081458,-0.010890043362518767,0.05357142857142857,-0.00375731959084738,0.11090017673370452,True
Indigenous & Northern Affairs,166–185,41,-0.05426829268292683,-0.0873561239900219,-0.021180461375831745,0.057926829268292686,0.0017592761667392653,0.1140943823698461,True
Indigenous & Northern Affairs,185–211,40,-0.049375,-0.07806962308919163,-0.020680376910808377,0.1,0.03081467659713534,0.16918532340286468,True
Indigenous & Northern Affairs,211–250,32,-0.06171875,-0.09267659348653332,-0.030760906513466683,0.03125,-0.04172121615470563,0.10422121615470563,True
Indigenous & Northern Affairs,250–309,37,-0.05247747747747748,-0.08987703162018748,-0.015077923334767485,0.10472972972972973,0.030608233955727607,0.17885122550373184,True
Indigenous & Northern Affairs,309–402,40,-0.10291666666666668,-0.13149281961093154,-0.07434051372240183,0.12916666666666665,0.07040681570131714,0.18792651763201618,True
Indigenous & Northern Affairs,402–547,44,-0.13162878787878787,-0.16091364754171966,-0.10234392821585608,0.048768939393939385,-0.003615903740755086,0.10115378252863386,True
Indigenous & Northern Affairs,547–802,41,-0.11727642276422764,-0.14157903165428531,-0.09297381387416996,0.07926829268292682,0.01671520433031548,0.14182138103553815,True
Indigenous & Northern Affairs,802–1206,31,-0.09249231950844855,-0.1273064420715924,-0.05767819694530472,0.11635944700460826,0.04563269145719184,0.18708620255202468,True
Indigenous & Northern Affairs,1206–2109,47,-0.10796741674401249,-0.13520224441356857,-0.0807325890744564,0.11084606882479221,0.06314208792498294,0.1585500497246015,True
