interval_label,original_category,chunk_category,weighted_row_share
2-6,Agriculture & Natural Resources,Agriculture & Natural Resources,0.7373952288845906
2-6,Agriculture & Natural Resources,Economic & Fiscal Policy,0.05122501611863314
2-6,Agriculture & Natural Resources,Foreign Affairs & Defence,0.01673920051579626
2-6,Agriculture & Natural Resources,Government Operations & Ethics,0.03234203739522889
2-6,Agriculture & Natural Resources,Indigenous & Northern Affairs,0.004094132817537073
2-6,Agriculture & Natural Resources,Intergovernmental & Constitutional Affairs,0.023581560283687943
2-6,Agriculture & Natural Resources,"Justice, Rights & Immigration",0.002498388136686009
2-6,Agriculture & Natural Resources,Parliamentary Affairs,0.0393214055448098
2-6,Agriculture & Natural Resources,Social Policy,0.025636686009026435
2-6,Agriculture & Natural Resources,Trade & Industry,0.06716634429400387
2-6,Economic & Fiscal Policy,Agriculture & Natural Resources,0.032751937984496125
2-6,Economic & Fiscal Policy,Economic & Fiscal Policy,0.7190826873385013
2-6,Economic & Fiscal Policy,Foreign Affairs & Defence,0.005348837209302325
2-6,Economic & Fiscal Policy,Government Operations & Ethics,0.0422609819121447
2-6,Economic & Fiscal Policy,Indigenous & Northern Affairs,0.0009948320413436691
2-6,Economic & Fiscal Policy,Intergovernmental & Constitutional Affairs,0.020878552971576227
2-6,Economic & Fiscal Policy,"Justice, Rights & Immigration",0.0057105943152454776
2-6,Economic & Fiscal Policy,Parliamentary Affairs,0.04722222222222222
2-6,Economic & Fiscal Policy,Social Policy,0.06353359173126615
2-6,Economic & Fiscal Policy,Trade & Industry,0.062215762273901805
2-6,Foreign Affairs & Defence,Agriculture & Natural Resources,0.025743048897411316
2-6,Foreign Affairs & Defence,Economic & Fiscal Policy,0.006743368488334931
2-6,Foreign Affairs & Defence,Foreign Affairs & Defence,0.8120166187280281
2-6,Foreign Affairs & Defence,Government Operations & Ethics,0.04464685202940236
2-6,Foreign Affairs & Defence,Indigenous & Northern Affairs,0.0019175455417066154
2-6,Foreign Affairs & Defence,Intergovernmental & Constitutional Affairs,0.009076382230744647
2-6,Foreign Affairs & Defence,"Justice, Rights & Immigration",0.021620325982742092
2-6,Foreign Affairs & Defence,Parliamentary Affairs,0.030936401406200062
2-6,Foreign Affairs & Defence,Social Policy,0.019974432726110578
2-6,Foreign Affairs & Defence,Trade & Industry,0.02732502396931927
2-6,Government Operations & Ethics,Agriculture & Natural Resources,0.024331597222222223
2-6,Government Operations & Ethics,Economic & Fiscal Policy,0.051467013888888885
2-6,Government Operations & Ethics,Foreign Affairs & Defence,0.016788194444444446
2-6,Government Operations & Ethics,Government Operations & Ethics,0.6290364583333333
2-6,Government Operations & Ethics,Indigenous & Northern Affairs,0.004314236111111111
2-6,Government Operations & Ethics,Intergovernmental & Constitutional Affairs,0.0153125
2-6,Government Operations & Ethics,"Justice, Rights & Immigration",0.029140625
2-6,Government Operations & Ethics,Parliamentary Affairs,0.10284722222222223
2-6,Government Operations & Ethics,Social Policy,0.054982638888888886
2-6,Government Operations & Ethics,Trade & Industry,0.07177951388888888
2-6,Indigenous & Northern Affairs,Agriculture & Natural Resources,0.03152289669861555
2-6,Indigenous & Northern Affairs,Economic & Fiscal Policy,0.008359957401490948
2-6,Indigenous & Northern Affairs,Foreign Affairs & Defence,0.0059105431309904154
2-6,Indigenous & Northern Affairs,Government Operations & Ethics,0.049148029818956336
2-6,Indigenous & Northern Affairs,Indigenous & Northern Affairs,0.7175186368477103
2-6,Indigenous & Northern Affairs,Intergovernmental & Constitutional Affairs,0.04717784877529286
2-6,Indigenous & Northern Affairs,"Justice, Rights & Immigration",0.02476038338658147
2-6,Indigenous & Northern Affairs,Parliamentary Affairs,0.03966986155484558
2-6,Indigenous & Northern Affairs,Social Policy,0.06693290734824281
2-6,Indigenous & Northern Affairs,Trade & Industry,0.008998935037273694
2-6,Intergovernmental & Constitutional Affairs,Agriculture & Natural Resources,0.03410138248847927
2-6,Intergovernmental & Constitutional Affairs,Economic & Fiscal Policy,0.0701804915514593
2-6,Intergovernmental & Constitutional Affairs,Foreign Affairs & Defence,0.026420890937019974
2-6,Intergovernmental & Constitutional Affairs,Government Operations & Ethics,0.044873271889400934
2-6,Intergovernmental & Constitutional Affairs,Indigenous & Northern Affairs,0.018682795698924736
2-6,Intergovernmental & Constitutional Affairs,Intergovernmental & Constitutional Affairs,0.5735407066052228
2-6,Intergovernmental & Constitutional Affairs,"Justice, Rights & Immigration",0.030741167434715826
2-6,Intergovernmental & Constitutional Affairs,Parliamentary Affairs,0.10464669738863289
2-6,Intergovernmental & Constitutional Affairs,Social Policy,0.053974654377880196
2-6,Intergovernmental & Constitutional Affairs,Trade & Industry,0.04283794162826421
2-6,"Justice, Rights & Immigration",Agriculture & Natural Resources,0.004988851727982162
2-6,"Justice, Rights & Immigration",Economic & Fiscal Policy,0.013224637681159418
2-6,"Justice, Rights & Immigration",Foreign Affairs & Defence,0.023369565217391298
2-6,"Justice, Rights & Immigration",Government Operations & Ethics,0.05624303232998884
2-6,"Justice, Rights & Immigration",Indigenous & Northern Affairs,0.0057274247491638786
2-6,"Justice, Rights & Immigration",Intergovernmental & Constitutional Affairs,0.02977982162764771
2-6,"Justice, Rights & Immigration","Justice, Rights & Immigration",0.703483835005574
2-6,"Justice, Rights & Immigration",Parliamentary Affairs,0.08988294314381269
2-6,"Justice, Rights & Immigration",Social Policy,0.04786789297658862
2-6,"Justice, Rights & Immigration",Trade & Industry,0.02543199554069119
2-6,Parliamentary Affairs,Agriculture & Natural Resources,0.013951789627465305
2-6,Parliamentary Affairs,Economic & Fiscal Policy,0.025383491599707816
2-6,Parliamentary Affairs,Foreign Affairs & Defence,0.009508156805454103
2-6,Parliamentary Affairs,Government Operations & Ethics,0.07078159240321404
