basepk,rows_found,chunk_total_min,chunk_total_max,total_chunk_weight,chunk_total_consistent,all_chunks_present
2198978,2,2,2,1.0,True,True
2199030,3,3,3,1.0,True,True
2199034,3,3,3,1.0,True,True
2199037,2,2,2,1.0,True,True
2199132,2,2,2,1.0,True,True
2199150,2,2,2,1.0,True,True
2199335,2,2,2,1.0,True,True
2199371,8,8,8,1.0,True,True
2199376,3,3,3,1.0,True,True
2199575,9,9,9,1.0,True,True
2199591,5,5,5,1.0,True,True
2199646,7,7,7,1.0,True,True
2199854,3,3,3,1.0,True,True
2199874,6,6,6,1.0,True,True
2199888,7,7,7,1.0,True,True
2200316,2,2,2,1.0,True,True
2200657,5,5,5,1.0,True,True
2200672,5,5,5,1.0,True,True
2200749,2,2,2,1.0,True,True
2200751,3,3,3,1.0,True,True
2200820,6,6,6,1.0,True,True
2201134,6,6,6,1.0,True,True
2201195,6,6,6,1.0,True,True
2201267,5,5,5,1.0,True,True
2201385,2,2,2,1.0,True,True
2201503,2,2,2,1.0,True,True
2201747,5,5,5,1.0,True,True
2201824,3,3,3,1.0,True,True
2201861,13,13,13,1.0,True,True
2201893,3,3,3,1.0,True,True
2201920,3,3,3,1.0,True,True
2202294,3,3,3,1.0,True,True
2202355,2,2,2,1.0,True,True
2202511,2,2,2,1.0,True,True
2202517,2,2,2,1.0,True,True
2202856,2,2,2,1.0,True,True
2202982,3,3,3,1.0,True,True
2203667,9,9,9,1.0,True,True
2203711,2,2,2,1.0,True,True
2203759,2,2,2,1.0,True,True
2203999,6,6,6,1.0,True,True
2204001,2,2,2,1.0,True,True
2204279,5,5,5,1.0,True,True
2204567,2,2,2,1.0,True,True
2204589,3,3,3,1.0,True,True
2204603,2,2,2,1.0,True,True
2204607,13,13,13,1.0,True,True
2204633,9,9,9,1.0,True,True
2204663,4,4,4,1.0,True,True
2204755,2,2,2,1.0,True,True
2204763,2,2,2,1.0,True,True
2204852,3,3,3,1.0,True,True
2204949,3,3,3,1.0,True,True
2205487,14,14,14,1.0,True,True
2205492,3,3,3,1.0,True,True
2205656,2,2,2,1.0,True,True
2205684,9,9,9,1.0,True,True
2206345,3,3,3,1.0,True,True
2206421,10,10,10,1.0,True,True
2206471,2,2,2,1.0,True,True
2206513,2,2,2,1.0,True,True
2206635,2,2,2,1.0,True,True
2206746,3,3,3,1.0,True,True
2206813,4,4,4,1.0,True,True
2206895,4,4,4,1.0,True,True
2207176,2,2,2,1.0,True,True
2207476,3,3,3,1.0,True,True
2207539,2,2,2,1.0,True,True
2207545,2,2,2,1.0,True,True
2207560,4,4,4,1.0,True,True
2207871,10,10,10,1.0,True,True
2207880,2,2,2,1.0,True,True
2207900,2,2,2,1.0,True,True
2207910,2,2,2,1.0,True,True
2207923,8,8,8,1.0,True,True
2207927,4,4,4,1.0,True,True
2207956,3,3,3,1.0,True,True
2208425,14,14,14,1.0,True,True
2208428,12,12,12,1.0,True,True
2209077,5,5,5,1.0,True,True
2209081,2,2,2,1.0,True,True
2209113,2,2,2,1.0,True,True
2209208,2,2,2,1.0,True,True
2209424,2,2,2,1.0,True,True
2209430,8,8,8,1.0,True,True
2209448,3,3,3,1.0,True,True
2209604,6,6,6,1.0,True,True
2209643,2,2,2,1.0,True,True
2209661,2,2,2,1.0,True,True
2209942,3,3,3,1.0,True,True
2209967,13,13,13,1.0,True,True
2210276,2,2,2,1.0,True,True
2210526,2,2,2,1.0,True,True
2210551,2,2,2,1.0,True,True
2210661,2,2,2,1.0,True,True
2210750,2,2,2,1.0,True,True
2210830,2,2,2,1.0,True,True
2210988,4,4,4,1.0,True,True
2211034,2,2,2,1.0,True,True
2212026,3,3,3,1.0,True,True
2212062,2,2,2,1.0,True,True
2212135,4,4,4,1.0,True,True
2212277,5,5,5,1.0,True,True
2212381,2,2,2,1.0,True,True
2212471,2,2,2,1.0,True,True
2212624,12,12,12,1.0,True,True
2213051,14,14,14,1.0,True,True
2213053,7,7,7,1.0,True,True
2213076,7,7,7,1.0,True,True
2213096,4,4,4,1.0,True,True
2213112,3,3,3,1.0,True,True
2213156,4,4,4,1.0,True,True
2213221,2,2,2,1.0,True,True
2213282,4,4,4,1.0,True,True
2213418,2,2,2,1.0,True,True
2214380,8,8,8,1.0,True,True
2214405,9,9,9,1.0,True,True
2214430,2,2,2,1.0,True,True
2214458,4,4,4,1.0,True,True
2214484,2,2,2,1.0,True,True
2214870,2,2,2,1.0,True,True
2215092,3,3,3,1.0,True,True
2215161,2,2,2,1.0,True,True
2215182,8,8,8,1.0,True,True
2215184,6,6,6,1.0,True,True
2215198,7,7,7,1.0,True,True
2215625,8,8,8,1.0,True,True
2215664,4,4,4,1.0,True,True
2215703,5,5,5,1.0,True,True
2215836,2,2,2,1.0,True,True
2215928,3,3,3,1.0,True,True
2216278,8,8,8,1.0,True,True
2216394,2,2,2,1.0,True,True
2216595,7,7,7,1.0,True,True
2216686,2,2,2,1.0,True,True
2216854,2,2,2,1.0,True,True
2216915,3,3,3,1.0,True,True
2217036,4,4,4,1.0,True,True
2217212,2,2,2,1.0,True,True
2217237,2,2,2,1.0,True,True
2217265,2,2,2,1.0,True,True
2217272,2,2,2,1.0,True,True
2217289,3,3,3,1.0,True,True
2217323,9,9,9,1.0,True,True
2217526,2,2,2,1.0,True,True
2217965,2,2,2,1.0,True,True
2218016,3,3,3,1.0,True,True
2218027,2,2,2,1.0,True,True
2218045,2,2,2,1.0,True,True
2218312,3,3,3,1.0,True,True
2218404,7,7,7,1.0,True,True
2218424,2,2,2,1.0,True,True
2218525,5,5,5,1.0,True,True
2218526,2,2,2,1.0,True,True
2218547,2,2,2,1.0,True,True
2218774,4,4,4,1.0,True,True
2218777,6,6,6,1.0,True,True
2218780,12,12,12,1.0,True,True
2218893,2,2,2,1.0,True,True
2219182,3,3,3,1.0,True,True
2219226,5,5,5,1.0,True,True
2219345,2,2,2,1.0,True,True
2219559,2,2,2,1.0,True,True
2219705,9,9,9,1.0,True,True
2219731,10,10,10,1.0,True,True
2219744,2,2,2,1.0,True,True
2219764,2,2,2,1.0,True,True
2220201,7,7,7,1.0,True,True
2220220,2,2,2,1.0,True,True
2220332,3,3,3,1.0,True,True
2220595,2,2,2,1.0,True,True
2220597,2,2,2,1.0,True,True
2220692,3,3,3,1.0,True,True
2220698,4,4,4,1.0,True,True
2220984,4,4,4,1.0,True,True
2220997,14,14,14,1.0,True,True
2221001,9,9,9,1.0,True,True
2221007,5,5,5,1.0,True,True
2221084,2,2,2,1.0,True,True
2221415,11,11,11,1.0,True,True
2221510,2,2,2,1.0,True,True
2221588,9,9,9,1.0,True,True
2222037,2,2,2,1.0,True,True
2222165,2,2,2,1.0,True,True
2222230,3,3,3,1.0,True,True
2222243,3,3,3,1.0,True,True
2222249,2,2,2,1.0,True,True
2222264,3,3,3,1.0,True,True
2222403,2,2,2,1.0,True,True
2222414,2,2,2,1.0,True,True
2222761,5,5,5,1.0,True,True
2222771,2,2,2,1.0,True,True
2222904,2,2,2,1.0,True,True
2223043,5,5,5,1.0,True,True
2223102,5,5,5,1.0,True,True
2223132,2,2,2,1.0,True,True
2223190,3,3,3,1.0,True,True
2223293,2,2,2,1.0,True,True
2223320,9,9,9,1.0,True,True
2223336,6,6,6,1.0,True,True
2224209,4,4,4,1.0,True,True
2224334,4,4,4,1.0,True,True
2224420,2,2,2,1.0,True,True
2224679,2,2,2,1.0,True,True
2224704,2,2,2,1.0,True,True
2224708,5,5,5,1.0,True,True
2224718,5,5,5,1.0,True,True
2224840,7,7,7,1.0,True,True
2224859,2,2,2,1.0,True,True
2224872,4,4,4,1.0,True,True
2224888,3,3,3,1.0,True,True
2224953,2,2,2,1.0,True,True
2225197,2,2,2,1.0,True,True
2225333,2,2,2,1.0,True,True
2225383,4,4,4,1.0,True,True
2225400,5,5,5,1.0,True,True
2225422,2,2,2,1.0,True,True
2225578,2,2,2,1.0,True,True
2225745,2,2,2,1.0,True,True
2225777,3,3,3,1.0,True,True
2225826,14,14,14,1.0,True,True
2225861,2,2,2,1.0,True,True
2226126,3,3,3,1.0,True,True
2226144,10,10,10,1.0,True,True
2226206,2,2,2,1.0,True,True
2226283,2,2,2,1.0,True,True
2226551,2,2,2,1.0,True,True
2226719,2,2,2,1.0,True,True
2227096,2,2,2,1.0,True,True
2227105,2,2,2,1.0,True,True
2227106,3,3,3,1.0,True,True
2227114,2,2,2,1.0,True,True
2227259,3,3,3,1.0,True,True
2227419,2,2,2,1.0,True,True
2227447,5,5,5,1.0,True,True
2227503,2,2,2,1.0,True,True
2227523,8,8,8,1.0,True,True
2227591,2,2,2,1.0,True,True
2227912,2,2,2,1.0,True,True
2227970,2,2,2,1.0,True,True
2227988,2,2,2,1.0,True,True
2228184,2,2,2,1.0,True,True
2228517,3,3,3,1.0,True,True
2228709,3,3,3,1.0,True,True
2228717,2,2,2,1.0,True,True
2228982,2,2,2,1.0,True,True
2229003,3,3,3,1.0,True,True
2229773,2,2,2,1.0,True,True
2229860,14,14,14,1.0,True,True
2229891,2,2,2,1.0,True,True
2229949,2,2,2,1.0,True,True
2230191,2,2,2,1.0,True,True
2230258,3,3,3,1.0,True,True
2230279,2,2,2,1.0,True,True
2230472,2,2,2,1.0,True,True
2231087,3,3,3,1.0,True,True
2231123,2,2,2,1.0,True,True
2231175,2,2,2,1.0,True,True
2231484,3,3,3,1.0,True,True
2231537,8,8,8,1.0,True,True
2231689,9,9,9,1.0,True,True
2231779,2,2,2,1.0,True,True
2231811,3,3,3,1.0,True,True
2231812,3,3,3,1.0,True,True
2231843,2,2,2,1.0,True,True
2231897,2,2,2,1.0,True,True
2231950,2,2,2,1.0,True,True
2232194,2,2,2,1.0,True,True
2232242,12,12,12,1.0,True,True
2232257,4,4,4,1.0,True,True
2232393,2,2,2,1.0,True,True
2232710,3,3,3,1.0,True,True
2233141,13,13,13,1.0,True,True
2233223,4,4,4,1.0,True,True
2233346,7,7,7,1.0,True,True
2233511,3,3,3,1.0,True,True
2233547,3,3,3,1.0,True,True
2233608,2,2,2,1.0,True,True
2233624,4,4,4,1.0,True,True
2233750,2,2,2,1.0,True,True
2233765,4,4,4,1.0,True,True
2233895,3,3,3,1.0,True,True
2234091,3,3,3,1.0,True,True
2234097,3,3,3,1.0,True,True
2234128,5,5,5,1.0,True,True
2234147,3,3,3,1.0,True,True
2234451,6,6,6,1.0,True,True
2234496,5,5,5,1.0,True,True
2234510,2,2,2,1.0,True,True
2234515,3,3,3,1.0,True,True
2234962,8,8,8,1.0,True,True
2234971,3,3,3,1.0,True,True
2235008,5,5,5,1.0,True,True
2235022,5,5,5,1.0,True,True
2235040,3,3,3,1.0,True,True
2235062,7,7,7,1.0,True,True
2235071,4,4,4,1.0,True,True
2235079,2,2,2,1.0,True,True
2235118,5,5,5,1.0,True,True
2235139,2,2,2,1.0,True,True
2235306,2,2,2,1.0,True,True
2235474,2,2,2,1.0,True,True
2235621,4,4,4,1.0,True,True
2235809,9,9,9,1.0,True,True
2235810,3,3,3,1.0,True,True
2235821,2,2,2,1.0,True,True
2235964,4,4,4,1.0,True,True
2236087,3,3,3,1.0,True,True
2236091,2,2,2,1.0,True,True
2236106,5,5,5,1.0,True,True
2236113,4,4,4,1.0,True,True
2236195,3,3,3,1.0,True,True
2236317,3,3,3,1.0,True,True
2236334,2,2,2,1.0,True,True
2236451,2,2,2,1.0,True,True
2236453,4,4,4,1.0,True,True
2236509,2,2,2,1.0,True,True
2236788,4,4,4,1.0,True,True
2236801,8,8,8,1.0,True,True
2236831,3,3,3,1.0,True,True
2236851,4,4,4,1.0,True,True
