interval_label,original_cluster,chunk_cluster,weighted_row_share
2-6,0,0,0.6048158640226627
2-6,0,1,0.012724268177525965
2-6,0,2,0.0007082152974504249
2-6,0,3,0.021624173748819635
2-6,0,4,0.16281869688385267
2-6,0,5,0.032648725212464584
2-6,0,6,0.009395656279508969
2-6,0,7,0.009277620396600565
2-6,0,8,0.0
2-6,0,9,0.0038951841359773365
2-6,0,10,0.0360717658168083
2-6,0,11,0.004650613786591123
2-6,0,12,0.0028328611898016994
2-6,0,13,0.0024079320113314442
2-6,0,14,0.0007082152974504249
2-6,0,15,0.00856940509915014
2-6,0,16,0.0684608120868744
2-6,0,17,0.011284230406043436
2-6,0,18,0.0038715769593956556
2-6,0,19,0.0032341831916902733
2-6,1,0,0.009398148148148149
2-6,1,1,0.5994444444444444
2-6,1,2,0.0020833333333333333
2-6,1,3,0.013796296296296296
2-6,1,4,0.22298611111111113
2-6,1,5,0.004814814814814815
2-6,1,6,0.002986111111111111
2-6,1,7,0.0019444444444444444
2-6,1,8,0.0024768518518518516
2-6,1,9,0.000810185185185185
2-6,1,10,0.05435185185185185
2-6,1,11,0.007037037037037037
2-6,1,12,0.027453703703703702
2-6,1,13,0.003472222222222222
2-6,1,14,0.001736111111111111
2-6,1,15,0.026875000000000003
2-6,1,16,0.014189814814814815
2-6,1,17,0.001435185185185185
2-6,1,18,0.0016666666666666666
2-6,1,19,0.0010416666666666667
2-6,2,0,0.0
2-6,2,1,0.0048449612403100775
2-6,2,2,0.6181201550387597
2-6,2,3,0.020251937984496125
2-6,2,4,0.199031007751938
2-6,2,5,0.012306201550387598
2-6,2,6,0.0029069767441860465
2-6,2,7,0.0014534883720930232
2-6,2,8,0.0029069767441860465
2-6,2,9,0.010368217054263565
2-6,2,10,0.027906976744186046
2-6,2,11,0.001937984496124031
2-6,2,12,0.00436046511627907
2-6,2,13,0.0
2-6,2,14,0.0
2-6,2,15,0.026453488372093024
2-6,2,16,0.06424418604651164
2-6,2,17,0.0
2-6,2,18,0.0029069767441860465
2-6,2,19,0.0
2-6,3,0,0.008247422680412371
2-6,3,1,0.011387066541705718
2-6,3,2,0.002093095907528897
2-6,3,3,0.5909403311465167
2-6,3,4,0.2295376444860981
2-6,3,5,0.011965010934083099
2-6,3,6,0.0014839112777257106
2-6,3,7,0.005420181193377069
2-6,3,8,0.0014058106841611997
2-6,3,9,0.009606373008434864
2-6,3,10,0.03408309903155264
2-6,3,11,0.007778819119025305
2-6,3,12,0.0037488284910965324
2-6,3,13,0.004123711340206185
2-6,3,14,0.0028428616057482037
2-6,3,15,0.004404873477038425
2-6,3,16,0.05590440487347704
2-6,3,17,0.0038894095595126527
2-6,3,18,0.008481724461105905
2-6,3,19,0.0026554201811933766
2-6,4,0,0.004540747644195921
2-6,4,1,0.008522315418867145
2-6,4,2,0.002645749197473336
2-6,4,3,0.013762037899968936
2-6,4,4,0.8663197680439061
2-6,4,5,0.009128093610852232
2-6,4,6,0.0018639328984156572
2-6,4,7,0.0013668841255048154
2-6,4,8,0.004281868074971524
2-6,4,9,0.006171688930309621
2-6,4,10,0.018194056125090608
2-6,4,11,0.009531945738842291
2-6,4,12,0.009122916019467745
2-6,4,13,0.002718235476856167
2-6,4,14,0.0030651340996168588
2-6,4,15,0.010106658382520452
2-6,4,16,0.012125919022470748
2-6,4,17,0.0036605571088329713
2-6,4,18,0.011877394636015328
2-6,4,19,0.0009940975458216839
2-6,5,0,0.022463768115942032
2-6,5,1,0.0048447204968944104
2-6,5,2,0.0
2-6,5,3,0.01991718426501036
2-6,5,4,0.17971014492753626
2-6,5,5,0.6033747412008282
2-6,5,6,0.004865424430641823
2-6,5,7,0.010559006211180126
2-6,5,8,0.0004140786749482402
2-6,5,9,0.0021739130434782613
2-6,5,10,0.02221532091097309
2-6,5,11,0.005320910973084887
2-6,5,12,0.002587991718426501
2-6,5,13,0.005672877846790891
2-6,5,14,0.0004140786749482402
2-6,5,15,0.003933747412008282
2-6,5,16,0.07778467908902692
2-6,5,17,0.006273291925465839
2-6,5,18,0.0205175983436853
2-6,5,19,0.006956521739130435
2-6,6,0,0.025199600798403193
2-6,6,1,0.008682634730538923
2-6,6,2,0.0
2-6,6,3,0.030738522954091813
2-6,6,4,0.13018962075848303
