original_cluster,chunk_cluster,weighted_flow,contributing_speech_n,raw_chunk_n,is_retained
4,4,2906.5737151737153,3315,7331,True
16,16,2108.8163114663116,4113,9708,True
16,4,1958.2608419358419,3774,9645,False
10,10,1247.9964146964146,2003,3973,True
3,3,789.1831252081251,1348,3023,True
5,5,614.5193750693751,1064,2358,True
0,0,561.848742923743,966,2368,True
10,4,515.0249805749805,1104,1792,False
15,15,505.2040542790543,867,1862,True
17,17,494.5283216783217,799,2360,True
1,1,487.9622877122877,839,1603,True
12,12,481.5054112554113,717,1314,True
11,11,448.29696692196694,701,1719,True
18,18,322.34789377289377,560,1057,True
3,4,315.3721833721834,760,1261,False
6,6,292.2723554223554,504,1344,True
13,13,292.22059607059606,495,1030,True
16,10,273.7065712065712,1085,1422,False
9,9,270.09574314574314,420,652,True
7,7,261.56911144411146,450,1101,True
19,19,236.66473526473527,377,1020,True
1,4,208.1453463203463,456,888,False
5,4,189.8771978021978,491,787,False
11,4,170.913011988012,384,713,False
15,4,170.2600704850705,418,766,False
16,3,167.46818181818182,691,878,False
0,4,154.95639083139082,423,679,False
17,4,149.31956931956933,391,753,False
2,2,135.05244755244755,221,534,True
14,14,134.57725607725607,248,402,True
16,5,126.58157120657121,574,701,False
5,16,117.92390664890665,377,681,False
18,4,117.07762515262515,292,466,False
16,18,115.19510767010767,475,557,False
12,4,108.43109668109668,238,303,False
12,10,101.91327561327562,243,298,False
10,16,95.14126706626706,297,384,False
3,16,94.25522255522256,321,500,False
0,16,92.30595238095238,302,556,False
15,10,90.07545232545232,264,402,False
8,8,77.2238455988456,126,268,True
9,4,74.6917748917749,156,199,False
6,4,72.90413197913198,230,389,False
7,16,69.99180819180819,186,339,False
7,4,68.8736346986347,197,314,False
13,4,65.1157980907981,184,254,False
10,12,63.91881729381729,178,200,False
4,10,60.44920634920635,148,151,False
16,15,58.24309301809302,313,386,False
16,1,57.23490398490399,297,361,False
14,4,55.51236818736819,129,195,False
3,10,54.562834387834386,199,262,False
16,9,52.804806304806306,225,280,False
10,15,50.397835497835494,196,233,False
16,13,48.37511932511932,202,234,False
1,10,48.3217365967366,148,189,False
17,16,47.682728382728385,182,280,False
16,11,47.08066100566101,240,286,False
2,4,47.012909312909315,116,212,False
4,3,46.339285714285715,118,121,False
16,7,45.69087856587856,203,237,False
13,16,45.60762570762571,144,256,False
19,4,45.58436563436563,150,232,False
18,16,43.90307747807748,140,204,False
16,0,43.07995615495616,194,214,False
6,16,42.361435786435784,146,268,False
