chunk_total,speech_n,mean_category_entropy_raw,category_entropy_raw_ci_95_low,category_entropy_raw_ci_95_high,mean_category_entropy_adjusted,category_entropy_adjusted_ci_95_low,category_entropy_adjusted_ci_95_high,mean_cluster_entropy_raw,cluster_entropy_raw_ci_95_low,cluster_entropy_raw_ci_95_high,mean_cluster_entropy_adjusted,cluster_entropy_adjusted_ci_95_low,cluster_entropy_adjusted_ci_95_high
2,10666,0.19353012410533632,0.18762854059208967,0.19943170761858298,0.27920495030939435,0.27069076504144135,0.28771913557734735,0.37289316726541966,0.3663345068580662,0.37945182767277313,0.5379711231951997,0.528508976350636,0.5474332700397634
3,3322,0.28863266320610537,0.27638149404563617,0.30088383236657457,0.26272477213596973,0.2515732773940697,0.27387626687786976,0.5859526319391387,0.5730013188167339,0.5989039450615435,0.5333570705362415,0.5215682772959016,0.5451458637765814
4,1831,0.36350013974049467,0.3456966118867271,0.3813036675942622,0.2622099244830284,0.2493673938105489,0.27505245515550786,0.7211123721406814,0.7033790938365482,0.7388456504448145,0.5201726216055188,0.5073807652714803,0.5329644779395573
5,1282,0.37871490112315886,0.35674842153436953,0.4006813807119482,0.23530879830610782,0.22166025714830237,0.24895733946391327,0.8000760186400653,0.778306878753762,0.8218451585263685,0.49711518068443983,0.48358925357776456,0.510641107791115
6,976,0.4102678276716678,0.3849572292705262,0.4355784260728094,0.2289748343556537,0.21484872042360556,0.24310094828770182,0.884501194824419,0.8597113557826176,0.9092910338662205,0.4936495160287833,0.4798140434290589,0.5074849886285077
7,815,0.41176600851105144,0.3840002963801568,0.43953172064194607,0.21160586921803795,0.1973371157792555,0.2258746226568204,0.9330941440245683,0.9053477772262144,0.9608405108229221,0.4795155338891472,0.4652567219846901,0.4937743457936043
8,721,0.45986067818255466,0.4282680024969639,0.4914533538681454,0.22114623997126903,0.20595337445793066,0.2363391054846074,0.9835159900066184,0.9547918169184505,1.0122401630947861,0.4729712138058492,0.45915780644987053,0.4867846211618279
9,583,0.46246032211451477,0.4284158362566861,0.4965048079723434,0.21047476297355705,0.19498044973448792,0.22596907621262619,1.0011956053408548,0.9672708039509562,1.0351204067307533,0.455663756753824,0.4402239142635188,0.47110359924412915
10,454,0.4832315412108478,0.4451438277307466,0.5213192546909491,0.20986479182947498,0.19332350803675494,0.22640607562219503,1.0349869102538407,0.999178589699394,1.0707952308082873,0.4494891039653392,0.4339377479423202,0.4650404599883582
11,373,0.4660732705821399,0.42261013073276754,0.5095364104315122,0.20241304957642453,0.1835372477736528,0.22128885137919627,1.0745768347223201,1.0366380787652727,1.1125155906793676,0.44813334715334624,0.43231165702891783,0.46395503727777465
12,286,0.48762338795461463,0.43599575285971726,0.539251023049512,0.21177214663565774,0.18935054960022915,0.23419374367108634,1.0795914630321697,1.0331388660571459,1.1260440600071935,0.4344595653620529,0.41576566513888474,0.453153465585221
13,259,0.5434214056200692,0.4914145592923357,0.5954282519478028,0.23600491780890478,0.2134186314275797,0.25859120419022985,1.1100078064698264,1.0657697512572881,1.1542458616823648,0.43276012574703304,0.41551298007382587,0.4500072714202402
14,241,0.5474708864319401,0.4918975566420423,0.6030442162218378,0.2377635849800734,0.21362839451133123,0.2618987754488156,1.1507777078969224,1.1022015714220248,1.19935384437182,0.43605635049417124,0.4176497263068978,0.4544629746814447
15,12,0.6881780140851047,0.43037620117164394,0.9459798269985655,0.2988719140842992,0.1869100093113287,0.41083381885726966,1.1703759524620472,0.886959197327147,1.4537927075969472,0.4321839942205243,0.3275268667346505,0.5368411217063981
