chunk_total,speech_n,mean_category_retention,category_retention_ci_95_low,category_retention_ci_95_high,mean_cluster_retention,cluster_retention_ci_95_low,cluster_retention_ci_95_high
2,10666,0.7280611288205513,0.7209818253487565,0.735140432292346,0.6680573785861617,0.6620657767608968,0.6740489804114265
3,3322,0.7076058599237407,0.6955094906673215,0.7197022291801599,0.5684326710816777,0.5582375375902882,0.5786278045730673
4,1831,0.6839158929546696,0.6680204994396712,0.699811286469668,0.513790278536319,0.5006560949544027,0.5269244621182353
5,1282,0.6965678627145085,0.678011253366854,0.7151244720621631,0.48861154446177846,0.47345727041760893,0.5037658185059479
6,976,0.6825478142076503,0.661363049173333,0.7037325792419676,0.45440573770491804,0.4378170830409103,0.47099439236892576
7,815,0.7134092900964065,0.6911969830097667,0.7356215971830463,0.4434706397896582,0.4256604232547804,0.4612808563245361
8,721,0.7007628294036061,0.6774950957543142,0.724030563052898,0.4561373092926491,0.4377240520145404,0.47455056657075784
9,583,0.6943015056222603,0.6685427721817004,0.7200602390628202,0.4520678482942634,0.4316680510586016,0.47246764552992515
10,454,0.6779735682819383,0.6479307051742316,0.7080164313896451,0.44801762114537447,0.42583918123370385,0.4701960610570451
11,373,0.7114306604923227,0.6798758465898804,0.742985474394765,0.42676090665366806,0.4027333428584873,0.45078847044884884
12,286,0.6955128205128205,0.6580209290937364,0.7330047119319045,0.4318181818181818,0.4036832086221011,0.45995315501426254
13,259,0.6525096525096525,0.6124618475099455,0.6925574575093596,0.40778140778140776,0.37975813647519174,0.43580467908762377
14,241,0.6813870776526378,0.6421040935720264,0.7206700617332493,0.39122703023117955,0.36228366257955635,0.42017039788280275
15,12,0.6333333333333333,0.45898741764702217,0.8076792490196445,0.3444444444444444,0.2189964705115792,0.46989241837730955
