basepk,chunk_total,original_category,original_cluster,category_entropy_raw,category_entropy_adjusted,cluster_entropy_raw,cluster_entropy_adjusted,category_retention,cluster_retention,category_distinct_count,cluster_distinct_count,category_dominant_share,cluster_dominant_share
2198978,2,Economic & Fiscal Policy,18,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2199037,2,"Justice, Rights & Immigration",15,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
2199132,2,Foreign Affairs & Defence,18,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2199150,2,Government Operations & Ethics,15,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2199335,2,Parliamentary Affairs,15,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2200316,2,Economic & Fiscal Policy,16,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2200749,2,Parliamentary Affairs,15,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
2201385,2,Trade & Industry,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
2201503,2,Foreign Affairs & Defence,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2202355,2,Government Operations & Ethics,10,0.0,0.0,0.6931471805599453,1.0,0.0,0.5,1,2,1.0,0.5
2202511,2,Foreign Affairs & Defence,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2202517,2,Foreign Affairs & Defence,18,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2202856,2,Parliamentary Affairs,16,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2203711,2,Parliamentary Affairs,10,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2203759,2,Trade & Industry,4,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
2204001,2,Foreign Affairs & Defence,4,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2204567,2,Parliamentary Affairs,10,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2204603,2,Agriculture & Natural Resources,10,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
2204755,2,Parliamentary Affairs,12,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2204763,2,Parliamentary Affairs,10,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2205656,2,Indigenous & Northern Affairs,2,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
2206471,2,Foreign Affairs & Defence,15,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2206513,2,Foreign Affairs & Defence,15,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2206635,2,Government Operations & Ethics,16,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2207176,2,Foreign Affairs & Defence,4,0.0,0.0,0.6931471805599453,1.0,0.0,0.5,1,2,1.0,0.5
2207539,2,Foreign Affairs & Defence,14,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2207545,2,Parliamentary Affairs,10,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
2207880,2,Parliamentary Affairs,10,0.0,0.0,0.6931471805599453,1.0,0.0,0.5,1,2,1.0,0.5
2207900,2,Parliamentary Affairs,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2207910,2,Parliamentary Affairs,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
2209081,2,Foreign Affairs & Defence,16,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2209113,2,Parliamentary Affairs,10,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
2209208,2,Foreign Affairs & Defence,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2209424,2,Foreign Affairs & Defence,15,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2209643,2,Economic & Fiscal Policy,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2209661,2,Foreign Affairs & Defence,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2210276,2,Trade & Industry,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2210526,2,Government Operations & Ethics,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
2210551,2,Foreign Affairs & Defence,18,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2210661,2,Agriculture & Natural Resources,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2210750,2,Foreign Affairs & Defence,18,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2210830,2,Government Operations & Ethics,11,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2211034,2,Economic & Fiscal Policy,5,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2212062,2,Government Operations & Ethics,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
2212381,2,Parliamentary Affairs,12,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
2212471,2,Parliamentary Affairs,10,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
2213221,2,Government Operations & Ethics,11,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
2213418,2,Economic & Fiscal Policy,4,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
