length_bin_id,bin_min_words,bin_max_words,bin_mean_words,bin_median_words,bin_n,length_bin_label
0,50,59,54.14965759144814,54.0,5987,50–59
1,59,69,63.92783160708319,64.0,5986,59–69
2,69,81,74.99432008018711,75.0,5986,69–81
3,81,96,88.18559973270966,88.0,5986,81–96
4,96,114,104.22368860674908,104.0,5986,96–114
5,114,139,125.25709989976612,125.0,5986,114–139
6,139,180,157.268626795857,156.0,5986,139–180
7,180,277,219.81189442031408,216.0,5986,180–277
8,277,602,404.26929502171737,389.0,5986,277–602
9,602,2109,1123.360507851654,1038.0,5986,602–2109
