length_bin_label,mean_words,n,mean_llm_score,llm_ci_low,llm_ci_high,mean_kmeans_score,kmeans_ci_low,kmeans_ci_high
50–59,54.14965759144814,5987,0.30222983130115244,0.29386925719315743,0.31059040540914745,0.5076833138466678,0.500124468198703,0.5152421594946325
59–69,63.92783160708319,5986,0.2726277981957902,0.2647234500722299,0.2805321463193505,0.48454727697961913,0.4768202346080104,0.4922743193512279
69–81,74.99432008018711,5986,0.24619111259605747,0.23880166722968574,0.2535805579624292,0.4617858336117608,0.4539186860232079,0.4696529812003137
81–96,88.18559973270966,5986,0.24411125960574676,0.23701229043535132,0.2512102287761422,0.4449966588706983,0.4369867942811104,0.45300652346028614
96–114,104.22368860674908,5986,0.2353407951887738,0.22869032380601226,0.24199126657153533,0.42733043768793855,0.41930344863271696,0.43535742674316014
114–139,125.25709989976612,5986,0.24061977948546606,0.2340168435715012,0.24722271539943091,0.40757601069161375,0.39935978979958375,0.41579223158364376
139–180,157.268626795857,5986,0.24384396926161045,0.23754416151723196,0.25014377700598894,0.3845639826261276,0.375898038084435,0.39322992716782024
180–277,219.81189442031408,5986,0.24761109254928163,0.24147830257115424,0.253743882527409,0.34313397928499834,0.3341746786193377,0.352093279950659
277–602,404.26929502171737,5986,0.25933845639826264,0.2540001575791011,0.2646767552174242,0.2936017373872369,0.28434854219102973,0.30285493258344404
602–2109,1123.360507851654,5986,0.22515035081857668,0.2212658495193704,0.22903485211778296,0.16935349148012027,0.16134913256192357,0.17735785039831697
