length_bin_label,mean_words,median_words,n,mean_llm_minus_kmeans,ci_low,ci_high
50–59,54.14965759144814,54.0,5987,-0.20545348254551526,-0.21302662255546984,-0.1978803425355607
59–69,63.92783160708319,64.0,5986,-0.2119194787838289,-0.21947164374835224,-0.2043673138193056
69–81,74.99432008018711,75.0,5986,-0.2155947210157033,-0.22307387042028573,-0.20811557161112085
81–96,88.18559973270966,88.0,5986,-0.20088539926495155,-0.20848733083665247,-0.19328346769325064
96–114,104.22368860674908,104.0,5986,-0.19198964249916473,-0.19955695871327636,-0.1844223262850531
114–139,125.25709989976612,125.0,5986,-0.16695623120614766,-0.1746933855662378,-0.15921907684605752
139–180,157.268626795857,156.0,5986,-0.1407200133645172,-0.14866997665535459,-0.1327700500736798
180–277,219.81189442031408,216.0,5986,-0.09552288673571667,-0.10352801332767031,-0.08751776014376303
277–602,404.26929502171737,389.0,5986,-0.03426328098897428,-0.042274517310496924,-0.02625204466745163
602–2109,1123.360507851654,1038.0,5986,0.0557968593384564,0.04846411080172651,0.06312960787518629
