length_bin_label,category_plot,n,bin_total,share
50–59,Agriculture & Natural Resources,580,5987,0.09687656589276766
50–59,Economic & Fiscal Policy,582,5987,0.09721062301653582
50–59,Foreign Affairs & Defence,399,5987,0.06664439619174879
50–59,Government Operations & Ethics,962,5987,0.16068147653248704
50–59,Indigenous & Northern Affairs,85,5987,0.014197427760146986
50–59,Intergovernmental & Constitutional Affairs,225,5987,0.03758142642391849
50–59,"Justice, Rights & Immigration",303,5987,0.0506096542508769
50–59,Parliamentary Affairs,1633,5987,0.2727576415567062
50–59,Social Policy,556,5987,0.09286788040754969
50–59,Trade & Industry,662,5987,0.11057290796726241
59–69,Agriculture & Natural Resources,658,5986,0.10992315402606082
59–69,Economic & Fiscal Policy,617,5986,0.10307383895756765
59–69,Foreign Affairs & Defence,427,5986,0.07133311059137988
59–69,Government Operations & Ethics,886,5986,0.14801202806548613
59–69,Indigenous & Northern Affairs,92,5986,0.015369194787838289
59–69,Intergovernmental & Constitutional Affairs,220,5986,0.03675242231874373
59–69,"Justice, Rights & Immigration",335,5986,0.0559639158035416
59–69,Parliamentary Affairs,1434,5986,0.23955897093217507
59–69,Social Policy,593,5986,0.09906448379552289
59–69,Trade & Industry,724,5986,0.12094888072168393
69–81,Agriculture & Natural Resources,683,5986,0.11409956565319078
69–81,Economic & Fiscal Policy,704,5986,0.11760775141997995
69–81,Foreign Affairs & Defence,412,5986,0.0688272636151019
69–81,Government Operations & Ethics,835,5986,0.139492148346141
69–81,Indigenous & Northern Affairs,93,5986,0.015536251252923489
69–81,Intergovernmental & Constitutional Affairs,230,5986,0.03842298696959572
69–81,"Justice, Rights & Immigration",370,5986,0.06181089208152356
69–81,Parliamentary Affairs,1193,5986,0.19929836284664215
69–81,Social Policy,662,5986,0.11059137988640161
69–81,Trade & Industry,804,5986,0.13431339792849983
81–96,Agriculture & Natural Resources,703,5986,0.11744069495489476
81–96,Economic & Fiscal Policy,699,5986,0.11677246909455397
81–96,Foreign Affairs & Defence,413,5986,0.0689943200801871
81–96,Government Operations & Ethics,793,5986,0.13247577681256265
81–96,Indigenous & Northern Affairs,115,5986,0.01921149348479786
81–96,Intergovernmental & Constitutional Affairs,240,5986,0.04009355162044771
81–96,"Justice, Rights & Immigration",342,5986,0.057133311059137985
81–96,Parliamentary Affairs,1141,5986,0.19061142666221184
81–96,Social Policy,741,5986,0.12378884062813231
81–96,Trade & Industry,799,5986,0.13347811560307385
96–114,Agriculture & Natural Resources,695,5986,0.11610424323421316
96–114,Economic & Fiscal Policy,767,5986,0.12813230872034748
96–114,Foreign Affairs & Defence,393,5986,0.06565319077848313
96–114,Government Operations & Ethics,876,5986,0.14634146341463414
96–114,Indigenous & Northern Affairs,116,5986,0.01937854994988306
96–114,Intergovernmental & Constitutional Affairs,227,5986,0.03792181757434013
96–114,"Justice, Rights & Immigration",381,5986,0.06364851319746075
96–114,Parliamentary Affairs,996,5986,0.16638823922485801
96–114,Social Policy,707,5986,0.11810892081523555
96–114,Trade & Industry,828,5986,0.1383227530905446
114–139,Agriculture & Natural Resources,707,5986,0.11810892081523555
114–139,Economic & Fiscal Policy,806,5986,0.13464751085867024
114–139,Foreign Affairs & Defence,408,5986,0.0681590377547611
114–139,Government Operations & Ethics,785,5986,0.13113932509188106
114–139,Indigenous & Northern Affairs,112,5986,0.018710324089542266
114–139,Intergovernmental & Constitutional Affairs,239,5986,0.039926495155362514
114–139,"Justice, Rights & Immigration",369,5986,0.06164383561643835
114–139,Parliamentary Affairs,974,5986,0.16271299699298364
114–139,Social Policy,739,5986,0.12345472769796191
114–139,Trade & Industry,847,5986,0.1414968259271634
139–180,Agriculture & Natural Resources,717,5986,0.11977948546608753
139–180,Economic & Fiscal Policy,836,5986,0.1396592048112262
139–180,Foreign Affairs & Defence,443,5986,0.07400601403274307
139–180,Government Operations & Ethics,751,5986,0.1254594052789843
139–180,Indigenous & Northern Affairs,100,5986,0.01670564650851988
139–180,Intergovernmental & Constitutional Affairs,238,5986,0.039759438690277316
139–180,"Justice, Rights & Immigration",413,5986,0.0689943200801871
139–180,Parliamentary Affairs,937,5986,0.15653190778483128
139–180,Social Policy,750,5986,0.12529234881389908
139–180,Trade & Industry,801,5986,0.13381222853324423
180–277,Agriculture & Natural Resources,686,5986,0.11460073504844638
180–277,Economic & Fiscal Policy,904,5986,0.15101904443701972
180–277,Foreign Affairs & Defence,429,5986,0.07166722352155028
180–277,Government Operations & Ethics,732,5986,0.12228533244236552
180–277,Indigenous & Northern Affairs,105,5986,0.017540928833945875
180–277,Intergovernmental & Constitutional Affairs,294,5986,0.04911460073504845
180–277,"Justice, Rights & Immigration",375,5986,0.06264617440694954
180–277,Parliamentary Affairs,943,5986,0.15753424657534246
180–277,Social Policy,771,5986,0.12880053458068827
180–277,Trade & Industry,747,5986,0.1247911794186435
277–602,Agriculture & Natural Resources,774,5986,0.12930170397594387
277–602,Economic & Fiscal Policy,971,5986,0.16221182759772804
277–602,Foreign Affairs & Defence,299,5986,0.04994988306047444
277–602,Government Operations & Ethics,575,5986,0.09605746742398931
277–602,Indigenous & Northern Affairs,112,5986,0.018710324089542266
277–602,Intergovernmental & Constitutional Affairs,346,5986,0.057801536919478785
277–602,"Justice, Rights & Immigration",434,5986,0.07250250584697628
277–602,Parliamentary Affairs,1001,5986,0.167223521550284
277–602,Social Policy,745,5986,0.1244570664884731
277–602,Trade & Industry,729,5986,0.12178416304710993
602–2109,Agriculture & Natural Resources,832,5986,0.13899097895088539
602–2109,Economic & Fiscal Policy,942,5986,0.15736719011025727
602–2109,Foreign Affairs & Defence,257,5986,0.04293351152689609
602–2109,Government Operations & Ethics,538,5986,0.08987637821583695
602–2109,Indigenous & Northern Affairs,109,5986,0.018209154694286668
602–2109,Intergovernmental & Constitutional Affairs,388,5986,0.06481790845305713
602–2109,"Justice, Rights & Immigration",540,5986,0.09021049114600735
602–2109,Parliamentary Affairs,603,5986,0.10073504844637488
602–2109,Social Policy,926,5986,0.1546942866688941
602–2109,Trade & Industry,851,5986,0.1421650517875042
