category,length_bin_label,n,mean_llm_minus_kmeans,ci_low,ci_high,keep_for_plot
Parliamentary Affairs,50–59,1633,-0.03842620943049602,-0.051048426072681514,-0.02580399278831052,True
Parliamentary Affairs,59–69,1434,-0.044630404463040445,-0.05870868268880759,-0.030552126237273297,True
Parliamentary Affairs,69–81,1193,-0.07062028499580889,-0.08587244766069513,-0.05536812233092264,True
Parliamentary Affairs,81–96,1141,-0.0845749342681858,-0.09997855205306627,-0.06917131648330532,True
Parliamentary Affairs,96–114,996,-0.11495983935742972,-0.13142804476227807,-0.09849163395258137,True
Parliamentary Affairs,114–139,974,-0.09974332648870637,-0.1166372077260318,-0.08284944525138095,True
Parliamentary Affairs,139–180,937,-0.14877267876200642,-0.16629826992844846,-0.1312470875955644,True
Parliamentary Affairs,180–277,943,-0.12942735949098622,-0.1466998479756848,-0.11215487100628763,True
Parliamentary Affairs,277–602,1001,-0.16203796203796203,-0.17942447165352488,-0.14465145242239918,True
Parliamentary Affairs,602–2109,603,-0.1556384742951907,-0.1809565637010606,-0.1303203848893208,True
Economic & Fiscal Policy,50–59,582,-0.1872852233676976,-0.21249963853469814,-0.16207080820069705,True
Economic & Fiscal Policy,59–69,617,-0.1993517017828201,-0.22374181737143406,-0.17496158619420615,True
Economic & Fiscal Policy,69–81,704,-0.16051136363636365,-0.18406761994535434,-0.13695510732737295,True
Economic & Fiscal Policy,81–96,699,-0.1255364806866953,-0.14904204543942332,-0.10203091593396728,True
Economic & Fiscal Policy,96–114,767,-0.09615384615384616,-0.11853319705568575,-0.07377449525200656,True
Economic & Fiscal Policy,114–139,806,-0.05198511166253102,-0.07320929887196152,-0.030760924453100514,True
Economic & Fiscal Policy,139–180,836,-0.03666267942583732,-0.0576972886492696,-0.015628070202405038,True
Economic & Fiscal Policy,180–277,904,0.024446902654867257,0.005239378095226479,0.04365442721450803,True
Economic & Fiscal Policy,277–602,971,0.08831101956745623,0.07070882267278873,0.10591321646212372,True
Economic & Fiscal Policy,602–2109,942,0.16231422505307858,0.1501625650540553,0.17446588505210184,True
Trade & Industry,50–59,662,-0.2892749244712991,-0.3097984172498381,-0.2687514316927601,True
Trade & Industry,59–69,724,-0.27506906077348064,-0.295708157277431,-0.2544299642695303,True
Trade & Industry,69–81,804,-0.2506218905472637,-0.2705513214720493,-0.23069245962247809,True
Trade & Industry,81–96,799,-0.2437421777221527,-0.26358407209213874,-0.22390028335216666,True
Trade & Industry,96–114,828,-0.1928743961352657,-0.21334213316686546,-0.17240665910366593,True
Trade & Industry,114–139,847,-0.15991735537190083,-0.1803608855589799,-0.13947382518482176,True
Trade & Industry,139–180,801,-0.10255930087390762,-0.12490248057452133,-0.08021612117329391,True
Trade & Industry,180–277,747,-0.07228915662650602,-0.09525086676462391,-0.04932744648838813,True
Trade & Industry,277–602,729,0.02345679012345679,0.0016476431474753209,0.04526593709943826,True
Trade & Industry,602–2109,851,0.10047003525264395,0.08258063773298033,0.11835943277230757,True
Government Operations & Ethics,50–59,962,-0.2582120582120582,-0.27643283891060166,-0.2399912775135148,True
Government Operations & Ethics,59–69,886,-0.24181715575620769,-0.25912282057250347,-0.22451149093991188,True
Government Operations & Ethics,69–81,835,-0.2488622754491018,-0.267670521733822,-0.23005402916438158,True
Government Operations & Ethics,81–96,793,-0.24747793190416142,-0.26816935012656895,-0.2267865136817539,True
Government Operations & Ethics,96–114,876,-0.23715753424657535,-0.25615938722433723,-0.21815568126881346,True
Government Operations & Ethics,114–139,785,-0.22777070063694269,-0.24836848772227518,-0.2071729135516102,True
Government Operations & Ethics,139–180,751,-0.1860186418109188,-0.20889330253888236,-0.16314398108295522,True
Government Operations & Ethics,180–277,732,-0.1362704918032787,-0.15972037519068333,-0.11282060841587403,True
Government Operations & Ethics,277–602,575,-0.08521739130434781,-0.11274411488086594,-0.057690667727829686,True
Government Operations & Ethics,602–2109,538,0.02797397769516729,0.0012033817848083397,0.05474457360552624,True
Social Policy,50–59,556,-0.2643884892086331,-0.28968088145308174,-0.2390960969641845,True
Social Policy,59–69,593,-0.2411467116357504,-0.2667204984232486,-0.21557292484825225,True
Social Policy,69–81,662,-0.23187311178247735,-0.25480642818936533,-0.20893979537558938,True
Social Policy,81–96,741,-0.18859649122807018,-0.21153137468343947,-0.1656616077727009,True
Social Policy,96–114,707,-0.1618104667609618,-0.18522345441919505,-0.13839747910272857,True
Social Policy,114–139,739,-0.12618403247631935,-0.14890596843202702,-0.10346209652061167,True
Social Policy,139–180,750,-0.09453333333333334,-0.11689072816333604,-0.07217593850333065,True
Social Policy,180–277,771,-0.03463035019455253,-0.056859955356160785,-0.012400745032944277,True
Social Policy,277–602,745,0.037785234899328855,0.01734386715130874,0.05822660264734897,True
Social Policy,602–2109,926,0.11128509719222464,0.0953019217912011,0.12726827259324816,True
Agriculture & Natural Resources,50–59,580,-0.27629310344827585,-0.29841673040236705,-0.25416947649418464,True
Agriculture & Natural Resources,59–69,658,-0.27203647416413373,-0.29385183304226875,-0.2502211152859987,True
Agriculture & Natural Resources,69–81,683,-0.24121522693997072,-0.2615619125160365,-0.22086854136390494,True
Agriculture & Natural Resources,81–96,703,-0.22546230440967283,-0.24707639428258374,-0.2038482145367619,True
Agriculture & Natural Resources,96–114,695,-0.21546762589928056,-0.23717659531416618,-0.19375865648439494,True
Agriculture & Natural Resources,114–139,707,-0.20551626591230554,-0.22802584851809343,-0.18300668330651765,True
Agriculture & Natural Resources,139–180,717,-0.1506276150627615,-0.17321135732077741,-0.1280438728047456,True
Agriculture & Natural Resources,180–277,686,-0.10685131195335276,-0.12958402331053015,-0.08411860059617539,True
Agriculture & Natural Resources,277–602,774,0.006653746770025843,-0.013762654359858111,0.0270701478999098,True
Agriculture & Natural Resources,602–2109,832,0.1069110576923077,0.09164879806510227,0.12217331731951313,True
Foreign Affairs & Defence,50–59,399,-0.3583959899749373,-0.3811351691550522,-0.33565681079482246,True
Foreign Affairs & Defence,59–69,427,-0.3741217798594848,-0.39594291510590207,-0.35230064461306754,True
Foreign Affairs & Defence,69–81,412,-0.375,-0.3964668460408319,-0.3535331539591681,True
Foreign Affairs & Defence,81–96,413,-0.3371670702179177,-0.35957338297138364,-0.31476075746445176,True
Foreign Affairs & Defence,96–114,393,-0.34134860050890586,-0.3653261523180607,-0.317371048699751,True
Foreign Affairs & Defence,114–139,408,-0.3281862745098039,-0.35214663961614207,-0.3042259094034658,True
Foreign Affairs & Defence,139–180,443,-0.2611738148984199,-0.28708179225196595,-0.23526583754487382,True
Foreign Affairs & Defence,180–277,429,-0.2181818181818182,-0.24523991568407075,-0.19112372067956565,True
Foreign Affairs & Defence,277–602,299,-0.12859531772575253,-0.16312116017163752,-0.09406947527986753,True
Foreign Affairs & Defence,602–2109,257,-0.02645914396887159,-0.0607176481419563,0.007799360204213117,True
"Justice, Rights & Immigration",50–59,303,-0.3618811881188119,-0.3876297504085696,-0.33613262582905423,True
"Justice, Rights & Immigration",59–69,335,-0.3392537313432836,-0.36532113294136104,-0.3131863297452062,True
"Justice, Rights & Immigration",69–81,370,-0.39054054054054055,-0.41347395165691064,-0.36760712942417045,True
"Justice, Rights & Immigration",81–96,342,-0.3428362573099415,-0.3704301071751588,-0.3152424074447242,True
"Justice, Rights & Immigration",96–114,381,-0.36023622047244097,-0.3829800861618236,-0.33749235478305833,True
"Justice, Rights & Immigration",114–139,369,-0.31978319783197834,-0.34651841018484214,-0.29304798547911454,True
"Justice, Rights & Immigration",139–180,413,-0.3025423728813559,-0.33147979648935416,-0.2736049492733576,True
"Justice, Rights & Immigration",180–277,375,-0.28013333333333335,-0.31227002684955674,-0.24799663981710995,True
"Justice, Rights & Immigration",277–602,434,-0.20483870967741938,-0.23830116559952383,-0.17137625375531493,True
"Justice, Rights & Immigration",602–2109,540,-0.08083333333333333,-0.11159476847956622,-0.050071898187100436,True
Intergovernmental & Constitutional Affairs,50–59,225,-0.15444444444444444,-0.2014156544341949,-0.10747323445469398,True
Intergovernmental & Constitutional Affairs,59–69,220,-0.20681818181818182,-0.25041690079204754,-0.1632194628443161,True
Intergovernmental & Constitutional Affairs,69–81,230,-0.17608695652173914,-0.22117184914605204,-0.13100206389742625,True
Intergovernmental & Constitutional Affairs,81–96,240,-0.18854166666666666,-0.23148170334641477,-0.14560162998691856,True
Intergovernmental & Constitutional Affairs,96–114,227,-0.1486784140969163,-0.1918760010348925,-0.10548082715894008,True
Intergovernmental & Constitutional Affairs,114–139,239,-0.14602510460251045,-0.18954098395604463,-0.10250922524897628,True
Intergovernmental & Constitutional Affairs,139–180,238,-0.06554621848739496,-0.10862037008021891,-0.022472066894571013,True
Intergovernmental & Constitutional Affairs,180–277,294,-0.010034013605442177,-0.049928152058318076,0.029860124847433722,True
Intergovernmental & Constitutional Affairs,277–602,346,0.008526011560693643,-0.027868187595854778,0.044920210717242066,True
Intergovernmental & Constitutional Affairs,602–2109,388,0.09407216494845361,0.0630396185289093,0.12510471136799792,True
Indigenous & Northern Affairs,50–59,85,-0.27941176470588236,-0.32957275121406465,-0.22925077819770004,True
