basepk;speechtext;speakername;year
1567088;mr speaker privileg like mention subject mind member parliament believ larg section public subject perman home ottawa prime minist countri offici resid prime minist realiz difficulti prime minist come ottawa uncertain tenur obtain type hous suitabl high offic hold year ago govern purchas edward properti locat bank ottawa river adjac french embassi govern purchas properti without particular purpos mind moment rent australian high commission use legat leas properti expir first novemb today govern act absenc prime minist decid parliament make possibl rehabilit hous make provis cost alter repair futur mainten seriou opposit program hous ask estim provid fund requir repair alter futur mainten properti home prime minist;Clarence Decatur Howe;1949
1567089;open sit mr speaker inform minist trade commerc govern decis make arrang offici resid prime minist feel sure decis meet gener approv member hous citizen part member parliament know may known throughout rest countri extent prime minist call upon receiv offici visitor certain duti essenti high offic part respons state posit give opinion particular resid mention wish express satisfact prime minist opportun carri offici duti receiv offici visitor manner keep present posit world affair visit import distinguish visitor mere social engag part world develop import period histori fact day ottawa visit mani leader nation evid import assum mind govern countri assist prime minist receiv import visitor carri heavi person duti perman home elect head govern discharg respons manner keep statu world today;George Alexander Drew;1949
1567090;glad mr speaker announc made afternoon home provid prime minist grate minist trade commerc mention matter open sit speak colleagu opportun consult hous chosen situat ottawa river sure visitor entertain appreci beauti citi would hous hotel heart citi know hous know someth sever time sinc minist spoke matter wonder whether govern might advis build new hous modern conveni suitabl purpos mind recondit rebuild interior old hous hope govern may give consider suggest glad prime minist hous hope hous offici resid prime minist parliament may co oper end canadian peopl rural urban may hous;Major James William Coldwell;1949
1567091;give consider satisfact mr speaker abl say behalf group hous welcom announc made minist trade commerc acquaint particular properti mention sure govern made ihvestig know whether would better build new hous recondit old govern make provis home prime minist think consid furnish adequ recompens way indemn prime minist countri underpaid year call upon make sacrific beyond measur servic given countri;Solon Earl Low;1949
1567092;prime minist sinc confeder sir john macdonald sir wilfrid laurier sir robert borden lord bennett right w l mackenzi king live ride think fit perman home prime minist remain ottawa east thank govern decis;Jean-Thomas Richard;1949
1567093;one mention matter hous year mr speaker sure express gratitud debat urg step taken assum resid prime minist leader male femal govern parti;Daniel (Dan) McIvor;1949
1567097;like direct minist trade commerc class ii canadian wheat price alter follow govern action devalu canadian dollar chang price;Howard Charles Green;1949
1567098;class ii wheat wheat sold outsid contract govern unit kingdom outsid inter nation wheat agreement price canadian wheat world price adjust valu canadian dollar canadian dollar devalu price class ii wheat increas ten per cent;Clarence Decatur Howe;1949
1567099;word price brought though canadian dollar par unit state dollar;Howard Charles Green;1949
1567100;correct;Clarence Decatur Howe;1949
1567101;minist give assur action retard sale canadian wheat;Howard Charles Green;1949
