position_id,speakerposition,n_speeches_with_position
0,Assistant Deputy Chair of Committees of the Whole,751
1,Associate Minister of National Defence,221
2,Bloc Québécois Caucus Chair,102
3,Bloc Québécois House Leader,144
4,Chief Government Whip,1
5,Chief Government Whip's assistant,79
6,Chief Government Whip's assistant; Chief Government Whip's assistant,1
7,Chief Government Whip's assistant; Deputy Chair of Committees of the Whole,16
8,Chief Government Whip's assistant; Deputy Whip of the Liberal Party,91
9,Chief Government Whip's assistant; Deputy Whip of the Progressive Conservative Party,306
10,Chief Government Whip; Whip of the Liberal Party,99
11,Chief Government Whip; Whip of the Progressive Conservative Party,230
12,Chief Opposition Whip; Whip of the Liberal Party,1065
13,Chief Opposition Whip; Whip of the Progressive Conservative Party,391
14,Chief Opposition Whip; Whip of the Progressive Conservative Party; Deputy Whip of the Progressive Conservative Party,5
15,Deputy Chair of Committees of the Whole,965
16,Deputy House Leader of the Official Opposition,12
17,Deputy House Leader of the Official Opposition; Liberal Party Deputy House Leader,669
18,Deputy House Leader of the Official Opposition; Liberal Party Deputy House Leader; Chief Opposition Whip; Whip of the Liberal Party,141
19,Deputy House Leader of the Official Opposition; Progressive Conservative Party Deputy House Leader,1017
20,Deputy Leader of the Government in the House of Commons; Liberal Party Deputy House Leader,12
21,Deputy Leader of the Government in the Senate,71
22,Deputy Leader of the Opposition in the Senate,2
23,Deputy Opposition Whip; Deputy Whip of the Progressive Conservative Party,29
24,Deputy Prime Minister; Minister of Agriculture; Minister responsible for Privatization and Regulatory Affairs; Vice-President; President of the Privy Council; Leader of the Government in the House of Commons; Progressive Conservative Party House Leader,14
25,Deputy Prime Minister; Minister of Agriculture; Vice-President; President of the Privy Council,268
26,Deputy Prime Minister; Minister of Finance,500
27,Deputy Prime Minister; Minister of Finance; Vice-President,536
28,Deputy Prime Minister; Minister of Fisheries and Oceans; Minister of National Defence,17
29,Deputy Prime Minister; Minister of National Defence,106
30,Deputy Prime Minister; Minister responsible for Privatization and Regulatory Affairs; Vice-President; President of the Privy Council; Leader of the Government in the House of Commons; Progressive Conservative Party House Leader,113
31,Deputy Prime Minister; President of the Privy Council,12
32,Deputy Prime Minister; President of the Privy Council; Leader of the Government in the House of Commons; Liberal Party House Leader,255
33,Deputy Prime Minister; President of the Treasury Board; Minister responsible for Privatization and Regulatory Affairs; Vice-President; President of the Privy Council; Leader of the Government in the House of Commons; Progressive Conservative Party House Leader,102
34,Deputy Prime Minister; Secretary of State for External Affairs,156
35,Deputy Prime Minister; Vice-President; President of the Privy Council; Leader of the Government in the House of Commons; Progressive Conservative Party House Leader,203
36,Deputy Speaker and Chair of Committees of the Whole of the House of Commons,1664
37,Deputy Whip of the Liberal Party,452
38,Deputy Whip of the Liberal Party; Chief Government Whip's assistant,2
39,Deputy Whip of the Liberal Party; Chief Government Whip's assistant; Chief Government Whip's assistant,2
40,Deputy Whip of the Liberal Party; Chief Government Whip's assistant; Deputy Chair of Committees of the Whole,31
41,Deputy Whip of the N.D.P.,679
42,Deputy Whip of the Progressive Conservative Party,185
43,Leader of the Official Opposition,6812
44,Leader of the Official Opposition; Official Opposition House Leader; Progressive Conservative Party House Leader,13
45,Liberal Party Caucus Chair,387
46,Liberal Party Deputy House Leader,672
47,Liberal Party Deputy House Leader; Deputy Whip of the Liberal Party,65
48,Minister for External Relations; Minister responsible for La Francophonie,118
49,Minister for External Relations; Minister responsible for La Francophonie; Minister of State (Indian Affairs and Northern Development),12
50,Minister for External Relations; Minister responsible for La Francophonie; Minister of State (Seniors),7
51,Minister for International Trade,679
52,"Minister for International Trade; Minister of Industry, Science and Technology",384
53,Minister for Science,56
54,Minister for Science; Minister of State (Small Businesses and Tourism),56
55,Minister for the purposes of the Atlantic Canada Opportunities Agency Act; Minister of Fisheries and Oceans,185
56,Minister for the purposes of the Atlantic Canada Opportunities Agency Act; Minister of Public Works,45
57,Minister of Agriculture,2215
58,Minister of Amateur Sport; Minister of Labour,113
59,Minister of Amateur Sport; Minister of National Health and Welfare,707
60,Minister of Citizenship and Immigration,260
61,Minister of Communications,479
62,Minister of Communications; Minister of Transport; Minister responsible for the Canadian Wheat Board,20
63,Minister of Communications; Minister responsible for the Status of Women; Secretary of State of Canada,22
64,Minister of Communications; Postmaster General,119
65,Minister of Communications; Secretary of State of Canada,19
66,Minister of Consumer and Corporate Affairs,679
67,Minister of Consumer and Corporate Affairs; Minister of Regional Industrial Expansion; Minister of State for Science and Technology,45
