basepk,topic,category,procedural_score,error_x,error_y
2198843,Hansard length and content,Parliamentary Procedure,0.5,,
2198851,international labour conference instruments,Trade & Foreign Affairs,0.25,,
2199017,jurisdiction over civil contracts,"Justice, Rights & Immigration",0.5,,
2199034,divorce proceedings and marital agreements,"Justice, Rights & Immigration",0.5,,
2199095,commonwealth air defence mission to India,Defence & National Security,0.0,,
2199126,Industrial Research Assistance Program grants,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2199132,military assistance to India,Defence & National Security,0.0,,
2199141,unemployment insurance commission employment referrals,Social Policy,0.0,,
2199145,Auditor General's report debate urgency,Parliamentary Procedure,0.75,,
2199146,public accounts committee investigation,Parliamentary Procedure,0.25,,
2199150,Auditor General's report on public accounts,Parliamentary Procedure,0.25,,
2199151,Auditor General's report examination,Parliamentary Procedure,0.75,,
2199321,unanimous consent for debatable motion,Parliamentary Procedure,0.75,,
2199331,Auditor General's access to taxation files,Taxation,0.25,,
2199332,referral of Auditor General's report to committee,Parliamentary Procedure,0.75,,
2199333,Auditor General's access to departmental files,Parliamentary Procedure,0.25,,
2199334,referral of public accounts to committee,Parliamentary Procedure,0.5,,
2199335,privilege and public accounts committee referral,Parliamentary Procedure,0.25,,
2199343,railway legislation interim measure,"Sectoral Policy: Resources, Agriculture & Transport",0.25,,
2199352,adherence to bill subject matter,Parliamentary Procedure,0.75,,
2199402,report on new drugs procedures,Social Policy,0.25,,
2199407,national museum development and establishment,Government & Electoral Affairs,0.0,,
2199454,Canada's participation in Colombo plan,Trade & Foreign Affairs,0.0,,
2199511,international affairs and world trade,Trade & Foreign Affairs,0.0,,
2199518,international disarmament negotiations,Trade & Foreign Affairs,0.0,,
2199520,Canada's role in UN peacekeeping in the Congo,Trade & Foreign Affairs,0.0,,
2199563,appointment to Atlantic development board,Government & Electoral Affairs,0.0,,
2199576,reading speeches in the house,Parliamentary Procedure,1.0,,
2199654,Canada's role in the United Nations,Trade & Foreign Affairs,0.25,,
2199658,foreign affairs partisanship,Trade & Foreign Affairs,0.5,,
2199660,Canada's international prestige,Trade & Foreign Affairs,0.25,,
2199679,welcome to provincial speakers,Parliamentary Procedure,0.75,,
2199693,Canadian centennial administration and projects,Government & Electoral Affairs,0.0,,
2199694,Canadian Centennial celebrations and confederation reform,Constitutional & Intergovernmental Relations,0.25,,
2199699,thalidomide rehabilitation report and recommendations,Social Policy,0.1,,
2199757,Japanese herring fishing off Queen Charlotte islands,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2199772,Canadian foreign and defence policy,Defence & National Security,0.0,,
2199778,Canada-US relations and foreign policy,Trade & Foreign Affairs,0.25,,
2199780,NATO collective security and partnership,Defence & National Security,0.25,,
2199783,Canada's nuclear weapons commitments,Defence & National Security,0.25,,
2199789,Canadian troops nuclear weapons acquisition,Defence & National Security,0.0,,
2199791,Canadian nuclear weapons commitment to NATO,Defence & National Security,0.25,,
2199793,criticism of NATO commander's views,Defence & National Security,0.75,,
2199801,Canada's nuclear weapons policy and defence pledges,Defence & National Security,0.0,,
2199812,Canadian defence policy and expenditures,Defence & National Security,0.1,,
2199814,acquisition of nuclear weapons for Canadian defence,Defence & National Security,0.0,,
2199824,Canada's nuclear weapons policy,Defence & National Security,0.1,,
2199826,NATO defence policy and collective security,Defence & National Security,0.0,,
2199828,Bomarc missiles and nuclear weapons policy,Defence & National Security,0.25,,
2199848,Canada's defence policy and NATO commitments,Defence & National Security,0.25,,
2199850,Canada's role in NATO and defence,Defence & National Security,0.25,,
2199852,Canada's role in NATO defence,Defence & National Security,0.1,,
2199854,Canada's nuclear policy and NATO,Defence & National Security,0.0,,
2199856,Canadian integrity and international relations,Trade & Foreign Affairs,0.25,,
2199948,question of privilege on misquotation,Parliamentary Procedure,0.75,,
2199953,Norseman aircraft search and rescue,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2199979,statistics on bankruptcies and liabilities,Economy & Public Finance,0.0,,
2199982,juvenile and adult crime statistics,"Justice, Rights & Immigration",0.0,,
2199985,caribou preservation and radioactive fall-out,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2199994,former members of parliament pension amounts,Social Policy,0.0,,
2200007,international commodity agreements,Trade & Foreign Affairs,0.0,,
2200013,Department of Agriculture staff numbers,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2200052,sea lamprey control in the great lakes,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2200284,vocational rehabilitation for epileptics,Social Policy,0.25,,
2200304,delay of budget and legislation,Parliamentary Procedure,0.25,,
2200305,national economic development board,Economy & Public Finance,0.5,,
2200306,national policy and economic development,Economy & Public Finance,0.25,,
2200316,government spending and national policy,Economy & Public Finance,0.25,,
2200320,national economic development policy,Economy & Public Finance,0.25,,
2200376,National Economic Development Board,Economy & Public Finance,0.25,,
2200379,National Economic Development Board appointments,Economy & Public Finance,0.25,,
2200381,establishment of an independent economic advisory board,Economy & Public Finance,0.25,,
2200385,national economic development board and trade,Economy & Public Finance,0.25,,
2200407,question of privilege regarding delegation access,Parliamentary Procedure,0.75,,
2200489,European Economic Community entry negotiations,Trade & Foreign Affairs,0.0,,
2200490,UK entry into European common market,Trade & Foreign Affairs,0.25,,
2200660,board powers to investigate economic problems,Economy & Public Finance,0.25,,
2200666,National Economic Development Board chair appointment,Economy & Public Finance,0.1,,
2200668,federal-provincial co-operation on economic development,Constitutional & Intergovernmental Relations,0.25,,
2200694,amendments to divorce petitions,"Justice, Rights & Immigration",0.5,,
2200739,National Economic Development Board amendment,Economy & Public Finance,0.25,,
2200749,parliamentary debate on productivity council report,Economy & Public Finance,0.5,,
2200751,consultation on appointments to boards,Government & Electoral Affairs,0.25,,
2200773,National Economic Development Board membership,Economy & Public Finance,0.25,,
2200776,productivity council and board appointments,Economy & Public Finance,0.25,,
2200802,appointment terms for productivity board chairman,Economy & Public Finance,0.25,,
2200890,community television microwave relay policy,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2200899,Canadian Broadcasting Corporation financial data,Government & Electoral Affairs,0.0,,
2200902,contracts for building facilities,Government & Electoral Affairs,0.0,,
2200909,level crossings and railway traffic diversion in Quebec,"Sectoral Policy: Resources, Agriculture & Transport",0.0,,
2200915,CBC program on Italian family in Toronto,Government & Electoral Affairs,0.0,,
2200943,classification of subordinate employees,Government & Electoral Affairs,0.0,,
2201131,federal-provincial vocational training programs,Social Policy,0.0,,
2201213,US intrusion in Canadian defence policy,Defence & National Security,0.25,,
2201216,insinuations about defence statement,Defence & National Security,0.75,,
2201218,Canada-US relations on national defence,Defence & National Security,0.25,,
2201220,Canada-US defence policy clarification,Defence & National Security,0.25,,
2201225,Canada-US relations and communist imperialism,Trade & Foreign Affairs,0.25,,
2201264,adjournment motion procedural review,Parliamentary Procedure,0.75,,
2201265,U.S. State Department press release,Trade & Foreign Affairs,0.25,,
2201267,urgency of debate on US statement,Parliamentary Procedure,0.75,,
2201276,urgency of debate on government spending,Economy & Public Finance,0.75,,
2201282,urgency of debate on joint defence arrangements,Defence & National Security,0.75,,
2201285,appeal from Speaker's ruling,Parliamentary Procedure,1.0,,
2201294,appeal from Speaker's ruling,Parliamentary Procedure,0.75,,
2201295,parliamentary procedure on appeals against Speaker's rulings,Parliamentary Procedure,0.75,,
2201301,appeal from Speaker's ruling on adjournment motion,Parliamentary Procedure,1.0,,
2201309,US-Canada joint defence arrangements,Defence & National Security,0.25,,
2201311,defence arrangements with the United States,Defence & National Security,0.25,,
2201318,US State Department press release on nuclear weapons,Defence & National Security,0.25,,
2201324,confidential negotiations with US,Trade & Foreign Affairs,0.25,,
2201331,Canada-US nuclear weapons discussions,Defence & National Security,0.25,,
2201333,Canadian nuclear weapons policy and NATO,Defence & National Security,0.25,,
2201348,legality of surcharge and imports order,Taxation,0.25,,
2201356,production of government legal opinions,Parliamentary Procedure,0.5,,
2201358,legal arguments on a motion,Parliamentary Procedure,0.75,,
2201364,improper imposition of taxation,Taxation,0.25,,
2201369,legality of surcharges and document production,Taxation,0.25,,
2201371,validity of surcharges,Taxation,0.25,,
2201385,surcharge and imports order documents,Taxation,0.5,,
2201389,legality of import control orders,Taxation,0.5,,
2201448,parliamentary procedure and opposition tactics,Parliamentary Procedure,0.75,,
2201468,Canadian defence policy and US relations,Defence & National Security,0.25,,
2201477,US State Department press release on defence,Defence & National Security,0.25,,
2201479,criticism of US state department actions,Trade & Foreign Affairs,0.25,,
2201483,denial of press interpretation of Prime Minister's speech,Trade & Foreign Affairs,0.25,,
2201487,Canada's NATO nuclear weapons role,Defence & National Security,0.25,,
2201494,Bomarc and F-101 interceptor squadrons,Defence & National Security,0.25,,
2201496,NATO co-operation and security,Defence & National Security,0.25,,
2201500,defence policy and U.S. State Department press release,Defence & National Security,0.25,,
2201503,defence policy,Defence & National Security,0.25,,
2201508,Liberal party's policy inconsistency,Government & Electoral Affairs,0.5,,
2201574,question of privilege regarding Bill C-14,Parliamentary Procedure,0.75,,
2201584,agreement for silver bullion supply,Economy & Public Finance,0.0,,
2201619,appointments for world exhibition directors,Government & Electoral Affairs,0.0,,
2201669,employee transfers within a corporation,Government & Electoral Affairs,0.0,,
2201836,nuclear weapons and unemployment,Social Policy,0.0,,
2201845,unemployment and economic planning,Social Policy,0.25,,
2201862,definitions of unemployment and employment,Social Policy,0.0,,
2201899,municipal sewage treatment loans,"Sectoral Policy: Resources, Agriculture & Transport",0.25,,
2201902,water pollution control funding,"Sectoral Policy: Resources, Agriculture & Transport",0.25,,
