topic,category,error
Auditor General's accounting approach,Parliamentary Procedure,
reporting to parliament on government operations,Parliamentary Procedure,
restructuring of MOSST science advisory role,"Sectoral Policy: Resources, Agriculture & Transport",
CBC radio and television coverage in New Brunswick,Government & Electoral Affairs,
Income Tax Act charitable organizations,Taxation,
interest rates and inflation comparison,Economy & Public Finance,
tabling of telex on Barbados invasion warning,Trade & Foreign Affairs,
diplomatic communications security,Trade & Foreign Affairs,
secrecy and release of government documents,Government & Electoral Affairs,
vulnerable employees in Employment and Immigration,Social Policy,
VIA Rail Canada Inc. logo and agents,"Sectoral Policy: Resources, Agriculture & Transport",
translation of place names on maps,Government & Electoral Affairs,
Coast Guard Radio Stations master plan,"Sectoral Policy: Resources, Agriculture & Transport",
Garrison Diversion unit,"Sectoral Policy: Resources, Agriculture & Transport",
Garrison Diversion unit environmental impact,"Sectoral Policy: Resources, Agriculture & Transport",
tax treatment for artists and writers,Taxation,
review of amendment wording,Parliamentary Procedure,
federal cultural policy review,"Sectoral Policy: Resources, Agriculture & Transport",
private members' business rules,Parliamentary Procedure,
cannabis possession penalties and classification,"Justice, Rights & Immigration",
cannabis law reform and public education,"Justice, Rights & Immigration",
Royal Recommendation for expenditure motions,Parliamentary Procedure,
parliamentary practice on motions,Parliamentary Procedure,
Standing Order 79(10) and unanimous consent,Parliamentary Procedure,
Royal Recommendation procedural difficulty,Parliamentary Procedure,
unanimous consent on amendments,Parliamentary Procedure,
Royal Recommendation and amendments,Parliamentary Procedure,
parliamentary procedure on Motion No. 58,Parliamentary Procedure,
Crow rate and western producers,"Sectoral Policy: Resources, Agriculture & Transport",
Western Grain Transportation Act provisions,"Sectoral Policy: Resources, Agriculture & Transport",
railway freight rates and grain prices,"Sectoral Policy: Resources, Agriculture & Transport",
point of order on right of reply,Parliamentary Procedure,
Lebanon civil war and Canadian PLO policy,Trade & Foreign Affairs,
British Columbia railway company legislation,"Sectoral Policy: Resources, Agriculture & Transport",
economic growth and unemployment forecasts,Economy & Public Finance,
unemployment and oil and gas industry grants,Economy & Public Finance,
grants for oil and gas exploration,"Sectoral Policy: Resources, Agriculture & Transport",
frigate program and shipbuilding industry,Defence & National Security,
Pacific Coast fishery stock management,"Sectoral Policy: Resources, Agriculture & Transport",
fishermen's meeting on government offer,"Sectoral Policy: Resources, Agriculture & Transport",
anti-dumping charges on potatoes,Trade & Foreign Affairs,
horticultural council consultation and trade,Trade & Foreign Affairs,
federal-municipal cooperation on employment projects,Economy & Public Finance,
"repeal of the Crow rate, Bill C-155","Sectoral Policy: Resources, Agriculture & Transport",
partisan attack on opposition time wasting,Parliamentary Procedure,
question of privilege regarding committee report leak,Parliamentary Procedure,
committee jurisdiction and procedure,Parliamentary Procedure,
CMHC interest reduction loan forgiveness,Economy & Public Finance,
construction of forestry research centre in Corner Brook,"Sectoral Policy: Resources, Agriculture & Transport",
RCMP official language recruit statistics,Government & Electoral Affairs,
tabling of committee report,Parliamentary Procedure,
railway and trucking industry subsidies,"Sectoral Policy: Resources, Agriculture & Transport",
amendments to Bill C-155 crop year prices,"Sectoral Policy: Resources, Agriculture & Transport",
Western Grain Transportation Act tariff period,"Sectoral Policy: Resources, Agriculture & Transport",
amendments to western grain transportation bill,"Sectoral Policy: Resources, Agriculture & Transport",
Western Grain Transportation Act division,Parliamentary Procedure,
Western Grain Transportation Act vote,Parliamentary Procedure,
division on motion no. 44,Parliamentary Procedure,
division on Western Grain Transportation Act,Parliamentary Procedure,
division on Motion No. 88,Parliamentary Procedure,
Western Grain Transportation Act divisions,Parliamentary Procedure,
division on motion 1,Parliamentary Procedure,
voting on motions,Parliamentary Procedure,
Remembrance Day and veterans' commitment,Defence & National Security,
Remembrance Day and freedom,Defence & National Security,
Remembrance Day and the pursuit of peace,Defence & National Security,
Newfoundland recognition of native hunting and fishing rights,Constitutional & Intergovernmental Relations,
international news reporting and background information,Trade & Foreign Affairs,
job creation statistics,Economy & Public Finance,
impact of US economic recovery on Canada,Economy & Public Finance,
unemployment insurance insurable earnings,Social Policy,
Canada-US trade consultations,Trade & Foreign Affairs,
Canada-US sulphur emission reductions,Trade & Foreign Affairs,
Special Recovery Capital Projects in Saskatchewan,Economy & Public Finance,
Regina water problem and filtration plant,"Sectoral Policy: Resources, Agriculture & Transport",
referral of Grenada rescue arrangements to committee,Trade & Foreign Affairs,
labour force survey methodology,Economy & Public Finance,
farm reorganization legislation consultations,"Sectoral Policy: Resources, Agriculture & Transport",
railway expansion and economic growth,"Sectoral Policy: Resources, Agriculture & Transport",
farmers' ability to pay,Economy & Public Finance,
Western Grain Transportation Act implementation,"Sectoral Policy: Resources, Agriculture & Transport",
railway construction expenditures in British Columbia,"Sectoral Policy: Resources, Agriculture & Transport",
livestock rates and contingency fund,"Sectoral Policy: Resources, Agriculture & Transport",
Crow rate impact on western producers,"Sectoral Policy: Resources, Agriculture & Transport",
deferred votes on amendments,Parliamentary Procedure,
voting process and report stage procedure,Parliamentary Procedure,
subamendment to a non-existing amendment,Parliamentary Procedure,
debate on subamendment to an amendment,Parliamentary Procedure,
Crow benefits vs. St. Lawrence Seaway subsidies,"Sectoral Policy: Resources, Agriculture & Transport",
agreement on voting time for Bill C-155,Parliamentary Procedure,
order of business in debate,Parliamentary Procedure,
tribute to Walter Baker,Parliamentary Procedure,
death of Walter Baker,Parliamentary Procedure,
parliamentary reform in tribute to Walter Baker,Parliamentary Procedure,
condolences on death of Walter Baker,Parliamentary Procedure,
tribute to a deceased parliamentarian,Parliamentary Procedure,
Quebecair air fares and subsidies,"Sectoral Policy: Resources, Agriculture & Transport",
communications on peace proposals,Trade & Foreign Affairs,
Prime Minister's disarmament proposals,Trade & Foreign Affairs,
Prime Minister's discussions with European leaders,Trade & Foreign Affairs,
MBFR and INF talks in Europe,Trade & Foreign Affairs,
House Leaders' meeting on Bill C-150,Parliamentary Procedure,
economic infrastructure and job creation programs,Economy & Public Finance,
job creation and economic infrastructure investment,Economy & Public Finance,
foreign exchange controls and interest rates,Economy & Public Finance,
Canada's policy on PLO contacts,Trade & Foreign Affairs,
oil and gas industry grant program,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian sourcing and competitiveness in industry,Economy & Public Finance,
drug testing for international sports competitions,Trade & Foreign Affairs,
Crowsnest Pass freight rate petitions,"Sectoral Policy: Resources, Agriculture & Transport",
petition for Polish Canadians to join families,"Justice, Rights & Immigration",
fisheries legislation,"Sectoral Policy: Resources, Agriculture & Transport",
access to telephone networks for hearing-impaired persons,Social Policy,
answering starred questions,Parliamentary Procedure,
Atlantic fisheries restructuring investment,"Sectoral Policy: Resources, Agriculture & Transport",
Atlantic Fisheries Restructuring Act,"Sectoral Policy: Resources, Agriculture & Transport",
fisheries development agreement with Nova Scotia,"Sectoral Policy: Resources, Agriculture & Transport",
fisheries committee,Parliamentary Procedure,
Hansard recording of votes on Western Grain Transportation Act,Parliamentary Procedure,
condemnation of government actions and foreign policy,Trade & Foreign Affairs,
mismanagement and Liberal Party corruption,Government & Electoral Affairs,
Conservative party's lack of policy on Grenada and NATO,Trade & Foreign Affairs,
Conservative Party energy policy,"Sectoral Policy: Resources, Agriculture & Transport",
Leader of the Opposition's parliamentary attendance,Parliamentary Procedure,
railway freight rates and grain movement,"Sectoral Policy: Resources, Agriculture & Transport",
railway expansion and unemployment,Economy & Public Finance,
debate on the Crow rate,"Sectoral Policy: Resources, Agriculture & Transport",
railway sourcing and procurement policy,"Sectoral Policy: Resources, Agriculture & Transport",
Crowsnest Pass freight rates and steel orders,"Sectoral Policy: Resources, Agriculture & Transport",
railway rolling stock orders and financing,"Sectoral Policy: Resources, Agriculture & Transport",
CPR construction jobs and product sourcing,"Sectoral Policy: Resources, Agriculture & Transport",
Crow legislation job creation estimates,"Sectoral Policy: Resources, Agriculture & Transport",
criticism of Conservative Party's inconsistent positions,Government & Electoral Affairs,
interest rates and housing policy,Economy & Public Finance,
New Democratic Party policy on NATO,Trade & Foreign Affairs,
interest rates and government spending,Economy & Public Finance,
interest rates and job creation policy,Economy & Public Finance,
family reunification for polish immigrants,"Justice, Rights & Immigration",
confidentiality of government correspondence,Parliamentary Procedure,
international relations and peace-seeking,Trade & Foreign Affairs,
answers to questions on foreign policy,Trade & Foreign Affairs,
Cyprus independence declaration,Trade & Foreign Affairs,
Canadian peace-keeping troops in Cyprus,Defence & National Security,
Crow legislation industrial expansion,"Sectoral Policy: Resources, Agriculture & Transport",
Crow legislation and railway job creation,"Sectoral Policy: Resources, Agriculture & Transport",
departmental long-range plans and consultation,Government & Electoral Affairs,
Income Tax Act administration,Taxation,
Income Tax Act administration for artists,Taxation,
opposition to northern development project,"Sectoral Policy: Resources, Agriculture & Transport",
RCMP treatment of incarcerated individual,"Justice, Rights & Immigration",
payment for legal costs and hardship,"Justice, Rights & Immigration",
Yukon land claims and project approval,Constitutional & Intergovernmental Relations,
provincial jurisdiction over criminal investigation,"Justice, Rights & Immigration",
petition on US invasion of Nicaragua,Trade & Foreign Affairs,
federal-provincial relations information flow,Constitutional & Intergovernmental Relations,
order of business for fisheries and public works bills,Parliamentary Procedure,
offshore oil and gas revenue sharing,"Sectoral Policy: Resources, Agriculture & Transport",
natural gas marketing and pricing,"Sectoral Policy: Resources, Agriculture & Transport",
oil and gas price deregulation,"Sectoral Policy: Resources, Agriculture & Transport",
oil and gas industry activity and policy,"Sectoral Policy: Resources, Agriculture & Transport",
Schefferville industrial development and worker relocation,"Sectoral Policy: Resources, Agriculture & Transport",
closure of Schefferville mine,"Sectoral Policy: Resources, Agriculture & Transport",
Schefferville closure commendation,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian oil production and consumption,"Sectoral Policy: Resources, Agriculture & Transport",
criticism of opposition party tactics,Government & Electoral Affairs,
job creation and trade policies,Economy & Public Finance,
government economic and social programs,Economy & Public Finance,
criticism of Tory electioneering tactics,Government & Electoral Affairs,
PIP grants and Canadian shipbuilding jobs,"Sectoral Policy: Resources, Agriculture & Transport",
PIP grants and Canadian content rules,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian ownership of oil industry,"Sectoral Policy: Resources, Agriculture & Transport",
restructuring of the Atlantic fishery,"Sectoral Policy: Resources, Agriculture & Transport",
public airing of independent operators' views on Bill,Parliamentary Procedure,
Small Business Bond Program extension,Economy & Public Finance,
Department of National Revenue tax collection,Taxation,
municipal information requests for income tax act,Taxation,
enforcement of income tax act,Taxation,
representation of women at conference,Government & Electoral Affairs,
entrepreneur immigration program safeguards,"Justice, Rights & Immigration",
airport entry card system and committee appointments,Government & Electoral Affairs,
job creation strategy and unemployment insurance,Economy & Public Finance,
stock exchange share prices,Economy & Public Finance,
Pacific fisheries program,"Sectoral Policy: Resources, Agriculture & Transport",
extraterritorial application of American law,Trade & Foreign Affairs,
economic development agreement with New Brunswick,Economy & Public Finance,
CRTC decision on Pay TV,"Sectoral Policy: Resources, Agriculture & Transport",
order of business and supply,Parliamentary Procedure,
notice of by-election vacancy,Parliamentary Procedure,
media training contracts for government departments,Government & Electoral Affairs,
adjournment motion and questions,Parliamentary Procedure,
fisheries marketing and conservation,"Sectoral Policy: Resources, Agriculture & Transport",
government intervention in fishing industry,"Sectoral Policy: Resources, Agriculture & Transport",
provincial participation in transportation under Bill S-31,Constitutional & Intergovernmental Relations,
agreement on supply period and estimates,Parliamentary Procedure,
allotted days for estimates,Parliamentary Procedure,
representation in Newfoundland,Government & Electoral Affairs,
DVA Building lease in Charlottetown,Government & Electoral Affairs,
red meat stabilization program progress,"Sectoral Policy: Resources, Agriculture & Transport",
funding for radio reading service for blind,Social Policy,
leaked memo on opposition leader's image,Government & Electoral Affairs,
Crow rate and railway employment,"Sectoral Policy: Resources, Agriculture & Transport",
Caisse de depot et de placement du Quebec investment,Economy & Public Finance,
Bill's impact on Caisse de depot investment,Economy & Public Finance,
Alaska gas pipeline prebuild,"Sectoral Policy: Resources, Agriculture & Transport",
infrastructure legislation and Caisse de depots trading,Economy & Public Finance,
Canada Council cultural funding and centres of excellence,Social Policy,
federal public service hiring for disabled people,Social Policy,
forest renewal and forestry industry support,"Sectoral Policy: Resources, Agriculture & Transport",
forestry policy and departmental organization,"Sectoral Policy: Resources, Agriculture & Transport",
acid rain impact on forest growth,"Sectoral Policy: Resources, Agriculture & Transport",
forestry employment program funds,"Sectoral Policy: Resources, Agriculture & Transport",
high power rates and New Brunswick economy,Economy & Public Finance,
federal-provincial fiscal agreements,Constitutional & Intergovernmental Relations,
height bias in competitive sports,Social Policy,
Bill S-31 opposition,Parliamentary Procedure,
Quebec economic development,Economy & Public Finance,
guaranteeing Canadian employment opportunities,Economy & Public Finance,
Canada-Middle East relations,Trade & Foreign Affairs,
arms control proposals and political atmosphere,Trade & Foreign Affairs,
employment initiatives for professionals,Economy & Public Finance,
Canada-US defence expenditure discussions,Defence & National Security,
public servant salaries disclosure,Government & Electoral Affairs,
student employment agreements,Economy & Public Finance,
Yukon north coast development and unemployment,"Sectoral Policy: Resources, Agriculture & Transport",
King Point Quarry proposal and Yukon development,"Sectoral Policy: Resources, Agriculture & Transport",
Yukon development and native land claims,Constitutional & Intergovernmental Relations,
expulsion of Soviet officials,Trade & Foreign Affairs,
US potato import anti-dumping investigation,Trade & Foreign Affairs,
allotted days for opposition supply periods,Parliamentary Procedure,
opposition days allotment discretion,Parliamentary Procedure,
allocation of opposition supply days,Parliamentary Procedure,
order of business and motions,Parliamentary Procedure,
Speaker's ruling on supply motions,Parliamentary Procedure,
inflation rate and six and five program,Economy & Public Finance,
PC Party's stance on extra billing and user fees,Social Policy,
union dues and abortion resolutions,Social Policy,
inflation and job creation statistics,Economy & Public Finance,
regional employment program funding,Economy & Public Finance,
arms control and East-West relations,Trade & Foreign Affairs,
salaries of order in council appointees,Government & Electoral Affairs,
tax reductions for low income people,Taxation,
departmental space requirements and projections,Government & Electoral Affairs,
nuclear attack preparedness and disarmament,Defence & National Security,
Advisory Committee on Nuclear Safety reports,Defence & National Security,
Advisory Committee on Radiological Protection reports,Defence & National Security,
Canadian Saltfish Corporation Advisory Committee,"Sectoral Policy: Resources, Agriculture & Transport",
charitable status and lobbying by organizations,Government & Electoral Affairs,
charitable registration and political activities,Government & Electoral Affairs,
CRTC regulation of vertical integration,Government & Electoral Affairs,
metric conversion and trade policy,Trade & Foreign Affairs,
Sabra and Chatila massacre and refugee suffering,Trade & Foreign Affairs,
women's equality and government initiatives,Social Policy,
shoe manufacturing import quotas,Trade & Foreign Affairs,
opposition to Bill S-31,Parliamentary Procedure,
support for Bill S-31 in Quebec,Parliamentary Procedure,
Bill S-31 future,Parliamentary Procedure,
inflation and unemployment projections,Economy & Public Finance,
voting shares of caisse populaire,Economy & Public Finance,
federal-provincial cost-sharing for welfare,Social Policy,
intermediate missile deployment in Europe,Trade & Foreign Affairs,
parliamentary committee report responsibility,Parliamentary Procedure,
Mr. Evans's Public Service position,Government & Electoral Affairs,
safe drinking water legislation,"Justice, Rights & Immigration",
customs tariff provisions for North American Indians,Taxation,
CMHC directors' compensation and benefits,Government & Electoral Affairs,
garnishment of federal employee wages for maintenance orders,"Justice, Rights & Immigration",
grants in lieu of taxes to Mississauga,Economy & Public Finance,
federal-municipal cooperation in Mississauga,Government & Electoral Affairs,
federal government grants to municipalities,Government & Electoral Affairs,
federal disaster relief rebates,Economy & Public Finance,
distribution of bill amendments,Parliamentary Procedure,
federal deficit and government spending,Economy & Public Finance,
minister's right to reply,Parliamentary Procedure,
amendment to penal institution moneys act,"Justice, Rights & Immigration",
Canada Health Act communications contract,Social Policy,
Chatham Airport runway obstructions,"Sectoral Policy: Resources, Agriculture & Transport",
economic recovery and employment,Economy & Public Finance,
timing of 1984 budget and economic indicators,Economy & Public Finance,
economic recovery statistics,Economy & Public Finance,
budget proposals and departmental reviews,Economy & Public Finance,
provincial responsibilities under international agreements,Constitutional & Intergovernmental Relations,
enforcement of criminal law by provinces,"Justice, Rights & Immigration",
MBFR conventional arms reduction talks,Trade & Foreign Affairs,
real interest rates compared to the United States,Economy & Public Finance,
federal deficit and bank lending rates,Economy & Public Finance,
Canada Post Corporation Vote 6b supplementary estimates,Government & Electoral Affairs,
salaries and career of CBC President Mr. Juneau,Government & Electoral Affairs,
Pierrefonds Post Office construction costs and grants,Government & Electoral Affairs,
amendments to clause 2 and 3,Parliamentary Procedure,
amendment to definition of public money,Parliamentary Procedure,
amendments to definition of public money,Parliamentary Procedure,
amendment to debt collection provisions,Parliamentary Procedure,
reporting of remissions by Treasury Board,Parliamentary Procedure,
remission orders and public accounts reporting,Parliamentary Procedure,
amendments to debt write-off regulations,Parliamentary Procedure,
loan guarantees and appropriation procedure,Parliamentary Procedure,
financial commitment control legislative requirements,Parliamentary Procedure,
amendment to appropriation lapse clause,Parliamentary Procedure,
Financial Administration Act refunds and repayments,Parliamentary Procedure,
amendment to securities interest rate determination,Parliamentary Procedure,
temporary loans and government borrowing,Economy & Public Finance,
amendment to borrowing authorization,Economy & Public Finance,
amendment to Financial Administration Act re foreign currency,Economy & Public Finance,
register of government securities,Economy & Public Finance,
foreign exchange losses of Crown corporations,Economy & Public Finance,
guarantee of foreign currency loan to Crown corporation,Economy & Public Finance,
amendments to public accounts submission,Economy & Public Finance,
public accounts compilation and submission,Economy & Public Finance,
public accounts accounting standards,Economy & Public Finance,
interest rate on public accounts,Economy & Public Finance,
negligence standard for public money recovery,Economy & Public Finance,
amendment to bill C-96 wording,Parliamentary Procedure,
fines for public officials handling public money,Economy & Public Finance,
amendments to Financial Administration Act set-off provisions,Economy & Public Finance,
Financial Administration Act public officers' guarantee account,Economy & Public Finance,
deletion of clause regarding charging for services,Parliamentary Procedure,
Auditor General Act consequential amendments,Parliamentary Procedure,
amend Auditor General Act re President of Treasury Board,Parliamentary Procedure,
NAC garage waterproofing and repairs,"Sectoral Policy: Resources, Agriculture & Transport",
land border duty-free shop liquor sales,Taxation,
Stelco Hilton works employment,"Sectoral Policy: Resources, Agriculture & Transport",
unemployment figures and job creation,Social Policy,
Canadian agriculture and international trade balance,Trade & Foreign Affairs,
employment for handicapped workers,Social Policy,
employment for the handicapped,Social Policy,
government funding for viable projects,Economy & Public Finance,
Graham Spry and Canadian broadcasting,Government & Electoral Affairs,
government training centre costs and revenues,Economy & Public Finance,
government answers to questions,Parliamentary Procedure,
amendments to Labour Adjustment Benefits Act,Social Policy,
labour department fund allocation,Social Policy,
garnishment of parliamentary salaries and pensions,Parliamentary Procedure,
garnishment proceedings against parliamentary bodies,Parliamentary Procedure,
point of order on Canada Post appropriation,Parliamentary Procedure,
Estimates reform and House procedure,Parliamentary Procedure,
government productivity and Auditor General's reports,Economy & Public Finance,
National Energy Program and Calgary unemployment,Economy & Public Finance,
expenditure plan and supplementary estimates,Economy & Public Finance,
